N	3gram	Tiupa_Narr_1	Poddanst
1	в то же	4	7
2	то же время	4	7
3	не только в	6	4
4	в том что	5	4
5	с точки зрения	1	3
6	сами по себе	2	3
7	с одной стороны	1	3
8	в том числе	1	2
9	и не только	1	2
10	и в то	1	2
11	но и в	2	2
12	заключает в себе	2	2
13	в ней не	1	2
14	как она есть	1	1
15	же в этой	1	1
16	более или менее	1	1
17	начала и конца	3	1
18	и не может	1	1
19	в отличие от	2	1
20	и то что	1	1
21	во всяком случае	2	1
22	с другой стороны	1	1
23	не может быть	4	1
24	что происходит и	1	1
25	само по себе	1	1
26	и тем самым	4	1
27	в частности в	1	1
28	друг с другом	1	1
29	в известном смысле	2	1
30	для того чтобы	3	1
31	но в этом	1	1
32	в отрыве от	1	1
33	том числе и	1	1
34	и т д	1	1
