N	2gram	Ircho_Kome_2	Tragedij
1	и в	26	18
2	в этом	10	9
3	не только	7	8
4	и с	5	7
5	и на	7	7
6	может быть	11	7
7	как бы	2	7
8	и не	14	7
9	но в	3	6
10	и его	12	6
11	в образе	3	6
12	же время	3	6
13	что он	5	6
14	у него	4	6
15	то же	3	5
16	все же	4	5
17	что это	4	5
18	это не	2	5
19	как и	4	5
20	несмотря на	1	5
21	в то	6	5
22	так и	12	5
23	не может	3	5
24	еще не	6	4
25	в себе	1	4
26	в целом	4	4
27	в этой	3	4
28	в нем	6	4
29	об этом	2	4
30	том что	9	4
31	и что	2	4
32	но и	10	4
33	и даже	1	4
34	прежде всего	4	4
35	так же	1	4
36	все это	3	4
37	этот образ	1	4
38	что в	9	4
39	и все	2	4
40	то что	6	4
41	в мире	2	3
42	отнюдь не	2	3
43	как в	3	3
44	в своем	6	3
45	и как	1	3
46	все эти	1	3
47	тем самым	1	3
48	о чем	3	3
49	в поле	3	3
50	своего отца	2	3
51	и сам	3	3
52	iii в	6	3
53	мог бы	1	3
54	жизнь и	1	3
55	с ним	1	3
56	к нему	3	3
57	в его	4	3
58	один из	5	3
59	уже в	4	3
60	для него	1	3
61	никто не	3	3
62	в конце	2	3
63	как будто	4	3
64	как это	4	3
65	в первом	2	2
66	из самых	2	2
67	что эти	1	2
68	и за	2	2
69	никогда не	1	2
70	он был	2	2
71	не был	1	2
72	столь же	9	2
73	с его	5	2
74	отношение к	2	2
75	отличие от	2	2
76	тут же	2	2
77	не просто	1	2
78	так что	5	2
79	и я	2	2
80	это был	1	2
81	имеет в	2	2
82	с г	2	2
83	в самом	4	2
84	бы и	2	2
85	то и	1	2
86	он не	2	2
87	что она	2	2
88	но все	3	2
89	его в	4	2
90	знает что	1	2
91	в глазах	2	2
92	в это	2	2
93	ни в	5	2
94	с тем	5	2
95	не мог	1	2
96	любви и	1	2
97	в отличие	2	2
98	вопрос о	3	2
99	права на	1	2
100	не в	2	2
101	отцом и	1	2
102	вместе со	1	2
103	но они	1	2
104	одна из	2	2
105	не имеет	3	2
106	его дочь	1	2
107	он и	1	2
108	к тому	12	2
109	и это	2	2
110	в ее	2	2
111	еще в	4	2
112	ничего не	1	2
113	и здесь	6	2
114	о том	6	2
115	времени в	2	2
116	что и	7	2
117	даже на	2	2
118	в том	11	2
119	гораздо важнее	1	2
120	даже если	1	2
121	по мнению	1	2
122	и ее	2	2
123	и детей	1	2
124	не так	1	2
125	в известной	1	2
126	в одном	2	2
127	друг друга	3	2
128	на меня	1	2
129	тем что	3	2
130	говорит о	1	2
131	до конца	1	2
132	было в	1	2
133	о его	4	2
134	еще раз	1	2
135	это уже	1	2
136	потому что	6	2
137	в частности	4	2
138	этим объясняется	2	2
139	по поводу	3	2
140	точно так	1	2
141	также что	2	1
142	и т	2	1
143	одним из	2	1
144	например в	3	1
145	а из	2	1
146	самом деле	1	1
147	неожиданное появление	1	1
148	и есть	2	1
149	в мыслях	1	1
150	на две	1	1
151	сам автор	1	1
152	в какой-то	2	1
153	имя его	1	1
154	той же	3	1
155	то для	1	1
156	хотя сам	1	1
157	при случае	1	1
158	всего против	1	1
159	не вполне	2	1
160	ее отцу	1	1
161	на себя	7	1
162	вместо того	1	1
163	ему в	1	1
164	в виду	2	1
165	и сыном	1	1
166	в ней	3	1
167	встречается в	1	1
168	представляет собой	1	1
169	между собой	1	1
170	содержатся в	1	1
171	и служит	1	1
172	в чем	1	1
173	и мира	1	1
174	во всех	3	1
175	но не	3	1
176	значение и	1	1
177	свою жизнь	1	1
178	с отцом	1	1
179	с совершенно	1	1
180	такой силой	1	1
181	всю эту	1	1
182	чем же	1	1
183	в истории	5	1
184	опирается на	1	1
185	что именно	2	1
186	между отцом	1	1
187	мысль о	1	1
188	для ее	1	1
189	и хотя	2	1
190	роль играет	1	1
191	со своей	3	1
192	в которой	5	1
193	последняя фраза	1	1
194	лишний раз	1	1
195	имеет для	1	1
196	№ и	2	1
197	как он	3	1
198	не могла	1	1
199	чтобы установить	1	1
200	и если	2	1
201	три года	2	1
202	на западе	1	1
203	которой не	1	1
204	и еще	2	1
205	по всем	2	1
206	ее своей	1	1
207	на этом	2	1
208	таким образом	6	1
209	от нее	1	1
210	а затем	5	1
211	же не	2	1
212	для характеристики	1	1
213	за то	4	1
214	в другом	1	1
215	в ход	1	1
216	на все	1	1
217	не нашел	1	1
218	это было	4	1
219	обоих случаях	2	1
220	мира сего	1	1
221	же суть	1	1
222	быть не	1	1
223	ты мне	1	1
224	из первых	1	1
225	но уже	1	1
226	в них	4	1
227	он же	1	1
228	его облике	1	1
229	этого не	1	1
230	мы располагаем	1	1
231	со своими	1	1
232	которой он	1	1
233	и бесконечными	1	1
234	с такой	1	1
235	ведет к	1	1
236	в развитии	2	1
237	почти в	1	1
238	изображаемых в	1	1
239	но если	3	1
240	и при	1	1
241	в своей	3	1
242	этой связи	1	1
243	на руке	1	1
244	во времена	1	1
245	в котором	3	1
246	не столько	1	1
247	представление о	2	1
248	должны были	1	1
249	значение для	1	1
250	стало быть	1	1
251	сам же	1	1
252	начнем с	1	1
253	тем не	1	1
254	не могли	1	1
255	по себе	1	1
256	тому что	4	1
257	не менее	4	1
258	не раз	1	1
259	что эта	1	1
260	в обоих	3	1
261	самого начала	1	1
262	того как	3	1
263	как его	1	1
264	как много	1	1
265	судя по	4	1
266	этими словами	1	1
267	в отношениях	1	1
268	в самой	3	1
269	со стариком	1	1
270	иными словами	1	1
271	для постановки	1	1
272	детей и	1	1
273	по своей	1	1
274	и готов	1	1
275	с чертами	1	1
276	для нас	3	1
277	и теперь	1	1
278	связи с	3	1
279	без слов	1	1
280	что на	3	1
281	в области	1	1
282	своей страсти	2	1
283	в трагедии	1	1
284	на брак	1	1
285	к себе	1	1
286	значение только	1	1
287	насилия и	1	1
288	на улицу	1	1
289	его с	1	1
290	первом же	1	1
291	э по	1	1
292	о существовании	1	1
293	как мы	4	1
294	того чтобы	6	1
295	всего этого	1	1
296	с каким	1	1
297	в душу	1	1
298	с самого	2	1
299	роль в	2	1
300	человека с	1	1
301	с собой	2	1
302	можно было	4	1
303	не нравится	1	1
304	и опирается	1	1
305	в последующих	1	1
306	когда в	2	1
307	по сравнению	1	1
308	в эпоху	1	1
309	только за	1	1
310	а по	1	1
311	является по	1	1
312	но мы	1	1
313	после того	2	1
314	а также	1	1
315	мы понимаем	2	1
316	восходит к	4	1
317	это была	1	1
318	между тем	4	1
319	нуждается в	1	1
320	я вижу	1	1
321	вполне ясно	1	1
322	все время	2	1
323	в жизнь	2	1
324	х годов	2	1
325	в литературе	1	1
326	облике и	1	1
327	перед другом	1	1
328	в новой	1	1
329	мы видим	1	1
330	с ними	2	1
331	что даже	1	1
332	только в	4	1
333	дочь и	1	1
334	приходит в	1	1
335	с одной	2	1
336	только на	1	1
337	самую суть	1	1
338	дело с	3	1
339	свидетельствует о	1	1
