N	3gram	Losev_Dial_3	KFilosof
1	не может быть	6	11
2	с точки зрения	14	10
3	может быть только	1	6
4	ни в чем	1	4
5	на самом деле	1	3
6	того или иного	2	3
7	и в этом	2	3
8	но все эти	1	3
9	в этом его	1	2
10	ни к чему	1	2
11	имеем в виду	1	2
12	на первом плане	1	2
13	бы то ни	1	2
14	то ни было	1	2
15	и ни в	1	2
16	ни в каком	3	2
17	то же время	1	2
18	вовсе не есть	5	2
19	к чему не	1	2
20	той или иной	2	2
21	в то же	1	2
22	тем не менее	10	2
23	во всем его	1	2
24	в том что	3	2
25	из нее это	1	1
26	на то что	3	1
27	и говорить о	1	1
28	а следовательно и	1	1
29	в этом мире	1	1
30	никогда не сможет	1	1
31	ничем не отличаются	1	1
32	а все остальное	1	1
33	потому что в	1	1
34	но только не	1	1
35	ровно ничего не	3	1
36	мы никогда не	1	1
37	хотя бы только	2	1
38	было ни в	2	1
39	сознание но и	1	1
40	ясно что мир	1	1
41	он не может	2	1
42	не отличаются от	1	1
43	и во всех	1	1
44	в лучшем случае	1	1
45	в зависимости от	2	1
46	и та же	1	1
47	отнюдь еще не	1	1
48	и тем не	2	1
49	и как бы	1	1
50	и в то	1	1
51	жизнь не может	1	1
52	и прошлое и	1	1
53	говорить ни о	1	1
54	не содержит в	1	1
55	я могу быть	1	1
56	в котором действительно	1	1
57	не в том	1	1
58	но может быть	1	1
59	это не значит	1	1
60	во всяком случае	2	1
61	одна и та	1	1
62	я не могу	1	1
63	и в котором	1	1
64	и пр и	1	1
65	и должен быть	1	1
66	мир как целое	3	1
67	в нем нет	1	1
68	мы не можем	2	1
69	не имеет определенного	1	1
70	только к тому	1	1
71	само по себе	5	1
72	жизни и смерти	1	1
73	из себя не	1	1
74	а не просто	6	1
75	в конечном счете	1	1
76	не менее в	1	1
77	не значит еще	1	1
78	не было ни	2	1
79	я заговорил о	1	1
80	отсюда ясно что	1	1
81	когда мы говорим	1	1
82	к тому что	2	1
83	в том смысле	1	1
84	не значит что	1	1
85	возможна только в	1	1
86	не о том	1	1
87	это может быть	1	1
88	не содержится в	1	1
89	признать что в	1	1
90	не выходит из	1	1
91	что и в	1	1
92	только тогда когда	3	1
93	если бы я	1	1
94	то же самое	1	1
95	и вопрос о	1	1
96	не есть просто	4	1
