N	3gram	Voloshinov_1	NovoeSre
1	не может быть	4	4
2	подобно тому как	1	3
3	равно как и	1	2
4	так же как	1	2
5	с одной стороны	2	2
6	с другой стороны	2	2
7	в свои права	1	2
8	что в этом	1	1
9	только потому что	1	1
10	мы должны перейти	1	1
11	есть прежде всего	3	1
12	и не может	1	1
13	в зависимости от	2	1
14	в человеческом обществе	1	1
15	в отличие от	1	1
16	можно было бы	1	1
17	о переходе от	1	1
18	они считают себя	1	1
19	это конечно не	1	1
20	не должно быть	1	1
21	вступает в свои	1	1
22	то что в	1	1
23	и вместе с	1	1
24	та или иная	1	1
25	выходит за пределы	1	1
26	в том что	2	1
27	как и в	1	1
