N	2gram	Bakhtin_fo_1	Problema
1	то есть	33	46
2	в его	13	43
3	и не	14	42
4	и в	50	38
5	и проч	4	28
6	не может	6	27
7	может быть	11	26
8	как бы	2	22
9	по отношению	3	21
10	отнюдь не	5	19
11	отношению к	5	19
12	и с	4	17
13	к содержанию	1	17
14	и его	16	16
15	в этом	25	15
16	в нем	24	15
17	и т	8	14
18	только в	4	13
19	т п	8	13
20	прежде всего	15	13
21	независимо от	1	13
22	но не	5	12
23	в искусстве	1	12
24	во всех	6	11
25	ни в	8	11
26	и для	4	11
27	не входит	2	10
28	отношение к	2	10
29	таким образом	11	10
30	в их	6	10
31	не только	9	9
32	не имеет	4	9
33	его в	3	9
34	но и	8	9
35	и как	10	8
36	входит в	3	8
37	было бы	2	8
38	точки зрения	5	8
39	место в	2	8
40	для нее	1	8
41	в том	9	8
42	и др	9	8
43	то что	6	8
44	еще не	5	7
45	в самом	8	7
46	вообще не	3	7
47	в плане	1	7
48	как и	8	7
49	не в	5	7
50	как мы	14	7
51	с другой	2	7
52	с помощью	2	7
53	но отнюдь	1	7
54	совершенно не	2	7
55	в своей	2	7
56	что в	5	7
57	отношения к	3	6
58	самом деле	1	6
59	на основе	2	6
60	там где	2	6
61	и наконец	1	6
62	в пределах	5	6
63	не к	2	6
64	с точки	2	6
65	и этим	1	6
66	можно только	2	6
67	ничего не	9	6
68	мы можем	1	6
69	все же	6	6
70	а в	3	6
71	высшей степени	1	5
72	отличие от	2	5
73	в своем	4	5
74	все эти	9	5
75	при этом	3	5
76	то же	11	5
77	это не	6	5
78	в них	4	5
79	рядом с	2	5
80	в высшей	1	5
81	далеко не	2	5
82	в отличие	2	5
83	так и	12	5
84	его целом	2	5
85	в основе	5	5
86	никогда не	2	5
87	с ним	2	5
88	может иметь	1	5
89	и прежде	2	5
90	конечно не	4	5
91	в большинстве	1	5
92	не на	1	5
93	а не	3	5
94	его чисто	1	5
95	могут быть	5	5
96	быть только	3	5
97	должно быть	1	5
98	формы и	3	5
99	все они	1	5
100	имеет место	3	5
101	конститутивным моментом	1	4
102	конечно и	4	4
103	в виду	3	4
104	в ней	4	4
105	но конечно	2	4
106	не входят	2	4
107	как в	6	4
108	но в	10	4
109	в нашем	2	4
110	в себе	3	4
111	в данном	2	4
112	но они	3	4
113	в то	9	4
114	известной степени	1	4
115	должны быть	1	4
116	здесь не	4	4
117	в ее	6	4
118	данном случае	1	4
119	о том	1	4
120	которых мы	1	4
121	от всех	1	4
122	с ними	1	4
123	каждый момент	1	4
124	всех его	1	4
125	в других	9	4
126	в форме	3	4
127	и только	1	4
128	что не	3	4
129	в романе	32	4
130	более того	3	4
131	не способна	1	4
132	и потому	3	4
133	в более	2	4
134	себя самого	1	4
135	лишь как	2	4
136	хотя бы	2	4
137	между ними	3	4
138	сказать что	3	4
139	также и	2	3
140	например в	6	3
141	на материале	2	3
142	на них	2	3
143	мы будем	2	3
144	точка зрения	1	3
145	менее всего	1	3
146	нет и	2	3
147	значение имеет	1	3
148	значение для	1	3
149	кроме того	4	3
150	и к	2	3
151	в целом	2	3
152	вследствие этого	3	3
153	он не	5	3
154	в мире	1	3
155	а как	3	3
156	с другими	3	3
157	том что	4	3
158	как его	1	3
159	же время	9	3
160	определенности и	1	3
161	или как	4	3
162	все то	2	3
163	как только	1	3
164	слова но	1	3
165	в событии	1	3
166	и это	4	3
167	хотя и	3	3
168	и от	1	3
169	приводит к	1	3
170	в дальнейшем	6	3
171	ясно что	2	3
172	если бы	5	3
173	но здесь	1	3
174	на ее	1	3
175	природы и	2	3
176	на почве	2	3
177	одной из	3	3
178	мы увидим	1	3
179	с одной	3	3
180	со всеми	3	3
181	входят в	1	3
182	и даже	2	3
183	оно не	2	3
184	себя и	3	3
185	одной стороны	2	3
186	на фоне	3	3
187	в иных	1	3
188	и на	8	3
189	в тех	1	3
190	здесь совершенно	2	3
191	да и	3	3
192	слова и	2	3
193	все это	4	3
194	природу и	1	3
195	не больше	1	3
196	не является	2	3
197	она может	1	3
198	от него	1	3
199	и все	6	3
200	не знает	3	3
201	в таком	3	3
202	они не	3	3
203	смысле слова	2	2
204	ряд как	1	2
205	лишь там	1	2
206	он может	1	2
207	и есть	1	2
208	в котором	4	2
209	др в	2	2
210	значение но	2	2
211	их и	2	2
212	есть не	3	2
213	со всех	1	2
214	мы имеем	1	2
215	единство и	1	2
216	но она	2	2
217	не вполне	1	2
218	это отношение	1	2
219	я не	1	2
220	и он	1	2
221	всех сторон	1	2
222	событие как	1	2
223	первый план	1	2
224	в чем	2	2
225	с его	9	2
226	но как	1	2
227	а только	2	2
228	с совершенно	1	2
229	в истории	2	2
230	себе не	1	2
231	целого произведения	1	2
232	и у	5	2
233	что это	1	2
234	момент его	2	2
235	бы не	1	2
236	нами в	1	2
237	и те	3	2
238	на то	1	2
239	не имеют	3	2
240	не следует	1	2
241	оно было	1	2
242	но нельзя	1	2
243	он должен	2	2
244	в корне	1	2
245	человека в	17	2
246	в каждом	1	2
247	здесь мы	1	2
248	лишь в	6	2
249	и других	3	2
250	эти моменты	3	2
251	о которых	1	2
252	место и	3	2
253	строгом смысле	2	2
254	на первый	1	2
255	совершенно независимо	1	2
256	и при	1	2
257	не путем	1	2
258	и более	1	2
259	том же	2	2
260	и вообще	2	2
261	раз и	2	2
262	в таких	1	2
263	она не	1	2
264	дело в	2	2
265	одна из	2	2
266	того чтобы	5	2
267	чем не	3	2
268	в самой	2	2
269	все стороны	1	2
270	во всем	2	2
271	связи с	6	2
272	здесь же	1	2
273	так называемый	2	2
274	этом отношении	3	2
275	они лежат	1	2
276	у нас	1	2
277	к себе	4	2
278	не могут	3	2
279	есть только	2	2
280	отличается от	1	2
281	что оно	1	2
282	для того	5	2
283	быть конечно	2	2
284	должен быть	1	2
285	что все	2	2
286	самим собою	3	2
287	в себя	1	2
288	степени и	1	2
289	особенно в	1	2
290	и которые	1	2
291	с самим	5	2
292	здесь нет	3	2
293	здесь все	2	2
