N	2gram	Vygotskiy__6	Sotsiolo
1	все это	2	7
2	в том	28	5
3	в этом	27	5
4	и только	3	3
5	как же	1	3
6	для нас	2	3
7	не только	16	3
8	и в	28	3
9	не в	4	3
10	в его	3	3
11	за пределы	1	2
12	как только	2	2
13	но и	10	2
14	конце концов	1	2
15	было бы	9	2
16	к которому	2	2
17	только в	18	2
18	дело не	1	2
19	далеко не	1	2
20	нужно было	1	2
21	в результате	1	2
22	тем более	1	2
23	том что	19	2
24	в частности	4	2
25	то что	28	2
26	главным образом	1	2
27	или даже	1	2
28	и что	6	2
29	еще не	8	2
30	только как	1	2
31	таким образом	18	2
32	это и	3	2
33	отношению к	10	2
34	в конце	2	2
35	что в	17	2
36	может быть	13	2
37	как бы	11	2
38	по отношению	10	2
39	очевидно что	3	2
40	и заключается	1	2
41	по существу	2	2
42	то же	7	2
43	не из	2	1
44	друг от	1	1
45	что все	5	1
46	опираясь на	1	1
47	наконец в	1	1
48	по себе	3	1
49	даже в	1	1
50	эти вопросы	1	1
51	в этой	5	1
52	тому что	11	1
53	отнюдь не	1	1
54	эти два	1	1
55	то положительное	1	1
56	какие же	2	1
57	этой области	2	1
58	на все	1	1
59	и самые	1	1
60	с другой	2	1
61	его в	6	1
62	зависимость и	1	1
63	с ним	2	1
64	лучшем случае	1	1
65	это не	5	1
66	на этот	4	1
67	именно в	4	1
68	в чем	6	1
69	научного исследования	1	1
70	значении слова	1	1
71	же по	1	1
72	все же	2	1
73	один из	3	1
74	перед нами	1	1
75	психологии и	1	1
76	в то	6	1
77	кто не	1	1
78	мысли в	4	1
79	тем же	1	1
80	и наконец	2	1
81	еще и	1	1
82	только то	3	1
83	а с	1	1
84	том как	2	1
85	тем что	8	1
86	может означать	1	1
87	в наше	1	1
88	и как	6	1
89	и затем	1	1
90	в процессе	9	1
91	что эти	1	1
92	на ней	2	1
93	что он	18	1
94	прежде всего	2	1
95	бы он	1	1
96	в них	3	1
97	так и	6	1
98	одной стороны	1	1
99	те же	3	1
100	но только	2	1
101	и не	11	1
102	в любой	2	1
103	никогда не	8	1
104	зависит от	3	1
105	мы не	6	1
106	это как	1	1
107	как то	1	1
108	развития и	10	1
109	и о	1	1
110	связь между	4	1
111	все эти	2	1
112	образования понятий	2	1
113	целом все	1	1
114	именно на	1	1
115	как и	6	1
116	между собой	9	1
117	его работах	1	1
118	бы в	3	1
119	с помощью	13	1
120	для этого	2	1
121	в настоящее	1	1
122	иначе говоря	3	1
123	этих вопросов	1	1
124	мы должны	3	1
125	первый план	1	1
126	остается в	2	1
127	в сущности	7	1
128	развития развитие	1	1
129	против этого	1	1
130	образом в	3	1
131	конечно не	1	1
132	в связи	2	1
133	часть нашей	1	1
134	на первый	1	1
135	и его	3	1
136	в этих	2	1
137	связи с	3	1
138	от друга	1	1
139	в лучшем	1	1
140	в целом	3	1
141	от общих	1	1
142	не может	19	1
143	в своей	2	1
144	только тогда	4	1
145	а в	2	1
146	не способен	1	1
147	благодаря этому	1	1
148	самому существу	1	1
149	что она	1	1
150	можно будет	1	1
151	о том	1	1
152	его исследования	1	1
153	обобщения которые	1	1
154	по самому	2	1
155	в области	6	1
156	к изучению	1	1
157	настоящее время	1	1
158	представить себе	3	1
159	он ни	1	1
160	факта что	1	1
161	но именно	1	1
162	в котором	2	1
163	никак не	1	1
164	между ними	7	1
165	из тех	1	1
166	конечно только	1	1
167	могут оказаться	2	1
168	обобщения могут	2	1
169	может не	1	1
170	когда мы	6	1
171	в силу	17	1
172	ни на	1	1
173	что это	1	1
174	вовсе не	1	1
175	новое и	1	1
176	ли не	1	1
177	на отдельные	1	1
178	же самое	6	1
179	с одной	1	1
180	в заключение	1	1
181	но не	10	1
182	у него	2	1
183	в систему	1	1
184	в виде	1	1
185	в данном	2	1
186	между тем	1	1
187	но как	3	1
188	и по	3	1
189	означает только	1	1
190	что на	4	1
191	это по	1	1
192	понимать что	2	1
193	и более	2	1
194	том и	1	1
195	бы они	1	1
196	перейти к	2	1
197	в каждом	3	1
198	они не	4	1
