N	2gram	Bakhtin_fo_1	VrazhdaK
1	не только	9	9
2	в этом	25	8
3	и в	50	8
4	но и	8	7
5	и все	6	7
6	то что	6	7
7	что в	5	7
8	все же	6	6
9	но в	10	6
10	в нем	24	6
11	как и	8	6
12	в котором	4	6
13	и с	4	6
14	в начале	3	6
15	и даже	2	6
16	в романе	32	6
17	то же	11	5
18	об этом	2	5
19	в то	9	5
20	же время	9	5
21	у него	6	5
22	не было	7	5
23	и не	14	5
24	в ней	4	4
25	что он	1	4
26	в истории	2	4
27	при этом	3	4
28	это не	6	4
29	все это	4	4
30	в виду	3	4
31	во многом	2	4
32	с ним	2	4
33	о том	1	4
34	для нас	2	4
35	уже в	2	4
36	может быть	11	4
37	как бы	2	4
38	в своих	1	4
39	так же	6	4
40	одним из	1	3
41	который был	1	3
42	я не	1	3
43	он был	1	3
44	в чем	2	3
45	с его	9	3
46	в своем	4	3
47	и как	10	3
48	в этот	2	3
49	раз в	4	3
50	на то	1	3
51	его в	3	3
52	он не	5	3
53	далеко не	2	3
54	и уже	3	3
55	том что	4	3
56	но он	2	3
57	и его	16	3
58	связи с	6	3
59	человека в	17	3
60	и во	7	3
61	в его	13	3
62	в том	9	3
63	и у	5	3
64	в конце	9	3
65	тем что	2	3
66	в связи	5	3
67	в те	1	3
68	наряду с	5	3
69	он использовал	1	3
70	имел в	1	3
71	к этому	3	3
72	отношения к	3	2
73	же как	2	2
74	и то	4	2
75	и он	1	2
76	он сам	1	2
77	но как	1	2
78	в эти	1	2
79	человека с	1	2
80	отнюдь не	5	2
81	в той	4	2
82	его на	2	2
83	мотивы и	1	2
84	в этой	1	2
85	в себе	3	2
86	время и	4	2
87	о которой	1	2
88	их в	3	2
89	таким образом	11	2
90	в мире	1	2
91	в них	4	2
92	рядом с	2	2
93	на первый	1	2
94	в эту	1	2
95	во время	1	2
96	точки зрения	5	2
97	в своей	2	2
98	и ее	3	2
99	с точки	2	2
100	место в	2	2
101	том же	2	2
102	одна из	2	2
103	никогда не	2	2
104	в роман	4	2
105	в момент	1	2
106	к себе	4	2
107	к типу	1	2
108	его с	1	2
109	время он	1	2
110	и это	4	2
111	на основе	2	2
112	так в	1	2
113	еще не	5	2
114	а также	2	2
115	этот момент	1	2
116	тем более	1	2
117	с нею	1	2
118	уже не	2	2
119	при помощи	1	2
120	из них	1	2
121	его и	2	2
122	для него	2	2
123	отношение к	2	2
124	к ним	2	2
125	как раз	13	2
126	и т.п	4	2
127	и стал	2	2
128	с которым	1	2
129	о чем	1	2
130	начиная с	1	2
131	в честь	2	2
132	не может	6	2
133	вместе с	3	2
134	в него	1	2
135	ко мне	1	2
136	в это	2	2
137	же в	3	2
138	а в	3	2
139	в свою	2	2
140	этого романа	4	1
141	также и	2	1
142	человека и	11	1
143	литературе эта	1	1
144	того же	8	1
145	к своей	2	1
146	которого никто	1	1
147	идет о	1	1
148	и есть	1	1
149	ему что	1	1
150	по преимуществу	3	1
151	романе не	3	1
152	в их	6	1
153	по его	1	1
154	из всех	1	1
155	той же	2	1
156	именно к	1	1
157	начинается с	1	1
158	равно как	2	1
159	роман в	4	1
160	это отношение	1	1
161	событий и	3	1
162	с исторической	1	1
163	и тонко	1	1
164	всего романа	1	1
165	и наказание	1	1
166	и был	1	1
167	это время	7	1
168	собой в	1	1
169	на них	2	1
170	первый план	1	1
171	материала это	1	1
172	влияния на	2	1
173	служит для	1	1
174	по своему	1	1
175	а следовательно	1	1
176	и всего	1	1
177	совсем не	2	1
178	но не	5	1
179	энергии и	1	1
180	и т.д	1	1
181	есть по	1	1
182	тут же	1	1
183	преступление и	1	1
184	некоторые мотивы	1	1
185	и я	1	1
186	как по	2	1
187	независимо от	1	1
188	как в	6	1
189	с этим	6	1
190	для всех	2	1
191	и наконец	1	1
192	не являются	2	1
193	себе не	1	1
194	эту проблему	1	1
195	в самом	8	1
196	что это	1	1
197	в целом	2	1
198	момент его	2	1
199	не был	1	1
200	только два	2	1
201	выражение в	2	1
202	и холодным	1	1
203	тому же	2	1
204	как он	2	1
205	он всегда	1	1
206	не могла	1	1
207	да и	3	1
208	высшей степени	1	1
209	всех этих	5	1
210	этот процесс	5	1
211	в плане	1	1
212	одно и	3	1
213	есть все	1	1
214	конечно в	1	1
215	мировой литературе	2	1
216	их и	2	1
217	самим собой	2	1
218	это было	1	1
219	было бы	2	1
220	в жизни	6	1
221	в высшей	1	1
222	соответствии с	2	1
223	которой он	1	1
224	одного и	5	1
225	в этих	3	1
226	и личные	1	1
227	и их	8	1
228	всяком случае	1	1
229	были известны	1	1
230	далее в	1	1
231	своего рода	1	1
232	черты характера	1	1
233	есть еще	1	1
234	с такими	1	1
235	что этот	1	1
236	времени а	1	1
237	возвращается к	1	1
238	раз и	2	1
239	успех у	1	1
240	на три	1	1
241	вплоть до	1	1
242	но они	3	1
243	человека но	1	1
244	не имеет	4	1
245	правда в	1	1
246	в процессе	4	1
247	как о	1	1
248	героев и	3	1
249	нем в	2	1
250	следовательно и	1	1
251	ничего не	9	1
252	это то	2	1
253	вне его	2	1
254	того в	1	1
255	в другую	2	1
256	его судьбу	1	1
257	по своей	1	1
258	это слово	1	1
259	потому что	4	1
260	существуют в	1	1
261	этом отношении	3	1
262	в каком	2	1
263	такие же	1	1
264	в мировой	2	1
265	могут быть	5	1
266	во все	2	1
267	вследствие которых	1	1
268	вошли в	1	1
269	похож на	1	1
270	отличается от	1	1
271	этого и	1	1
272	по всем	2	1
273	она же	2	1
274	уже на	2	1
275	правда не	2	1
276	не совсем	1	1
277	с ее	6	1
278	и образ	3	1
279	свою очередь	1	1
280	это будет	1	1
281	к друзьям	1	1
282	в ее	6	1
283	не могло	5	1
284	то время	4	1
285	роль в	9	1
286	и сам	1	1
287	человека он	1	1
288	так и	12	1
289	ясно что	2	1
290	было в	1	1
291	живет в	1	1
292	вошел в	1	1
293	жизнь и	4	1
294	и вообще	2	1
295	можно бы	1	1
296	во всяком	3	1
297	его жизни	8	1
298	до сих	3	1
299	единства и	2	1
300	нас в	3	1
301	затем в	1	1
302	и сильно	1	1
303	во всех	6	1
304	от них	1	1
305	во всей	3	1
306	в форме	3	1
307	тотчас же	1	1
308	все в	1	1
309	романа в	5	1
310	также в	1	1
311	использовал и	1	1
312	человека как	1	1
313	в литературе	16	1
314	один из	3	1
315	день все	1	1
316	не встретились	2	1
317	романа и	3	1
318	действие в	1	1
319	проникнуть в	1	1
320	во всем	2	1
321	то он	1	1
322	и кончая	2	1
323	в литературу	1	1
324	в качестве	3	1
325	себя в	1	1
326	ни с	2	1
327	говорит о	1	1
328	никто не	2	1
329	пока не	1	1
330	мы находим	2	1
331	в одном	3	1
332	литературу в	1	1
333	привела к	1	1
334	друг друга	3	1
335	лишь один	2	1
336	в особенности	9	1
337	связан с	1	1
338	и речи	5	1
339	о своей	2	1
340	с другой	2	1
341	немалую роль	1	1
342	именно в	3	1
343	к роману	1	1
344	характерно для	1	1
345	прежде всего	15	1
346	в соответствии	2	1
347	что им	1	1
348	попадает в	2	1
349	до конца	4	1
350	и самый	1	1
351	в ту	1	1
352	человек в	3	1
353	романа однако	1	1
354	одну из	1	1
355	что из	1	1
356	себя на	1	1
357	с помощью	2	1
358	нет ничего	4	1
359	в частности	6	1
360	два человека	1	1
361	время с	1	1
362	и гораздо	1	1
363	из которых	1	1
364	не знал	1	1
365	этого типа	5	1
366	того что	2	1
367	в остальном	1	1
368	с любовью	1	1
369	в условиях	7	1
370	сих пор	3	1
371	в основном	5	1
372	между прочим	1	1
373	но для	2	1
374	этом романе	2	1
375	ближе к	1	1
376	более того	3	1
377	но какое	1	1
378	героини и	1	1
379	и от	1	1
380	но на	4	1
381	человек и	2	1
382	хотя и	3	1
383	и перед	1	1
384	за рубежом	1	1
385	бы в	1	1
386	еще более	3	1
387	у которого	1	1
388	но зато	1	1
389	уже давно	1	1
390	своего народа	1	1
391	быть и	2	1
392	они как	1	1
393	больших и	1	1
394	бы его	1	1
395	героя в	1	1
396	жизни и	8	1
397	к этой	1	1
398	он у	2	1
399	он лишь	1	1
400	в таком	3	1
401	они не	3	1
