N	2gram	Medvedev_V_1	StatiiOP
1	и в	26	25
2	в этом	26	24
3	у пушкина	2	22
4	пушкина в	1	21
5	в том	15	20
6	что он	4	19
7	может быть	22	19
8	тем что	1	19
9	что в	10	19
10	том что	8	15
11	в этой	4	14
12	не только	25	12
13	в его	14	12
14	то что	6	12
15	пушкина к	1	11
16	в этих	1	11
17	пушкин в	2	10
18	таким образом	31	10
19	прежде всего	13	10
20	и не	19	10
21	у него	6	9
22	но и	10	9
23	и т	23	8
24	все это	10	8
25	о том	10	8
26	как например	2	8
27	это было	1	8
28	т е	18	8
29	в своих	2	8
30	из его	3	7
31	с этим	3	7
32	это не	7	7
33	было бы	7	7
34	в то	6	7
35	не может	17	7
36	точки зрения	3	7
37	что такое	2	7
38	как в	1	6
39	из этих	7	6
40	не в	6	6
41	между тем	5	6
42	только в	7	6
43	из рыцарских	1	6
44	т п	9	6
45	в конце	3	6
46	в области	2	6
47	рыцарских времен	1	6
48	как бы	5	6
49	а в	3	6
50	как на	3	6
51	в году	6	5
52	то же	10	5
53	ответ на	1	5
54	говорит что	1	5
55	но в	2	5
56	на то	1	5
57	он не	2	5
58	об этом	9	5
59	говорил что	2	5
60	на почве	1	5
61	ни в	1	5
62	мы имеем	3	5
63	в котором	3	5
64	потому что	1	5
65	и это	1	5
66	так и	5	5
67	в них	4	5
68	отметить что	2	5
69	с другой	11	5
70	связано с	1	5
71	а не	7	5
72	того что	3	5
73	другой стороны	8	5
74	например в	3	4
75	что эти	1	4
76	в которой	2	4
77	время как	1	4
78	из которых	2	4
79	в чем	2	4
80	в общем	2	4
81	относится к	2	4
82	все же	5	4
83	не было	7	4
84	и к	3	4
85	то в	1	4
86	в целом	4	4
87	на его	1	4
88	в каждом	2	4
89	лишь в	2	4
90	на протяжении	1	4
91	этом смысле	1	4
92	в жизни	2	4
93	с тем	3	4
94	как и	7	4
95	работал над	3	4
96	а как	2	4
97	у нас	2	4
98	по крайней	2	4
99	в устах	1	4
100	к ней	1	4
101	этом отношении	13	4
102	в каком	1	4
103	связана с	2	4
104	отличается от	2	4
105	в ней	2	4
106	если бы	3	4
107	можно сказать	4	4
108	а также	1	4
109	мы видим	1	4
110	в качестве	11	4
111	в печатном	1	4
112	и др	9	4
113	в начале	1	4
114	всяком случае	1	4
115	отношение к	1	4
116	то время	1	4
117	крайней мере	2	4
118	в особенности	2	4
119	действующих лиц	5	4
120	он говорит	5	4
121	в течение	2	4
122	и для	2	4
123	но это	1	4
124	сказать что	5	4
125	в своей	4	4
126	это в	1	4
127	можно назвать	1	4
128	во всяком	1	4
129	говорить о	2	3
130	подчеркнуть что	2	3
131	он был	1	3
132	или из	1	3
133	с его	3	3
134	в в	1	3
135	кроме того	1	3
136	в творчестве	3	3
137	что по	1	3
138	и наконец	2	3
139	все эти	6	3
140	и если	1	3
141	всех этих	2	3
142	на этом	1	3
143	что этот	1	3
144	в другом	2	3
145	показывает что	1	3
146	несмотря на	1	3
147	нет никакого	1	3
148	в их	5	3
149	но он	1	3
150	на эти	2	3
151	тому что	6	3
152	во время	3	3
153	на язык	2	3
154	же время	5	3
155	связи с	4	3
156	что все	3	3
157	нельзя не	1	3
158	представляют собою	2	3
159	на вопрос	2	3
160	и что	1	3
161	по этому	9	3
162	у которого	1	3
163	пушкин придавал	1	3
164	и его	6	3
165	вот что	9	3
166	уже не	1	3
167	уже в	1	3
168	для него	8	3
169	в системе	2	3
170	как раз	3	3
171	не является	5	3
172	писателя и	2	3
173	что для	3	3
174	одной стороны	2	3
175	что мы	2	3
176	в связи	3	3
177	с этой	1	3
178	между прочим	2	3
179	этого рода	2	3
180	в стихотворении	1	3
181	находит свое	1	3
182	конце концов	2	3
183	все они	2	3
184	к этому	9	3
185	в виде	1	3
186	в какой	1	3
187	которой я	1	3
188	речь идет	1	2
189	самом деле	1	2
190	он может	2	2
191	значит и	3	2
192	в каждой	1	2
193	не был	1	2
194	во всех	6	2
195	но как	3	2
196	только тогда	1	2
197	если в	2	2
198	нет и	3	2
199	что они	3	2
200	в самом	4	2
201	формы в	1	2
202	в следующих	1	2
