N	3gram	Tiupa_Lite_1	PoTuStor
1	с точки зрения	2	6
2	по ту сторону	1	4
3	на самом деле	1	4
4	с самого начала	1	4
5	до сих пор	1	3
6	по крайней мере	1	3
7	во всяком случае	2	3
8	не может быть	1	3
9	может быть это	3	3
10	в большинстве случаев	1	3
11	а потому и	1	2
12	по аналогии с	3	2
13	в самом деле	1	2
14	о том что	2	2
15	в конечном счете	4	2
16	и в этом	1	2
17	не нуждается в	1	2
18	и того же	1	1
19	то что я	1	1
20	дело в том	2	1
21	подобно тому как	2	1
22	одного и того	1	1
23	во многих случаях	1	1
24	герой нашего времени	1	1
25	бы то ни	1	1
26	а потому не	1	1
27	в этом отношении	2	1
28	можно было бы	1	1
29	как это было	1	1
30	все же в	2	1
31	а то и	1	1
32	это приводит к	1	1
33	и вот она	1	1
34	с этой точки	3	1
35	в каком отношении	1	1
36	нуждается в объекте	1	1
37	мы узнаем о	1	1
38	в данном случае	4	1
39	то ни было	1	1
40	с одной стороны	2	1
41	в связи с	4	1
42	в себя и	1	1
43	как один из	1	1
44	а с другой	1	1
45	один из моментов	1	1
46	в этом и	1	1
47	в том что	11	1
48	этой точки зрения	3	1
49	и только то	1	1
50	еще в году	2	1
51	во внешнем мире	1	1
52	и прежде всего	3	1
53	этом своем качестве	1	1
54	в этом своем	1	1
55	на всю жизнь	1	1
56	и др к	1	1
57	быть не может	1	1
58	на первый взгляд	1	1
59	как мы знаем	1	1
