N	3gram	Kanaev_Sov_1	Marksizm
1	с точки зрения	5	20
2	не может быть	4	13
3	в самом деле	1	9
4	и не может	1	9
5	до сих пор	1	8
6	бы то ни	1	8
7	то ни было	1	8
8	в связи с	1	7
9	в настоящее время	2	6
10	в отличие от	2	5
11	одни и те	1	5
12	и те же	1	5
13	с самого начала	3	4
14	в этом случае	1	3
15	то же самое	2	3
16	на этот вопрос	1	3
17	может быть и	2	3
18	и тот же	1	3
19	один и тот	1	3
20	то же время	1	3
21	но все же	1	3
22	в то же	1	3
23	в том что	1	3
24	теперь мы должны	1	2
25	и той же	1	2
26	можно было бы	1	2
27	ведь ясно что	1	2
28	так же как	1	2
29	во всяком случае	2	2
30	не могут быть	1	2
31	одной и той	1	2
32	по отношению к	1	2
33	совершенно независимо от	1	2
34	в свою очередь	2	2
35	быть и речи	1	2
36	и прежде всего	1	2
37	в этом смысле	1	2
38	тем не менее	2	2
39	все более и	1	1
40	и пр но	1	1
41	оно может быть	1	1
42	равно как и	1	1
43	главного представителя современного	1	1
44	тот или иной	1	1
45	сами по себе	1	1
46	состоит из двух	1	1
47	не было бы	1	1
48	по аналогии с	1	1
49	совершенно так же	1	1
50	но если мы	1	1
51	реальный момент времени	2	1
52	но уже в	1	1
53	может быть только	1	1
54	в предыдущей главе	1	1
55	а не только	1	1
56	дело идет о	1	1
57	же этот процесс	1	1
58	в один реальный	1	1
59	с одной стороны	1	1
60	не может ведь	1	1
61	ничего общего не	1	1
62	точки зрения и	1	1
63	и не было	1	1
64	прежде всего необходимо	1	1
65	всегда и всюду	1	1
66	какой бы то	1	1
67	в этом направлении	1	1
68	что в каждом	1	1
69	и та же	1	1
70	одна и та	1	1
71	ни в один	1	1
72	от общего и	1	1
73	один реальный момент	1	1
74	именно в том	1	1
75	до наших дней	1	1
76	мы уже знаем	1	1
77	она и не	1	1
78	как и во	1	1
79	это значит что	1	1
80	ясно что все	1	1
81	самый вопрос о	2	1
82	ни о каком	1	1
83	более и более	1	1
84	в результате мы	1	1
85	в новое время	1	1
86	как мы видим	1	1
87	лишь там где	1	1
88	на самом деле	1	1
89	все это делает	1	1
90	друг с другом	2	1
91	может быть в	1	1
92	той или иной	1	1
