N	3gram	Nazirov_Tr_1	FransuaR
1	в то же	5	6
2	то же время	5	6
3	не может быть	1	4
4	в известной мере	1	3
5	в xix веке	1	3
6	но в то	2	3
7	о том что	2	3
8	в году в	2	2
9	в своей книге	1	2
10	по сравнению с	1	2
11	во всяком случае	1	2
12	но несмотря на	1	2
13	но все же	2	2
14	которые так часто	1	1
15	от всего что	1	1
16	эти образы и	1	1
17	и не может	1	1
18	один из популярнейших	1	1
19	в дальнейшем этот	1	1
20	средство для достижения	1	1
21	к своей любовнице	1	1
22	но и на	1	1
23	в конце концов	1	1
24	в чем же	1	1
25	так и в	3	1
26	в году и	1	1
27	прежде всего необходимо	1	1
28	в основном на	1	1
29	не могут быть	1	1
30	относится еще к	1	1
31	все эти образы	1	1
32	в этом случае	1	1
33	не только не	1	1
34	как своего рода	1	1
35	после того как	1	1
36	это как бы	1	1
37	в том что	2	1
38	как и в	1	1
