N	2gram	Medvedev_V_1	VeschiIm
1	т е	18	42
2	не может	17	33
3	не только	25	31
4	может быть	22	29
5	и не	19	28
6	и в	26	26
7	то что	6	24
8	и есть	5	23
9	значит что	2	22
10	это значит	1	22
11	и т	23	21
12	т д	14	20
13	а не	7	20
14	что она	2	14
15	только в	7	14
16	по себе	2	13
17	и что	1	13
18	того что	3	13
19	и то	1	12
20	все же	5	12
21	было бы	7	12
22	и ее	4	12
23	но и	10	12
24	сказать что	5	12
25	а и	1	11
26	таким образом	31	11
27	с нею	2	11
28	то же	10	10
29	в ней	2	10
30	не значит	1	10
31	как бы	5	10
32	что такое	2	10
33	потому что	1	10
34	уже не	1	10
35	что мы	2	10
36	в самом	4	9
37	в том	15	9
38	что не	3	9
39	еще и	2	9
40	прежде всего	13	9
41	с ее	1	8
42	сущности и	1	8
43	в вещи	1	8
44	в себе	6	8
45	на то	1	8
46	и это	1	8
47	себя и	1	8
48	но это	1	8
49	также и	2	7
50	говорить о	2	7
51	в этом	26	7
52	его в	3	7
53	с другими	2	7
54	том что	8	7
55	в то	6	7
56	со своим	2	7
57	ли это	2	7
58	что оно	3	7
59	в свете	1	7
60	и их	3	7
61	как раз	3	7
62	смысла и	1	7
63	от всего	1	7
64	е в	2	7
65	совершенно не	1	7
66	есть и	1	7
67	что они	3	6
68	и как	3	6
69	но в	2	6
70	бы и	6	6
71	одно и	1	6
72	точки зрения	3	6
73	по крайней	2	6
74	с ним	1	6
75	она не	3	6
76	значит ли	1	6
77	отличается от	2	6
78	можно было	2	6
79	должно быть	2	6
80	крайней мере	2	6
81	для него	8	6
82	но что	1	6
83	относится к	2	6
84	в результате	5	6
85	жизни и	3	6
86	что в	10	6
87	это и	6	5
88	на себя	1	5
89	в чем	2	5
90	но не	2	5
91	необходимо и	2	5
92	отнюдь не	3	5
93	чем же	4	5
94	это не	7	5
95	с тем	3	5
96	не в	6	5
97	не менее	2	5
98	одна из	4	5
99	у нас	2	5
100	свою очередь	1	5
101	в ее	4	5
102	должны быть	2	5
103	если бы	3	5
104	для этого	1	5
105	еще не	2	5
106	что для	3	5
107	с этой	1	5
108	и для	2	5
109	из себя	2	5
110	а в	3	5
111	в свою	1	5
112	это что	1	4
113	то это	2	4
114	в их	5	4
115	вещь в	1	4
116	во всех	6	4
117	нет и	3	4
118	с этим	3	4
119	в своем	8	4
120	если есть	1	4
121	же не	1	4
122	на почве	1	4
123	как и	7	4
124	между собою	2	4
125	вещи в	1	4
126	что есть	1	4
127	можно ли	2	4
128	на себе	1	4
129	же время	5	4
130	должен быть	4	4
131	то или	1	4
132	только то	2	4
133	о том	10	4
134	с другой	11	4
135	что и	3	4
136	с а	1	4
137	быть и	1	4
138	оно и	1	4
139	этот вопрос	3	4
140	е не	1	4
141	из них	9	4
142	так то	1	4
143	тем что	1	4
144	себя это	1	4
145	со всем	1	4
146	и даже	2	4
147	даже не	2	4
148	как же	1	4
149	и потому	2	4
150	мы говорим	1	4
151	в данном	1	4
152	и все	1	4
153	собственно говоря	1	4
154	от того	2	4
155	между ними	3	4
156	есть то	1	4
157	сам по	1	3
158	самом деле	1	3
159	или ее	1	3
160	мы имеем	3	3
161	вопрос о	1	3
162	из того	1	3
163	но даже	3	3
164	собою и	2	3
165	момент в	3	3
166	явлений и	3	3
167	более или	6	3
168	ее как	2	3
169	как оно	1	3
170	в нем	6	3
171	раз навсегда	1	3
172	подобно тому	2	3
173	на этом	1	3
174	было в	2	3
175	в жизни	2	3
176	сущность и	1	3
177	несмотря на	1	3
178	значит не	1	3
179	или менее	6	3
180	отрыве от	1	3
181	в своей	4	3
182	все это	10	3
183	их в	6	3
184	между прочим	2	3
185	как можно	1	3
186	как о	2	3
187	тогда когда	2	3
188	в основе	1	3
189	того чтобы	3	3
190	или как	1	3
191	к ней	1	3
192	в философии	4	3
193	к тому	4	3
194	на это	2	3
195	можно и	1	3
196	и сам	1	3
197	так и	5	3
198	можно сказать	4	3
199	если это	1	3
200	один из	5	3
201	мы видим	1	3
202	что он	4	3
203	но как	3	3
204	но то	2	3
205	без этого	1	3
206	только на	1	3
207	и чисто	1	3
208	сама по	1	3
209	в одном	4	3
210	отношение к	1	3
211	даже и	3	3
212	никогда не	4	3
213	вместе с	7	3
214	в той	1	3
215	тому как	2	3
216	вещи для	1	3
217	да и	1	3
218	к пониманию	1	3
219	бы в	3	3
220	и ни	1	3
221	хотя бы	19	3
222	не быть	2	3
223	отношении но	1	2
224	по законам	1	2
225	можно говорить	1	2
226	в сфере	2	2
227	как это	12	2
228	и значит	2	2
229	ту же	2	2
230	из его	3	2
231	обойтись без	1	2
232	как мы	1	2
233	человека и	3	2
234	но она	1	2
