N	3gram	Bakhtin_fo_1	Vladivir
1	о том что	1	7
2	в том что	2	7
3	дело в том	2	4
4	то же время	9	4
5	в то же	6	4
6	том что в	1	3
7	не может быть	3	3
8	как мы уже	8	3
9	как раз и	2	2
10	на первый план	1	2
11	главным образом в	1	2
12	и в то	5	2
13	как мы увидим	1	2
14	так как он	1	2
15	и в частности	2	2
16	не только в	2	2
17	в то время	3	2
18	во всяком случае	1	2
19	мы уже сказали	2	2
20	всей его жизни	1	2
21	для того чтобы	5	2
22	к тому же	2	2
23	в положительном смысле	1	1
24	а следовательно и	1	1
25	да и в	1	1
26	другой день после	1	1
27	в чем не	2	1
28	по этому вопросу	1	1
29	в дальнейшем в	1	1
30	человек может быть	1	1
31	с ним но	1	1
32	в самом деле	1	1
33	и в особенности	2	1
34	и по существу	1	1
35	что мы и	1	1
36	в том же	1	1
37	так и его	1	1
38	весьма часто и	1	1
39	некоторые моменты его	1	1
40	и во многом	1	1
41	и в дальнейшем	1	1
42	но все это	1	1
43	и в отрицательном	1	1
44	всю его жизнь	1	1
45	и совсем не	1	1
46	большую роль в	1	1
47	в значительной мере	1	1
48	вместе с тем	2	1
49	одно и то	3	1
50	в это время	1	1
51	как раз в	4	1
52	то время как	2	1
53	но в то	1	1
54	с одной стороны	2	1
55	смысле этого слова	1	1
56	в связи с	5	1
57	и то же	3	1
58	а также и	2	1
59	и в этом	1	1
60	и в быту	1	1
61	и ничего не	1	1
62	ни к какой	1	1
63	в этот момент	1	1
64	кроме того в	1	1
65	мы уже знаем	1	1
66	со всеми его	2	1
67	мы будем называть	1	1
68	что касается до	1	1
69	и в том	1	1
70	мы уже видели	1	1
71	их жизни но	1	1
72	в разных местах	1	1
73	ни в чем	2	1
74	так и в	1	1
75	в свою очередь	1	1
76	еще вовсе не	1	1
77	но он не	1	1
78	с тем что	1	1
79	но отнюдь не	1	1
80	на несколько дней	1	1
81	прямое и непосредственное	1	1
82	и в литературе	1	1
83	в особенности же	1	1
84	момент его жизни	1	1
85	в себе не	1	1
86	на другой день	2	1
87	в жизни и	1	1
88	в этом отношении	3	1
89	также и в	2	1
