N	2gram	Vygotskiy__4	VLabPisa
1	таким образом	13	27
2	в этом	28	26
3	и в	33	25
4	и т	6	24
5	не только	7	22
6	во сне	1	21
7	может быть	22	21
8	хотя бы	2	20
9	и не	13	19
10	не может	10	17
11	т д	2	15
12	в его	10	15
13	прежде всего	2	13
14	в том	21	13
15	все это	13	12
16	как это	14	12
17	в частности	4	12
18	вот что	1	11
19	из них	4	11
20	с другой	2	11
21	в художественном	2	10
22	о том	20	10
23	т п	3	9
24	об этом	4	9
25	что в	21	9
26	для него	1	9
27	но и	3	9
28	то же	9	9
29	и др	1	9
30	к этому	4	9
31	все эти	6	8
32	по словам	2	8
33	другой стороны	2	8
34	не следует	1	8
35	в своем	7	8
36	из этих	2	7
37	как и	5	7
38	говорит о	4	7
39	же в	1	7
40	отношению к	1	7
41	не было	3	7
42	вот например	2	7
43	произведения и	1	7
44	во всех	2	7
45	вместе с	8	7
46	по отношению	1	7
47	творчества в	1	7
48	в конечном	1	7
49	а не	6	7
50	было бы	12	7
51	том что	22	7
52	главным образом	1	6
53	в себе	6	6
54	и его	5	6
55	так и	3	6
56	в нем	7	6
57	у него	6	6
58	бы и	2	6
59	между тем	1	6
60	это не	6	6
61	то что	44	6
62	в порядке	4	6
63	это и	5	6
64	в то	3	6
65	художественного произведения	1	6
66	их в	3	6
67	все же	5	5
68	же время	2	5
69	в плане	1	5
70	следует понимать	1	5
71	действующих лиц	1	5
72	не в	2	5
73	в их	2	5
74	в искусстве	2	5
75	конечном счете	1	5
76	сказать что	13	5
77	один из	2	5
78	очевидно что	1	5
79	действительности и	1	5
80	тому что	6	5
81	он говорит	3	5
82	только в	4	5
83	в результате	2	5
84	он же	1	5
85	и есть	4	5
86	не является	2	5
87	как говорит	2	5
88	в пределах	3	5
89	связи с	2	5
90	как бы	25	5
91	в связи	1	4
92	можно сказать	2	4
93	рассказывает о	1	4
94	как раз	9	4
95	даже в	2	4
96	в своей	4	4
97	в одном	3	4
98	художественное произведение	1	4
99	в ее	2	4
100	в нашей	2	4
101	это только	1	4
102	никогда не	5	4
103	в целом	5	4
104	них не	1	4
105	перед нами	6	4
106	вот как	3	4
107	что все	11	4
108	в них	2	4
109	одна из	4	4
110	равно как	1	4
111	в этой	9	4
112	когда он	7	4
113	в самом	12	4
114	к тому	12	4
115	с его	2	4
116	должен быть	1	4
117	художественном произведении	1	4
118	что он	20	4
119	показывают что	1	4
120	это мы	1	3
121	или в	1	3
122	жизни и	4	3
123	в дневнике	3	3
124	что они	6	3
125	так же	13	3
126	как на	6	3
127	в котором	2	3
128	и ее	2	3
129	и их	1	3
130	точки зрения	6	3
131	вслед за	3	3
132	в конце	8	3
133	имеет свою	1	3
134	например в	3	3
135	и он	3	3
136	с тем	4	3
137	что говорит	2	3
138	его в	3	3
139	сводится к	2	3
140	того что	4	3
141	но как	1	3
142	только что	15	3
143	из его	2	3
144	и к	2	3
145	некоторые из	2	3
146	ее в	4	3
147	у нас	4	3
148	человека и	1	3
149	что не	4	3
150	и от	2	3
151	утверждает что	4	3
152	с этим	5	3
153	анной карениной	1	3
154	том как	3	3
155	моментов в	1	3
156	это делает	2	3
157	бы в	1	3
158	него в	1	3
159	образом в	2	3
160	во время	6	3
161	всех этих	3	3
162	именно в	2	3
163	никак не	6	3
164	что и	3	3
165	она не	3	3
166	далеко не	3	3
167	одном из	1	3
168	его не	2	3
169	толстого в	2	3
170	по существу	2	3
171	в которых	3	3
172	что художник	1	3
173	по поводу	4	3
174	в виду	2	3
175	этот вопрос	4	3
176	и как	5	3
177	мы знаем	2	3
178	бы не	2	2
179	может не	1	2
180	в которой	4	2
181	показывает как	1	2
182	ни одного	2	2
183	и этот	3	2
184	но с	1	2
185	а о	1	2
186	еще не	1	2
187	же как	3	2
188	в другом	1	2
189	конце концов	3	2
190	говорить о	3	2
191	из себя	1	2
192	что нет	2	2
193	по одному	1	2
