N	2gram	Bakhtin_Pr_1	PoTuStor
1	может быть	26	17
2	и в	38	16
3	и пр	2	12
4	в этом	15	9
5	и проч	28	9
6	таким образом	10	9
7	и только	4	9
8	мы можем	6	9
9	прежде всего	13	9
10	и с	17	8
11	точки зрения	8	8
12	в психике	6	8
13	и его	16	8
14	не может	27	8
15	совершенно не	7	8
16	с его	2	7
17	не только	9	7
18	сказать что	4	7
19	самом деле	6	6
20	конечно не	5	6
21	при этом	5	6
22	с точки	6	6
23	и это	3	6
24	для него	1	6
25	и к	3	6
26	еще не	7	5
27	в чем	2	5
28	отношение к	10	5
29	все эти	5	5
30	ни в	11	5
31	нуждается в	2	5
32	в него	2	5
33	как бы	22	5
34	на самом	4	4
35	и ее	2	4
36	и на	3	4
37	отнюдь не	19	4
38	и наконец	6	4
39	но в	4	4
40	в этой	1	4
41	в нем	15	4
42	и может	1	4
43	его в	9	4
44	жизни человека	1	4
45	в один	1	4
46	художественного творчества	12	4
47	мысли и	1	4
48	все это	3	4
49	как мы	7	4
50	с ее	1	4
51	так и	5	4
52	можно сказать	2	4
53	в его	43	4
54	с ними	4	4
55	только в	13	4
56	для всех	1	4
57	и даже	3	4
58	но и	9	4
59	и не	42	4
60	и все	3	4
61	хотя бы	4	4
62	все что	3	4
63	отношения к	6	3
64	тех же	1	3
65	едва ли	3	3
66	и значение	2	3
67	во всех	11	3
68	в общем	1	3
69	и есть	2	3
70	и как	8	3
71	и художественного	3	3
72	чувств и	1	3
73	и теперь	1	3
74	и вот	1	3
75	на этом	2	3
76	этом смысле	3	3
77	том что	3	3
78	сих пор	1	3
79	в одном	1	3
80	в основе	5	3
81	до сих	1	3
82	чем не	2	3
83	к себе	2	3
84	мира и	1	3
85	по сравнению	1	3
86	в конечном	4	3
87	с другими	3	3
88	в том	8	3
89	в большинстве	5	3
90	только на	1	3
91	большинстве случаев	5	3
92	в области	11	3
93	и др	8	3
94	но оно	1	3
95	вместе с	1	3
96	и потому	4	3
97	как это	2	3
98	сравнению с	1	3
99	могут быть	5	3
100	вся культура	1	3
101	что в	7	3
102	в этих	2	3
103	а в	6	3
104	то что	8	3
105	между ними	4	3
106	только как	6	3
107	жизни и	1	3
108	нем нет	1	2
109	все снова	1	2
110	определить как	2	2
111	в самом	7	2
112	мы уже	1	2
113	и о	5	2
114	говорить о	3	2
115	что можно	1	2
116	на них	3	2
117	но как	2	2
118	конечном счете	4	2
119	нет и	3	2
120	за пределы	12	2
121	что это	2	2
122	но ведь	1	2
123	вообще не	7	2
124	он не	3	2
125	момента в	2	2
126	то же	5	2
127	по своему	1	2
128	на протяжении	1	2
129	и мы	1	2
130	было бы	8	2
131	почти совершенно	3	2
132	в них	5	2
133	как и	7	2
134	потому и	1	2
135	на первый	2	2
136	в своей	7	2
137	все и	2	2
138	нашу работу	1	2
139	войти в	2	2
140	можем сказать	2	2
141	и вся	2	2
142	не менее	4	2
143	его целом	5	2
144	не нуждается	2	2
145	чрезвычайно характерно	1	2
146	социального и	1	2
