1	совершенно так же как	2	3
2	заключается в том что	1	2
3	в то же время	1	2
4	бы то ни было	2	2
5	иметь в виду следующие	1	1
6	по одному и тому	1	1
7	не говоря уже о	1	1
8	одно и то же	1	1
9	одному и тому же	1	1
10	как мы видели выше	1	1
11	в том что он	2	1
12	что и для самого	1	1
13	но вместе с тем	1	1
14	что при таких условиях	1	1
15	о том что он	3	1
16	дело в том что	4	1
17	говоря уже о том	1	1
18	в том же духе	1	1
19	надо иметь в виду	1	1
20	уже о том что	1	1
21	принять во внимание что	1	1
22	не в том что	1	1
