N	3gram	Vinokur_St_2	Formalny
1	с точки зрения	2	13
2	в настоящее время	1	10
3	то же время	1	8
4	в то же	1	8
5	и т д	6	8
6	более или менее	2	6
7	на самом деле	1	6
8	до сих пор	5	6
9	в свою очередь	1	6
10	по отношению к	1	4
11	во всяком случае	3	4
12	так и в	2	4
13	и т п	3	4
14	бы то ни	2	3
15	как бы ни	1	3
16	в своей работе	1	2
17	в зависимости от	1	2
18	сами по себе	2	2
19	в том чтобы	1	2
20	и в этом	2	2
21	в связи с	1	2
22	не только не	2	2
23	как мы видели	1	2
24	в чем же	1	1
25	в этом его	1	1
26	случилось так что	1	1
27	а прежде всего	1	1
28	ничего общего с	1	1
29	между прочим и	1	1
30	не говоря уже	1	1
31	в этом смысле	1	1
32	вышедшая в году	1	1
33	говоря уже о	1	1
34	в том что	16	1
35	в этом отношении	9	1
36	вместо того чтобы	1	1
37	если оно не	1	1
38	что при таких	1	1
39	вместе с тем	5	1
40	не могло быть	1	1
41	в это время	2	1
42	т е в	1	1
43	в данном случае	1	1
44	в их разрешении	1	1
45	то ни было	2	1
46	в высшей степени	1	1
47	не столько в	2	1
48	в отличие от	2	1
49	по сравнению с	1	1
50	так или иначе	1	1
51	но вместе с	1	1
52	но и с	2	1
53	и речи о	1	1
54	с другой стороны	3	1
55	так же как	3	1
56	и в том	1	1
57	в эту сторону	1	1
58	в той же	1	1
59	совершенно независимо от	1	1
60	и близкого ему	1	1
61	так и на	1	1
62	не только с	2	1
63	с самого начала	3	1
64	нужно сказать что	1	1
65	т п в	1	1
66	но все же	2	1
67	здесь нет и	1	1
68	как своего рода	2	1
69	заключается в том	1	1
70	в том числе	1	1
71	к тому что	5	1
72	в отношении к	1	1
73	в предисловии к	2	1
74	тем не менее	2	1
75	настоящее время можно	1	1
76	она до сих	1	1
77	в конкретном и	1	1
78	годов т е	1	1
