N	2gram	Medvedev_B_1	Hudozhes
1	и не	2	16
2	не только	1	15
3	и в	1	15
4	так и	1	10
5	а не	1	10
6	с другой	1	7
7	что в	1	6
8	между ними	1	5
9	другой стороны	1	5
10	говорить о	1	4
11	еще не	1	4
12	в своей	1	4
13	прежде всего	1	4
14	художественного произведения	1	3
15	и ее	1	3
16	не следует	1	3
17	литературы как	1	3
18	в пределах	1	3
19	в области	1	3
20	далеко не	1	3
21	в данном	1	3
22	таким образом	1	3
23	не вполне	1	2
24	и на	1	2
25	не все	1	2
26	ведет по	1	2
27	за пределы	1	2
28	значительной степени	1	2
29	об этом	1	2
30	литературных произведений	2	2
31	теории литературы	1	2
32	и более	1	2
33	и о	1	2
34	в значительной	1	2
35	и потому	1	2
36	было и	1	2
37	тем более	1	2
38	одной из	1	2
39	художественном произведении	1	1
40	книги в	1	1
41	отнюдь не	1	1
42	все это	2	1
43	что все	1	1
44	было бы	1	1
45	в композиции	1	1
46	по крайней	1	1
47	и меньше	1	1
48	нельзя не	1	1
49	как будто	1	1
50	выпадает из	1	1
51	в научном	1	1
52	не уничтожается	1	1
53	крайней мере	1	1
54	на которой	1	1
55	теорию литературы	1	1
56	не было	1	1
57	функцией в	1	1
58	стороны изучение	1	1
59	свести к	1	1
60	узко и	1	1
61	точно и	1	1
62	все же	1	1
63	переходя к	1	1
64	всего в	1	1
