N	2gram	Medvedev_I_1	StatiiOP
1	и в	1	25
2	в этом	2	24
3	тем что	1	19
4	что в	2	19
5	и не	2	10
6	все это	1	8
7	это было	1	8
8	пушкина и	1	6
9	а в	1	6
10	он не	2	5
11	так и	1	5
12	в них	1	5
13	с другой	1	5
14	того что	1	5
15	другой стороны	1	5
16	в целом	1	4
17	в эту	1	4
18	ничего не	2	4
19	и с	3	4
20	если бы	1	4
21	а также	1	4
22	и др	1	4
23	говорить о	1	3
24	все эти	1	3
25	от нее	1	3
26	не так	1	3
27	для него	1	3
28	что для	1	3
29	другое дело	1	3
30	того же	1	2
31	и тот	1	2
32	а по	1	2
33	а с	1	2
34	творчества пушкина	1	2
35	произведения и	1	2
36	как о	1	2
37	на котором	1	2
38	никогда не	1	2
39	для того	1	2
40	должен быть	2	2
41	то она	1	2
42	во многом	1	2
43	то и	1	2
44	это был	1	2
45	только что	1	2
46	нам в	1	1
47	не допустил	1	1
48	со всеми	1	1
49	тех же	1	1
50	очевидно что	1	1
51	от этого	1	1
52	аналогии и	1	1
53	же это	1	1
54	его произведения	1	1
55	нисколько не	1	1
56	могло бы	1	1
57	и очень	1	1
58	вплоть до	1	1
59	того чтобы	1	1
60	было не	1	1
61	и со	1	1
62	не случайно	1	1
63	и о	1	1
64	значительной мере	1	1
65	к нам	1	1
66	он с	1	1
67	и сам	1	1
68	автор не	1	1
69	в значительной	1	1
70	допустил бы	1	1
71	точно и	1	1
72	не дает	1	1
73	это пушкин	1	1
74	стороны он	1	1
75	слишком много	1	1
76	видит в	1	1
77	по существу	1	1
78	бы в	1	1
79	и еще	1	1
80	художественного творчества	1	1
81	жизни и	1	1
82	и идей	1	1
