N	2gram	Propp_Isto_2	Narrotol
1	не только	18	32
2	может быть	17	25
3	но и	14	23
4	в качестве	3	21
5	и не	11	20
6	и в	15	19
7	в том	6	18
8	в этом	11	17
9	в частности	1	14
10	не в	7	14
11	том что	7	14
12	состоит в	2	13
13	а не	5	12
14	тогда как	1	12
15	представляет собой	5	12
16	своего рода	1	12
17	а в	12	11
18	то что	12	11
19	не может	5	10
20	так и	5	9
21	в его	6	9
22	со стороны	1	9
23	при этом	4	9
24	в себе	4	8
25	героя в	1	8
26	с другой	2	8
27	все же	9	7
28	еще не	9	7
29	как и	2	7
30	одной стороны	3	7
31	к тому	5	7
32	с одной	4	7
33	по отношению	3	7
34	а также	2	7
35	как в	5	7
36	отношению к	3	6
37	тем самым	2	6
38	как это	3	6
39	но не	2	6
40	в себя	3	6
41	в той	1	6
42	но в	6	6
43	именно в	2	6
44	о том	3	6
45	что он	24	6
46	с его	1	6
47	к нему	5	5
48	по себе	1	5
49	нуждается в	1	5
50	отличие от	1	5
51	и его	3	5
52	отнюдь не	1	5
53	в детстве	1	5
54	не все	2	5
55	тому же	2	5
56	уже не	1	5
57	в этой	4	5
58	далеко не	1	5
59	в отличие	1	5
60	к себе	2	5
61	и как	1	5
62	не мог	3	4
63	и с	4	4
64	матери и	1	4
65	прежде всего	5	4
66	здесь не	2	4
67	другой стороны	2	4
68	вслед за	1	4
69	при всей	1	4
70	за собой	1	4
71	хотя бы	2	4
72	но все	5	4
73	одной из	4	4
74	то же	10	4
75	что не	1	4
76	в силу	2	4
77	да и	2	4
78	только в	6	4
79	не столько	2	4
80	в особенности	2	4
81	у него	4	4
82	связи с	8	4
83	же в	1	4
84	было бы	5	4
85	одного из	1	4
86	перед нами	2	4
87	о нем	4	4
88	как бы	6	4
89	сказать что	2	4
90	в нем	7	4
91	бы быть	1	3
92	это и	1	3
93	что они	10	3
94	не будет	1	3
95	не менее	1	3
96	в прошлом	1	3
97	будто бы	2	3
98	и он	1	3
99	сводится к	1	3
100	что в	12	3
101	особенно в	1	3
102	никогда не	15	3
103	на него	5	3
104	мог бы	3	3
105	с ее	2	3
106	как мы	1	3
107	в то	1	3
108	в сущности	2	3
109	восходит к	1	3
110	что это	6	3
111	ни в	2	3
112	один из	8	3
113	тем что	4	3
114	тем не	1	3
115	а с	2	3
116	одна из	2	3
117	же как	5	3
118	могут быть	2	3
119	когда он	3	3
120	и на	4	3
121	он не	8	3
122	в ней	4	3
123	еще одна	1	3
124	на себя	1	3
125	а во	1	3
126	уже в	2	3
127	как будто	3	3
128	а именно	3	3
129	из них	2	3
130	из этих	3	3
131	или иначе	1	3
132	обратимся к	2	3
133	как говорит	1	3
134	в свою	1	3
135	все эти	4	2
136	что по	1	2
137	здесь совершенно	1	2
138	когда мы	2	2
139	приводит к	2	2
140	исходя из	1	2
141	как кажется	1	2
142	в обоих	1	2
143	в связи	5	2
144	говорить о	1	2
145	не всегда	1	2
146	или в	2	2
147	в двух	1	2
148	каждый из	1	2
149	и тот	1	2
150	так же	13	2
151	и для	2	2
152	в область	4	2
153	и ее	2	2
154	не было	2	2
155	только о	1	2
156	ключ к	2	2
157	которого он	1	2
158	даже в	1	2
159	к которому	5	2
160	иное как	2	2
161	чтобы стать	1	2
162	на другой	2	2
163	которых и	1	2
164	собой не	1	2
165	к самому	1	2
166	одно из	2	2
167	его по	1	2
168	его в	10	2
169	другой день	1	2
170	идет по	1	2
171	и только	2	2
172	время в	1	2
173	вокруг него	1	2
174	в результате	1	2
175	вплоть до	1	2
176	например в	2	2
177	смерти и	7	2
178	в таком	1	2
179	но как	1	2
180	что иное	2	2
181	богу не	1	2
182	он сам	1	2
183	и после	1	2
184	они не	4	2
185	страны мертвых	1	2
186	что у	2	2
187	что на	1	2
188	то она	1	2
189	мира и	1	2
190	и потому	1	2
191	ничего не	7	2
192	как к	1	2
193	о чем	1	2
194	наряду с	6	2
195	в пределах	1	2
196	для своей	1	2
197	и др	4	2
198	себе не	1	2
199	этого слова	1	2
200	приходит к	1	2
201	по существу	2	2
202	всей своей	1	2
203	а по	1	2
204	не что	2	2
205	в иной	5	2
206	себя и	2	2
207	она не	5	2
208	и когда	2	2
209	что мы	3	2
210	роль в	3	2
211	несмотря на	1	2
212	то они	1	2
213	у нее	4	2
214	о своей	2	2
215	встречается в	3	2
216	подобно тому	3	2
217	одну из	1	2
218	представляют собой	3	2
219	в какой	1	2
220	а иногда	1	2
221	героя с	1	2
222	самом деле	2	2
223	это не	2	2
224	и одновременно	1	2
225	который в	1	2
226	жизнью и	1	2
227	хотя в	3	2
228	так или	1	2
229	не то	1	2
230	сюжета в	1	2
231	точно так	6	2
232	тому как	3	2
233	можно было	5	2
234	человека в	2	2
235	мы имеем	15	2
236	со словами	1	2
237	в общей	1	2
238	а если	1	2
239	зависит от	2	2
240	что ей	1	1
241	который и	1	1
242	и совершенно	1	1
243	по-видимому не	1	1
244	инициации эта	1	1
245	и иных	1	1
246	к чуду	1	1
247	была в	1	1
248	и здесь	9	1
249	это за	2	1
250	на его	2	1
251	не знает	2	1
252	но она	1	1
253	после рождения	1	1
254	эту функцию	1	1
255	для нас	4	1
256	и наконец	5	1
257	не спал	1	1
258	к их	1	1
259	в другом	9	1
260	входит в	1	1
261	если же	1	1
262	в него	2	1
263	например на	1	1
264	в поле	1	1
265	очень часто	4	1
266	в комнату	1	1
267	появляется в	1	1
268	но он	4	1
269	говорилось выше	1	1
270	в герое	1	1
271	однако она	1	1
272	о котором	1	1
273	на природу	1	1
274	не знаю	1	1
275	указать на	1	1
276	смерти что	2	1
277	от этого	1	1
278	его голос	1	1
279	мы узнаем	1	1
280	нельзя сказать	1	1
281	поздняя форма	1	1
282	кто не	1	1
283	к этим	1	1
284	итак в	2	1
285	и ничего	2	1
286	в настоящем	1	1
287	также может	1	1
288	к сыну	1	1
289	их друг	1	1
290	но по	3	1
291	сама не	2	1
292	другое противоположное	1	1
293	есть акт	1	1
294	понимать как	1	1
295	вовсе не	1	1
296	ей в	1	1
297	связь с	4	1
298	таким образом	7	1
299	случаях когда	1	1
300	последовательности в	1	1
301	действующие лица	2	1
302	был моментом	1	1
303	половой зрелости	1	1
304	друг с	1	1
305	это может	1	1
306	сих пор	7	1
307	с ним	1	1
308	это весьма	1	1
309	видит в	2	1
310	и во	1	1
311	в тех	2	1
312	дает нам	2	1
313	если это	3	1
314	мы не	3	1
315	друг от	1	1
316	до сих	6	1
317	стоят в	1	1
318	дело не	4	1
319	человек не	1	1
320	в системе	2	1
321	от него	1	1
322	всеми признаками	1	1
323	с другими	2	1
324	после его	1	1
325	редко и	1	1
326	во всех	2	1
327	а на	1	1
328	при рассмотрении	1	1
329	там же	1	1
330	от друга	1	1
331	об этом	11	1
332	в их	3	1
333	бы он	1	1
334	вступление в	2	1
335	мать и	1	1
336	в это	1	1
337	ухода в	1	1
338	по его	1	1
339	как то	1	1
340	садился в	1	1
341	ответ на	1	1
342	оно и	2	1
343	по направлению	1	1
344	например условие	1	1
345	там и	1	1
346	над ними	1	1
347	и пр	7	1
348	они лишь	1	1
349	его и	4	1
350	связаны с	1	1
351	необходимо указать	1	1
352	ничем не	1	1
353	есть не	1	1
354	героя или	1	1
355	не знают	2	1
356	к жизни	1	1
357	здесь мы	3	1
358	у матери	1	1
359	с этой	1	1
360	о смерти	1	1
361	с другом	1	1
362	здесь в	2	1
363	того что	3	1
364	потому что	9	1
365	свидетельствует о	1	1
