N	3gram	Tiupa_Narr_1	FransuaR
1	то же время	3	9
2	в то же	3	9
3	прежде всего в	1	4
4	в том числе	6	4
5	как мы видели	1	4
6	то есть в	2	4
7	в свою очередь	3	3
8	с точки зрения	2	3
9	все то что	1	3
10	так и в	1	3
11	в том что	8	3
12	дело в том	1	2
13	по отношению к	6	2
14	более или менее	2	2
15	но по существу	1	2
16	в этом отношении	3	2
17	том числе и	4	2
18	можно было бы	2	2
19	в значительной степени	2	2
20	как и в	1	2
21	в отрыве от	1	2
22	в свое время	1	2
23	по своей природе	1	1
24	не в состоянии	1	1
25	то что было	1	1
26	что иное как	2	1
27	до наших дней	1	1
28	что в этом	1	1
29	с таким же	1	1
30	на самом деле	1	1
31	а в историческом	1	1
32	есть прежде всего	1	1
33	то же самое	1	1
34	в том же	1	1
35	пространства и времени	1	1
36	из них в	1	1
37	картины мира и	1	1
38	в едином но	1	1
39	же время в	1	1
40	сам по себе	1	1
41	а на другой	1	1
42	по аналогии с	1	1
43	но от этого	1	1
44	и не в	4	1
45	не подлежит сомнению	1	1
46	тогда как в	2	1
47	здесь как и	1	1
48	не что иное	2	1
49	содержит в себе	1	1
50	в данном случае	4	1
51	дело не с	1	1
52	не только в	2	1
53	здесь не в	2	1
54	же время они	1	1
55	в году в	1	1
56	а также и	1	1
57	о том что	6	1
58	в том или	2	1
59	в связи с	2	1
60	большую или меньшую	1	1
61	и до наших	1	1
62	нового времени а	1	1
63	есть не что	1	1
64	не имеет значения	1	1
65	в первом случае	2	1
66	ни для кого	1	1
67	и тем самым	3	1
68	к тому же	4	1
69	как мы уже	1	1
70	и прежде всего	1	1
71	друг от друга	1	1
72	тем более что	1	1
73	в этом смысле	1	1
74	в силу своей	1	1
75	на том свете	2	1
76	оно и не	1	1
77	том или ином	2	1
78	на другой день	2	1
