N	3gram	Propp_Morf_1	Problemy
1	на самом деле	4	10
2	с самого начала	1	8
3	не может быть	9	6
4	по отношению к	4	5
5	во всяком случае	2	5
6	с точки зрения	2	4
7	бы то ни	3	4
8	то ни было	2	4
9	в высшей степени	1	3
10	с другой стороны	4	3
11	а вовсе не	1	2
12	подобно тому как	5	2
13	того или другого	1	2
14	в этом случае	8	2
15	не входит в	1	2
16	друг на друга	2	2
17	о том что	1	2
18	тем не менее	4	2
19	друг с другом	1	2
20	в большинстве случаев	3	2
21	мы увидим что	1	2
22	и т д	39	2
23	с другим что	1	1
24	хотя и не	1	1
25	с ними и	1	1
26	в чем же	1	1
27	потому что в	1	1
28	и выдает себя	1	1
29	какого бы то	1	1
30	самого начала в	1	1
31	как в начале	1	1
32	что же касается	1	1
33	точки зрения его	1	1
34	до сих пор	1	1
35	и в других	1	1
36	отношении друг к	1	1
37	в этом отношении	1	1
38	то что в	2	1
39	т е все	1	1
40	не зная о	1	1
41	во всей своей	1	1
42	выдает себя за	1	1
43	что он может	1	1
44	есть они и	1	1
45	к тому что	3	1
46	герой не может	1	1
47	в данном случае	1	1
48	на одном месте	1	1
49	и заставляет его	1	1
50	в которой есть	2	1
51	все же очень	1	1
52	так же не	1	1
53	но как бы	1	1
54	и то же	1	1
55	все более и	1	1
56	может быть и	2	1
57	одно и то	1	1
58	то что он	1	1
59	друг к другу	2	1
60	на вопрос что	1	1
61	из которых каждый	1	1
62	действующих лиц в	2	1
63	как и в	2	1
64	они и в	1	1
65	более и более	1	1
66	но все же	3	1
67	можно сказать что	1	1
68	или во всяком	1	1
69	бы они ни	1	1
70	они ни были	1	1
71	на то что	2	1
72	все эти явления	1	1
73	что он говорил	1	1
74	на друга что	1	1
75	для того чтобы	2	1
76	в том что	3	1
77	и как будто	1	1
78	что и в	1	1
79	тому что они	1	1
80	сестры и т	1	1
81	т д он	2	1
