N	2gram	Berdyaev_M_1	slovoVRo
1	и в	28	39
2	может быть	30	37
3	и т	1	35
4	и его	9	33
5	т п	1	33
6	то есть	3	26
7	не только	29	24
8	и не	11	22
9	но и	25	21
10	не может	28	20
11	в нем	13	19
12	до конца	14	17
13	в этом	20	16
14	все это	6	16
15	так и	1	15
16	а не	25	14
17	человек и	6	14
18	отличие от	1	13
19	как в	2	13
20	в пределах	1	13
21	во всех	1	12
22	в отличие	1	12
23	в истории	2	11
24	вовсе не	1	10
25	и с	3	9
26	не в	16	9
27	оно не	1	8
28	себя в	3	8
29	прежде всего	10	8
30	точки зрения	4	8
31	еще не	1	7
32	с его	3	7
33	в него	3	7
34	в этих	4	7
35	для него	11	7
36	с ним	2	7
37	никогда не	14	7
38	могут быть	2	7
39	в его	9	7
40	и даже	1	7
41	и потому	10	7
42	как бы	2	7
43	но не	8	6
44	в своем	10	6
45	все же	2	6
46	и к	2	6
47	но в	7	6
48	все эти	2	6
49	значительной степени	1	6
50	в них	4	6
51	как и	5	6
52	она не	4	6
53	темы о	2	6
54	в значительной	1	6
55	человек в	9	6
56	жизни и	2	6
57	человека в	13	5
58	это не	5	5
59	том что	3	5
60	мышления и	1	5
61	не могут	5	5
62	мира и	5	5
63	один из	4	5
64	в том	6	5
65	конечно не	3	5
66	уже не	4	5
67	и их	3	5
68	в плане	1	5
69	и для	2	5
70	только в	6	5
71	для нас	3	5
72	от него	4	5
73	и все	10	5
74	и наконец	1	5
75	отношения к	4	4
76	в зависимости	1	4
77	его не	3	4
78	и на	6	4
79	по отношению	2	4
80	отношение к	4	4
81	всех этих	1	4
82	его в	3	4
83	входит в	2	4
84	в отношении	1	4
85	не менее	1	4
86	в то	2	4
87	в основе	2	4
88	во всем	1	4
89	зависимости от	1	4
90	так как	3	4
91	даже и	2	4
92	и др	1	4
93	себя и	3	4
94	и мир	2	4
95	xix века	4	4
96	в той	2	4
97	в смысле	1	4
98	а в	4	4
99	отношении к	2	4
100	отношению к	2	4
101	ту же	1	3
102	должна быть	6	3
103	человека и	14	3
104	к новому	2	3
105	и как	2	3
106	бы и	3	3
107	с их	2	3
108	человеке и	8	3
109	на этом	3	3
110	лишь в	6	3
111	не столько	1	3
112	точку зрения	1	3
113	не была	3	3
114	его от	1	3
115	в ней	15	3
116	к нему	7	3
117	между тем	1	3
118	что и	4	3
119	в бытовой	1	3
120	в свете	3	3
121	быть и	1	3
122	него нет	1	3
123	у него	17	3
124	рядом с	1	3
125	связан с	1	3
126	точек зрения	1	3
127	в свою	2	3
128	связано с	2	3
129	в романах	1	3
130	и там	4	3
131	как к	1	3
132	и от	2	3
133	но это	1	3
134	и часто	1	3
135	как для	2	3
136	что в	10	3
137	из себя	1	3
138	хотя бы	3	3
139	сказать что	2	3
140	во всяком	1	3
141	одним из	2	2
142	также и	2	2
143	это и	4	2
144	с таким	1	2
145	мы уже	1	2
146	мы не	1	2
147	но она	1	2
148	меньше чем	1	2
149	не был	7	2
150	одним словом	1	2
151	не все	2	2
152	менее всего	7	2
153	и речи	1	2
154	за пределы	4	2
155	с этим	3	2
156	в себе	7	2
157	роль в	1	2
158	как он	2	2
159	а вовсе	1	2
160	он не	24	2
161	и более	1	2
162	из него	1	2
163	людей и	2	2
164	его романах	2	2
165	разговоры о	1	2
166	значение в	1	2
167	зрения и	1	2
168	в свой	2	2
169	чем в	2	2
170	смысл и	1	2
171	в их	4	2
172	но он	9	2
173	не меньше	1	2
174	того чтобы	2	2
175	чем не	1	2
176	в одном	1	2
177	только и	3	2
178	с одним	1	2
179	к ней	4	2
180	а лишь	1	2
181	в области	1	2
182	и оно	1	2
183	отличается от	2	2
184	тема о	5	2
185	должен быть	2	2
186	на нем	1	2
187	его художественного	1	2
188	так в	1	2
189	стремиться к	1	2
190	особенно в	3	2
191	о нем	2	2
192	о том	2	2
193	влияние на	1	2
194	может не	2	2
195	еще более	1	2
196	все формы	1	2
197	людей с	1	2
198	ни к	1	2
199	что он	10	2
200	мы увидим	3	2
201	почти все	1	2
202	это очень	3	2
203	всяком случае	1	2
204	же и	1	2
205	уже в	4	2
206	на протяжении	2	2
207	его и	1	2
208	проникает в	2	2
209	цели и	1	2
210	в различные	1	2
211	для того	2	2
212	то что	5	2
213	не было	18	2
214	во власти	2	2
215	до сих	2	2
216	а именно	1	2
217	действующих лиц	1	2
218	его как	2	2
219	но оно	1	2
220	эти слова	2	2
221	вместе с	6	2
222	это сознание	1	2
223	есть на	1	2
224	и нет	2	2
225	сих пор	2	2
226	вокруг него	1	2
227	от нас	1	2
228	в более	2	2
229	новое слово	1	2
230	она может	2	2
231	жизни в	2	2
232	только с	1	2
233	не знает	4	2
234	к его	1	2
235	быть до	1	2
