N	3gram	Propp_Russ_1	StatiiOP
1	в том что	15	11
2	и т п	1	6
3	с точки зрения	3	4
4	в этом отношении	1	4
5	во всяком случае	1	4
6	о том что	4	4
7	в то время	1	4
8	состоит в том	8	3
9	с тем что	1	3
10	в связи с	4	3
11	не только в	1	3
12	на то что	1	3
13	но это не	2	3
14	потому что он	1	2
15	может быть назван	1	2
16	что мы имеем	1	2
17	в г д	1	2
18	и в этом	1	2
19	во всех этих	1	2
20	по этому поводу	2	2
21	но все же	2	2
22	только тогда когда	1	2
23	к тому что	4	2
24	тем не менее	3	2
25	независимо от того	1	2
26	и т д	9	2
27	можно сказать что	1	1
28	а иногда и	3	1
29	на себя внимание	1	1
30	иметь в виду	1	1
31	на самом деле	1	1
32	во многих случаях	2	1
33	и в других	4	1
34	вместе с тем	6	1
35	с русской историей	1	1
36	в собственном смысле	1	1
37	можно было бы	1	1
38	в первые годы	1	1
39	он должен был	1	1
40	говорит о том	1	1
41	еще до того	1	1
42	же т е	1	1
43	обращает на себя	1	1
44	не потому что	1	1
45	в своих целях	1	1
46	сказывается и в	1	1
47	объясняется тем что	1	1
48	в какой степени	2	1
49	приводит к тому	1	1
50	связанные с этим	1	1
51	кроме того в	1	1
52	мы имеем здесь	1	1
53	и здесь следует	1	1
54	сомнения в том	1	1
55	не только у	2	1
56	такая точка зрения	1	1
57	через каждые две	2	1
58	дело так что	1	1
59	не означает что	1	1
60	в одно целое	1	1
61	то что ему	1	1
62	в свою очередь	2	1
63	так как в	1	1
64	к этому времени	1	1
65	в одном из	1	1
66	том что этот	2	1
67	до того как	2	1
68	совершенно очевидно что	1	1
69	вопрос о том	1	1
70	можно судить по	1	1
71	через их посредство	1	1
72	себе дело так	1	1
73	об этом мы	1	1
74	но здесь он	1	1
75	которую можно назвать	1	1
76	как мы видели	1	1
77	но этого мало	1	1
78	этого слова в	1	1
