1	и в	21	41
2	то есть	12	20
3	таким образом	5	19
4	в этом	6	15
5	и все	6	14
6	как и	12	14
7	все эти	1	13
8	то же	13	13
9	в этой	5	13
10	мы уже	1	12
11	в его	13	12
12	в том	7	11
13	в себе	2	11
14	прежде всего	4	11
15	все это	10	10
16	так и	2	10
17	в то	15	10
18	но и	3	9
19	в качестве	2	9
20	же время	12	9
21	что в	12	9
22	не в	2	9
23	и его	6	9
24	в своем	4	9
25	но в	7	8
26	в конце	1	8
27	и от	4	8
28	то что	8	8
29	движение в	1	8
30	в нем	3	7
31	вовсе не	5	7
32	в эпоху	1	7
33	как бы	17	7
34	в романе	10	7
35	в них	1	7
36	и не	7	7
37	для него	6	6
38	все они	1	6
39	и до	1	6
40	ни в	1	6
41	он хочет	1	6
42	у него	7	6
43	только в	5	6
44	с помощью	1	6
45	о том	6	6
46	это не	4	6
47	к нему	1	5
48	вместе с	2	5
49	уже в	3	5
50	как в	8	5
51	и у	2	5
52	к этому	2	5
53	и это	1	5
54	в ней	2	5
55	в другое	1	5
56	эпизоде с	1	5
57	а в	6	5
58	на этом	1	5
59	что и	2	5
60	так же	3	5
61	потому что	5	5
62	и к	1	5
63	в плане	1	5
64	не только	7	5
65	в году	7	5
66	мира в	2	4
67	к жизни	2	4
68	хотя и	3	4
69	было бы	1	4
70	но он	2	4
71	целый ряд	1	4
72	в аду	1	4
73	уже говорили	1	4
74	в более	1	4
75	влияние на	2	4
76	в сущности	1	4
77	что это	1	4
78	и здесь	1	4
79	и наконец	2	4
80	том что	11	4
81	на этой	1	4
82	он не	8	4
83	место в	3	4
84	одна из	2	4
85	на земле	3	4
86	конце концов	1	4
87	та же	4	4
88	в образе	1	4
89	но все	1	4
90	сверху вниз	1	4
91	в виду	2	4
92	в последней	1	4
93	и на	7	4
94	может быть	5	4
95	и с	3	4
96	ад и	1	3
97	связанные с	1	3
98	для этой	2	3
99	свою очередь	1	3
100	так сказать	2	3
101	его в	1	3
102	и их	1	3
103	но этот	1	3
104	в область	1	3
105	совсем не	1	3
106	в свою	7	3
107	при этом	7	3
108	я не	3	3
109	и есть	1	3
110	это в	3	3
111	того же	2	3
112	все его	1	3
113	за то	2	3
114	смерти в	1	3
115	из них	2	3
116	его к	1	3
117	и по	3	3
118	жизни и	3	3
119	в руках	1	3
120	не имеет	1	3
121	тем самым	7	3
122	что он	6	3
123	с ними	1	3
124	иногда в	1	3
125	такой же	2	3
126	во всех	1	3
127	из самых	1	3
128	тем что	1	3
129	в одном	1	3
130	во время	1	3
131	в своей	4	3
132	и другие	3	3
133	что у	1	3
134	было написано	1	3
135	не знает	2	3
136	кроме того	1	3
137	в мире	4	3
138	в их	3	3
139	той же	3	3
140	не может	4	3
141	в нее	1	3
142	в ряде	1	3
143	не было	1	3
144	он был	1	3
145	но это	5	3
146	по этому	1	3
147	нас в	1	3
148	в отношении	1	3
149	о нем	1	3
150	не на	1	3
151	и те	1	3
152	проявляется в	1	3
153	с ее	3	3
154	так как	3	3
155	и времени	1	2
156	есть не	2	2
157	в одной	2	2
158	не есть	1	2
159	а не	5	2
160	в новых	2	2
161	же в	1	2
162	из описания	1	2
163	всего романа	1	2
164	в которой	3	2
165	к человеку	3	2
166	ни было	1	2
167	образом и	1	2
168	пространства и	2	2
169	одного из	2	2
170	на голову	1	2
171	в человеке	4	2
172	вся эта	1	2
173	перед нами	2	2
174	с ним	3	2
175	в отрыве	1	2
176	в изображении	1	2
177	в образах	2	2
178	мы имеем	1	2
179	в литературе	2	2
180	входят в	1	2
181	и самого	1	2
182	в историческом	1	2
183	еще более	2	2
184	своего рода	4	2
185	связан с	3	2
186	все время	1	2
187	имеем в	1	2
188	в данном	2	2
189	говорит что	2	2
190	начала и	1	2
191	никогда не	3	2
192	на том	2	2
193	не совсем	1	2
194	по своему	1	2
195	к тому	2	2
196	именно в	2	2
197	жизнь и	1	2
198	из всех	4	2
199	уже не	3	2
200	и со	1	2
201	для всех	1	2
202	учение о	1	2
203	оно было	1	2
204	во времени	3	2
205	но по	1	2
206	или в	2	2
207	и высшей	2	2
208	до конца	2	2
209	с его	11	2
210	человека в	6	2
211	тот же	2	2
212	ту же	3	2
213	с этим	1	2
214	время в	3	2
215	представлениями о	1	2
216	только на	2	2
217	это было	1	2
218	дело в	3	2
219	оно не	1	2
220	во всей	2	2
221	в первой	2	2
222	времени он	3	2
223	что все	3	2
224	в области	1	2
225	о котором	2	2
226	воскрешения лазаря	1	2
227	xvii века	1	2
228	в связи	1	2
229	одной из	4	2
230	еще не	1	2
231	но без	2	2
232	дело не	3	2
233	особенно в	1	2
234	и других	3	2
235	он только	1	2
236	это прежде	1	2
237	роль в	1	2
238	развития человечества	1	2
239	в лице	2	2
240	всего этого	1	2
241	и ее	1	2
242	места в	1	2
243	его как	2	2
244	также и	1	2
245	а на	1	2
246	отношению к	1	2
247	особое значение	1	2
248	и вот	1	2
249	на самом	3	2
250	в себя	2	2
251	здесь нет	2	2
252	и произносит	1	2
253	и как	4	2
254	все свои	1	2
255	свидетельствует о	2	2
256	не мог	2	2
257	во второй	2	2
258	в процессе	1	2
259	связанное с	1	2
260	нет ни	2	2
261	того что	3	2
262	с самого	3	2
263	в недрах	1	2
264	в чем	2	2
265	со всеми	3	2
266	прямо в	2	2
267	человек может	2	2
268	есть о	1	2
269	во все	1	2
270	отрыве от	1	2
271	глядя на	1	2
272	на всю	1	2
273	по отношению	1	2
274	далеко не	3	2
275	в этих	2	2
276	представлений о	2	2
277	нигде не	1	2
278	страхом и	1	2
279	те и	1	2
280	и обратно	1	2
281	как он	1	2
282	одновременно и	2	2
283	как отрицание	1	2
284	движения в	1	2
285	наконец в	1	1
286	времени а	2	1
287	здесь они	1	1
288	и всей	1	1
289	эпизод воскрешения	1	1
290	в глубине	1	1
291	жизни с	2	1
292	этого мира	1	1
293	на все	1	1
294	традиции и	1	1
295	очень важную	1	1
296	и время	2	1
297	это я	1	1
298	на этот	1	1
299	от него	1	1
300	в ее	1	1
301	но затем	1	1
302	теперь же	1	1
303	не могут	1	1
304	в своих	5	1
305	он готов	1	1
306	и внутренних	1	1
307	ту эпоху	2	1
308	свое завершение	1	1
309	году в	2	1
310	с темой	2	1
311	и степени	1	1
312	завершение в	1	1
313	в сюжете	1	1
314	видим что	1	1
315	он и	1	1
316	и необходимости	2	1
317	и целый	1	1
318	него все	1	1
319	души по	1	1
320	в основу	1	1
321	не что	1	1
322	одно из	1	1
323	определяет выбор	1	1
324	слова и	1	1
325	в виде	3	1
326	и тела	1	1
327	этого движения	1	1
328	вся вселенная	1	1
329	героя в	1	1
330	с людьми	1	1
331	там же	3	1
332	в прямом	1	1
333	прошлого в	1	1
334	тому же	1	1
335	этот момент	1	1
336	вокруг него	1	1
337	и рядом	1	1
338	по вертикали	1	1
339	ли что	1	1
340	имел в	1	1
341	я от	2	1
342	при помощи	2	1
343	начиная с	1	1
344	самом же	1	1
345	это прямо	1	1
346	что человек	3	1
347	эта идея	1	1
348	заметить что	1	1
349	мира это	1	1
350	самых важных	1	1
351	говорят о	1	1
352	том или	1	1
353	отошел от	1	1
354	а как	2	1
355	того мы	1	1
356	в частности	2	1
357	в ту	3	1
358	как это	1	1
359	в истории	1	1
360	у других	1	1
361	говорили о	1	1
362	что по	1	1
363	и та	2	1
364	и реальным	1	1
365	он считает	1	1
366	века они	1	1
367	на эти	2	1
368	вследствие этого	1	1
369	героя и	2	1
370	к ним	1	1
371	между прочим	1	1
372	эпохи это	1	1
373	его не	1	1
374	же деле	1	1
375	времени в	13	1
376	тем более	1	1
377	он упоминает	1	1
378	для всей	1	1
379	один из	4	1
380	дается в	1	1
381	и о	1	1
382	небесных светил	1	1
383	известно что	2	1
384	непосредственным источником	1	1
385	вергилия и	1	1
386	есть только	1	1
387	этой легенды	1	1
388	об эпизоде	1	1
389	что его	2	1
390	о которой	1	1
391	в двух	2	1
392	отличие от	2	1
393	на смену	2	1
394	ибо он	1	1
395	физического облика	1	1
396	человека и	4	1
397	человеке и	1	1
398	очень много	1	1
399	характерный для	1	1
400	другое в	1	1
401	почти за	1	1
402	он как	1	1
403	в строго	1	1
404	чем его	1	1
405	и всю	1	1
406	времени не	1	1
407	в литературу	1	1
408	но она	2	1
409	и чтобы	1	1
410	они играют	1	1
411	вот это	1	1
412	этом романе	2	1
413	говорит о	3	1
414	реальное время	1	1
415	как к	2	1
416	свобода и	1	1
417	к которому	1	1
418	что на	1	1
419	мысль о	2	1
420	к его	1	1
421	но только	2	1
422	во главе	2	1
423	как у	1	1
424	как от	1	1
425	дном и	1	1
426	и из	1	1
427	такого понимания	1	1
428	рассказывает о	1	1
429	он понимал	1	1
430	некоторые черты	1	1
431	иное как	1	1
432	каждого человека	1	1
433	она не	1	1
434	от этой	1	1
435	вот почему	3	1
436	и что	1	1
437	между тем	1	1
438	в первом	2	1
439	даже в	3	1
440	в дальнейшем	3	1
441	самого начала	3	1
442	об этом	2	1
443	картину мира	1	1
444	мир с	2	1
445	не по	3	1
446	в несколько	1	1
447	и уже	1	1
448	он в	1	1
449	земное пространство	1	1
450	в самом	3	1
451	ее в	3	1
452	для них	1	1
453	бога и	2	1
454	важную в	1	1
455	и где	1	1
456	ведь это	1	1
457	не был	3	1
458	действительности в	2	1
459	опираясь на	1	1
460	с некоторыми	1	1
461	чем в	1	1
462	будущее в	1	1
463	превращается в	1	1
464	в таком	1	1
465	указывает на	1	1
466	него и	1	1
467	что подчеркивается	1	1
468	xix века	6	1
469	и всякий	1	1
470	в него	2	1
471	может и	1	1
472	в мир	2	1
473	в котором	6	1
474	сказать что	2	1
475	в рассказе	3	1
476	его и	1	1
477	что я	3	1
478	мысли и	4	1
479	тогда как	1	1
480	в других	1	1
481	только для	1	1
482	и снова	1	1
483	время как	1	1
484	центральное место	1	1
485	и тем	2	1
486	человеку и	1	1
487	так в	1	1
488	себя в	1	1
489	данном случае	2	1
490	и будущее	2	1
491	им в	1	1
492	видит в	1	1
493	же это	1	1
494	от всех	1	1
495	но эта	1	1
496	элемента в	1	1
497	и делает	1	1
498	встречаются и	1	1
499	по себе	1	1
500	и небесных	1	1
501	что ты	2	1
502	не будет	2	1
503	даже и	1	1
504	прошлое и	1	1
505	святые и	1	1
506	жизни он	2	1
507	за ней	1	1
508	когда же	1	1
509	в мировой	1	1
510	это время	2	1
511	смерть но	1	1
512	время это	1	1
513	мировой литературе	1	1
514	к небытию	1	1
515	и когда	2	1
516	в гротескной	1	1
517	сливаются в	1	1
518	форму и	1	1
519	который в	3	1
520	бросается в	1	1
521	фомы аквинского	2	1
522	само собой	1	1
523	героев в	2	1
524	какое отличие	1	1
525	свободы от	1	1
526	в средневековой	2	1
527	он говорит	3	1
528	одним из	4	1
529	культуры и	1	1
530	и самый	1	1
531	один момент	1	1
532	связи с	1	1
533	него в	1	1
534	и стал	1	1
535	говорили что	1	1
536	это и	3	1
537	но эти	1	1
538	приходит на	1	1
539	на него	1	1
540	у кого	1	1
541	от них	1	1
542	он сам	6	1
543	и даже	3	1
544	не так	3	1
545	и через	1	1
546	заметил его	1	1
547	слово о	1	1
548	представление о	3	1
549	вторая часть	1	1
550	самом деле	2	1
551	обращается к	1	1
552	утверждает что	1	1
553	является одним	2	1
554	но его	2	1
555	в основе	2	1
556	и герои	1	1
557	и высокое	2	1
558	преимущественно в	1	1
559	и свое	1	1
560	принадлежит к	1	1
561	и любви	1	1
562	если мы	1	1
563	романе и	1	1
564	мира сего	1	1
565	бессмертие души	1	1
566	это тот	1	1
567	это уже	5	1
568	человека во	1	1
569	этот вопрос	1	1
570	был и	1	1
571	еще раз	1	1
572	ко всему	1	1
573	именно поэтому	1	1
574	со своим	1	1
575	именно здесь	1	1
576	не смеет	1	1
577	это та	1	1
578	еще один	1	1
579	с этой	1	1
580	но не	3	1
581	них он	1	1
582	жизни есть	1	1
583	же самое	1	1
584	было тогда	1	1
585	смысле оно	1	1
586	на первый	1	1
587	развитие в	1	1
588	автора в	1	1
589	в каждом	3	1
590	бы его	1	1
591	но даже	1	1
592	переходит в	2	1
593	конкретное и	1	1
594	на улице	1	1
595	мы находим	2	1
596	время он	2	1
597	он на	1	1
598	представления о	1	1
599	не повторяет	1	1
600	в жизни	2	1
601	найти в	1	1
602	ее с	1	1
603	что иное	1	1
604	среди них	1	1
605	будущего все	1	1
606	бога в	1	1
607	связь с	1	1
608	так что	2	1
609	в одно	2	1
610	вряд ли	2	1
611	в разрезе	1	1
612	у нас	1	1
613	личности всегда	1	1
614	сейчас же	1	1
615	спускается в	1	1
616	каждый раз	1	1
617	для всего	1	1
618	похожие на	1	1
619	из этой	1	1
620	вот его	1	1
621	для человека	3	1
622	не описывает	1	1
623	слова из	2	1
624	человек не	1	1
625	в настоящем	2	1
626	в глаза	2	1
627	к себе	1	1
628	с тем	1	1
629	время они	1	1
630	с представлением	1	1
631	для эпохи	1	1
632	чем у	1	1
633	все же	5	1
634	времени и	4	1
635	в основном	4	1
636	светил и	1	1
637	переплетается с	1	1
638	оба они	1	1
639	эта книга	1	1
640	ряд других	1	1
641	это произведение	1	1
642	над человеком	1	1
643	что еще	1	1
644	к их	1	1
645	о чем	1	1
646	но на	1	1
647	служит целям	1	1
648	трагического и	1	1
649	и многих	1	1
650	космоса в	1	1
651	по всей	1	1
652	и некоторые	1	1
653	интерес и	1	1
654	том же	1	1
655	всеми его	1	1
