N	2gram	Tiupa_Teor_1	Myshleni
1	с помощью	1	42
2	и в	18	25
3	мышления и	2	23
4	в том	16	23
5	на основе	2	22
6	том что	9	20
7	внутренней речи	13	19
8	таким образом	3	17
9	так же	2	17
10	что в	9	17
11	с тем	1	16
12	в основе	3	16
13	как и	4	15
14	в его	6	15
15	то что	3	15
16	в этом	8	14
17	вместе с	2	14
18	между собой	3	13
19	может быть	17	13
20	в целом	3	13
21	так как	1	12
22	в качестве	24	12
23	могли бы	2	11
24	по своему	2	11
25	что они	1	10
26	перед нами	2	10
27	и что	3	10
28	что и	2	10
29	было бы	1	10
30	того что	4	10
31	только в	6	10
32	как бы	5	10
33	и не	13	10
34	связи с	1	9
35	заключается в	2	9
36	ни в	2	9
37	как в	5	9
38	как мы	1	8
39	того чтобы	1	8
40	тем что	1	8
41	не является	4	8
42	речи и	2	8
43	столь же	2	7
44	по своей	3	7
45	все эти	2	7
46	по себе	1	7
47	в области	4	7
48	для того	1	7
49	как это	8	7
50	же как	1	6
51	того же	3	6
52	совпадает с	3	6
53	и на	1	6
54	но не	9	6
55	потому что	3	6
56	как уже	1	6
57	представляет собой	9	6
58	не только	16	6
59	в силу	1	6
60	не может	4	6
61	точки зрения	9	6
62	в отличие	6	6
63	не в	7	6
64	в отношении	3	6
65	не менее	4	6
66	в собственном	1	6
67	можно было	1	6
68	внешней речи	2	6
69	один из	2	6
70	что он	1	6
71	отличие от	6	6
72	с другой	7	6
73	в связи	1	6
74	слова и	1	6
75	все это	2	6
76	одним из	2	5
77	человека и	1	5
78	связи между	1	5
79	с ее	3	5
80	как говорит	3	5
81	и как	2	5
82	и к	3	5
83	что это	1	5
84	что она	2	5
85	при этом	12	5
86	к одному	1	5
87	и по	2	5
88	тем не	3	5
89	могут быть	4	5
90	и т.д	3	5
91	о том	1	5
92	значения и	2	5
93	так и	10	5
94	если бы	3	5
95	в этой	3	5
96	по типу	1	5
97	входит в	1	5
98	с одной	2	5
99	значения слов	1	5
100	для него	2	5
101	именно в	3	5
102	одной стороны	2	5
103	тем же	1	4
104	мы имеем	7	4
105	еще не	4	4
106	отнюдь не	3	4
107	в своем	4	4
108	по пути	3	4
109	из этих	3	4
110	в известном	1	4
111	на то	1	4
112	он не	3	4
