N	3gram	Vygotskiy__7	VrazhdaK
1	в то же	1	4
2	с точки зрения	21	2
3	и что в	1	2
4	как раз в	2	2
5	не может быть	4	2
6	в том что	13	2
7	а следовательно и	1	1
8	в этом смысле	1	1
9	не переставал любить	1	1
10	в соответствии с	1	1
11	в том же	1	1
12	до сих пор	3	1
13	и не может	1	1
14	ему нужно было	2	1
15	в той же	2	1
16	в этом отношении	3	1
17	в этот период	2	1
18	все же в	1	1
19	точно так же	2	1
20	и то что	3	1
21	одно и то	3	1
22	в момент его	1	1
23	едва ли не	2	1
24	так же как	7	1
25	его отношения к	1	1
26	тем что он	1	1
27	в высшей степени	1	1
28	в ней благодаря	1	1
29	в конце концов	1	1
30	и то же	3	1
31	но при этом	1	1
32	по нашему мнению	1	1
33	в известном смысле	2	1
34	и в этом	1	1
35	во всяком случае	1	1
36	что у него	1	1
37	с другой стороны	1	1
38	шаг за шагом	1	1
39	тем не менее	3	1
40	заключается в том	4	1
41	в то время	2	1
42	в свою очередь	2	1
43	это и есть	1	1
44	о том что	4	1
45	не только не	9	1
46	на то что	4	1
47	в каком направлении	1	1
48	что я хотел	1	1
