N	2gram	Bakhtin_Pr_2	VelikijI
1	и не	29	20
2	и в	43	16
3	так как	4	9
4	то что	7	9
5	еще не	9	8
6	а не	7	7
7	и потому	1	7
8	человека и	2	6
9	не есть	2	6
10	на себя	2	5
11	но и	14	5
12	того что	2	5
13	хотя и	5	5
14	в мире	1	5
15	все это	5	5
16	что есть	1	5
17	как бы	22	5
18	ты не	1	5
19	и есть	1	4
20	в образе	2	4
21	в его	10	4
22	в этом	13	4
23	что он	13	4
24	в нем	12	4
25	так и	3	4
26	что все	1	4
27	что не	2	4
28	как и	14	4
29	в котором	6	4
30	и все	6	4
31	это еще	1	4
32	все что	1	4
33	от этого	1	3
34	и что	5	3
35	должна быть	3	3
36	людей он	1	3
37	же ты	1	3
38	хотя бы	2	3
39	то это	2	3
40	как не	1	3
41	лишь в	8	3
42	с его	4	3
43	во всех	4	3
44	что и	3	3
45	в том	6	3
46	тот же	3	3
47	с тобою	1	3
48	но в	10	3
49	бы и	2	3
50	все эти	5	3
51	и они	2	3
52	за ним	1	3
53	в конце	2	3
54	их в	4	3
55	в своей	4	3
56	и мы	1	3
57	в жизни	3	3
58	ни в	2	3
59	в них	4	3
60	не было	1	3
61	должно быть	4	3
62	в этих	6	3
63	что я	6	3
64	не в	11	3
65	к чему	1	3
66	этих трех	3	3
67	но это	4	3
68	не имеет	1	3
69	никогда не	9	3
70	превращается в	2	3
71	и для	3	3
72	к тому	4	3
73	жизни и	1	3
74	что в	4	3
75	а между	2	2
76	и это	4	2
77	того чтобы	1	2
78	и то	2	2
79	но мы	1	2
80	и сам	7	2
81	и т	13	2
82	можно было	3	2
83	мы не	4	2
84	в последнем	3	2
85	с ним	3	2
86	вместо того	1	2
87	мы это	1	2
88	и во	1	2
89	между тем	3	2
90	ивана карамазова	2	2
91	нет и	1	2
92	не с	1	2
93	человека как	1	2
94	материалом для	1	2
95	его к	2	2
96	только в	4	2
97	в себя	3	2
98	ничего и	1	2
99	конечно не	2	2
100	уже не	3	2
101	не только	11	2
102	его и	2	2
103	для него	8	2
104	не к	1	2
105	людей не	1	2
106	тем что	3	2
107	на том	2	2
108	мы слышим	1	2
109	это не	3	2
110	т д	4	2
111	а с	2	2
112	прежде всего	10	2
113	все равно	1	2
114	мы и	2	2
115	один из	1	2
116	и тогда	1	2
117	зачем же	1	2
118	не могут	4	2
119	является в	1	2
120	которой они	1	2
121	выше всего	1	2
122	что было	2	2
123	да и	5	2
124	с тобой	2	2
125	ведет по	1	2
126	одна из	2	2
127	что их	1	2
128	уж конечно	1	2
129	том что	2	2
130	а к	1	2
131	для нас	2	2
132	от него	1	2
133	в форме	2	2
134	ее в	2	2
135	есть уже	1	2
136	до того	1	2
137	это все	3	2
138	а в	5	2
139	но не	5	2
140	в духе	1	2
141	могут быть	3	2
142	чтобы сделать	2	2
143	понимает и	1	2
144	всего в	1	2
145	во всяком	2	2
146	чудо и	2	1
147	к полному	1	1
148	если б	1	1
149	как мы	10	1
150	в виду	3	1
151	для себя	2	1
152	в ее	1	1
153	униженным и	1	1
154	в словах	4	1
155	и говорит	1	1
156	и до	4	1
157	важное место	1	1
158	в нашу	2	1
159	и самое	2	1
160	значение в	2	1
161	мы будем	3	1
