N	2gram	Tiupa_Vved_1	slovoVRo
1	и в	13	41
2	в нем	5	30
3	то есть	8	26
4	в романе	6	21
5	в роман	1	19
6	могут быть	4	19
7	во всех	2	17
8	не только	20	16
9	и не	12	16
10	точки зрения	1	16
11	но и	19	16
12	а не	15	15
13	то же	5	14
14	и на	3	14
15	в то	4	14
16	и его	5	14
17	в пределах	2	14
18	может быть	18	14
19	и др	1	14
20	не может	7	14
21	слова и	1	13
22	в сущности	1	13
23	в его	4	13
24	в этом	21	12
25	до конца	3	12
26	же время	3	12
27	как бы	4	12
28	так и	8	11
29	в той	4	10
30	себя в	1	9
31	все эти	1	9
32	таким образом	4	9
33	той или	3	9
34	иной степени	1	9
35	или иной	3	9
36	точка зрения	3	8
37	как в	4	8
38	но в	6	8
39	на его	1	8
40	как мы	3	8
41	в особенности	1	8
42	или в	1	8
43	слова в	2	8
44	прежде всего	7	8
45	отношение к	2	7
46	все же	6	7
47	чужих слов	1	7
48	в слове	3	7
49	в своей	5	7
50	не в	6	7
51	вовсе не	1	7
52	с ним	3	7
53	всех его	1	7
54	они могут	1	7
55	на фоне	2	7
56	все они	2	7
57	во всяком	1	7
58	того же	1	6
59	при этом	26	6
60	это не	6	6
61	в них	2	6
62	к своему	1	6
63	в отношении	1	6
64	оно не	1	6
65	только в	6	6
66	и даже	1	6
67	по своим	3	6
68	а в	6	6
69	отношении к	1	6
70	в каждый	1	5
71	чужих высказываний	1	5
72	и к	2	5
73	в самом	2	5
74	он в	1	5
75	так сказать	2	5
76	с другими	1	5
77	далеко не	4	5
78	всяком случае	1	5
79	все это	1	5
80	национального языка	2	5
81	в основе	3	5
82	со своим	1	5
83	не на	1	5
84	к нему	1	5
85	как его	2	5
86	точек зрения	2	5
87	с другой	5	5
88	еще более	1	5
89	одним из	5	4
90	в ней	4	4
91	еще не	7	4
92	перед нами	6	4
93	и наконец	2	4
94	мы отчетливо	1	4
95	но именно	1	4
96	всех этих	1	4
97	не как	2	4
98	и с	2	4
99	лишь в	2	4
100	входит в	1	4
101	как и	11	4
102	автора и	1	4
103	в их	1	4
104	том же	1	4
105	в процессе	1	4
106	и для	3	4
107	с ее	1	4
108	смысловых и	1	4
109	большей или	1	4
110	один из	3	4
111	оно и	1	4
112	с одной	5	4
113	или меньшей	1	4
114	одной стороны	5	4
115	и все	4	4
116	и потому	1	4
117	и от	2	4
118	известной степени	1	4
119	быть и	2	4
120	другой стороны	2	4
121	также и	4	3
122	в первом	2	3
123	в зависимости	1	3
124	язык как	2	3
125	зависимости от	1	3
126	данном случае	6	3
127	в своем	5	3
128	более или	2	3
129	бы и	4	3
130	из этих	3	3
131	в себе	5	3
132	вообще не	1	3
133	и сам	1	3
134	как оно	2	3
135	было бы	4	3
136	рассказчика и	2	3
137	он не	3	3
138	или менее	2	3
139	и ее	1	3
