N	3gram	Vinokur_Ku_3	Problemy
1	то же время	1	12
2	в то же	1	12
3	на самом деле	3	10
4	и т п	41	6
5	не может быть	3	6
6	по отношению к	2	5
7	и в то	1	5
8	во всяком случае	1	5
9	в этом смысле	1	4
10	с точки зрения	16	4
11	бы то ни	1	4
12	и прежде всего	1	4
13	в самом деле	11	3
14	по крайней мере	1	3
15	и в самом	4	3
16	с другой стороны	3	3
17	смысле этого слова	2	2
18	в той или	2	2
19	и к тому	1	2
20	а вовсе не	1	2
21	как раз и	2	2
22	в этом случае	4	2
23	не только слово	1	2
24	и не может	1	2
25	хотя бы и	1	2
26	вместе с тем	1	2
27	сама по себе	2	2
28	в отличие от	2	2
29	а может быть	1	2
30	к другому и	1	2
31	что он в	1	2
32	все без исключения	1	2
33	и в этом	4	2
34	о том что	3	2
35	так и в	3	2
36	выходит за пределы	1	2
37	той или иной	5	2
38	тем не менее	9	2
39	к тому же	2	2
40	мы увидим что	1	2
41	именно потому что	1	2
42	и т д	8	2
43	как мы видели	2	2
44	сплошь да рядом	2	1
45	в сущности уже	1	1
46	одних и тех	1	1
47	хотя и не	1	1
48	точки зрения на	2	1
49	в чем же	1	1
50	что здесь можно	1	1
51	потому что в	2	1
52	слова т е	1	1
53	прежде всего в	1	1
54	здесь же мы	1	1
55	и в отношении	1	1
56	т д и	1	1
57	сих пор еще	3	1
58	что же касается	1	1
59	он мог бы	1	1
60	самом деле не	2	1
61	до сих пор	8	1
62	другой точки зрения	1	1
63	т п а	2	1
64	что он не	1	1
65	а что же	1	1
66	в строгом смысле	1	1
67	а так как	1	1
68	но для этого	1	1
69	и тех же	1	1
70	это вовсе не	1	1
71	ни одного слова	1	1
72	т п но	3	1
73	в своей статье	2	1
74	к тому что	1	1
75	в этом роде	1	1
76	в данном случае	4	1
77	что на самом	1	1
78	не столько в	1	1
79	пор еще не	1	1
80	или иной форме	1	1
81	как и слово	1	1
82	не только для	1	1
83	может быть и	1	1
84	то что он	1	1
85	и тот же	2	1
86	нас прежде всего	1	1
87	независимо от их	1	1
88	один и тот	2	1
89	это потому что	1	1
90	может быть не	1	1
91	же время как	1	1
92	а вместе с	1	1
93	из которых каждый	1	1
94	и вместе с	1	1
95	деле вовсе не	1	1
96	в свою очередь	1	1
97	и того же	2	1
98	в этом я	1	1
99	не только не	1	1
100	но в этом	1	1
101	и остается в	1	1
102	но все же	1	1
103	одного и того	2	1
104	не может обойтись	1	1
105	или иной степени	1	1
106	для того чтобы	11	1
107	в том что	8	1
108	этом смысле можно	1	1
109	что и в	2	1
