N	4gram	Losev_Dial_1	VeschiIm
1	не что иное как	1	8
2	т д и т	2	7
3	д и т д	2	7
4	и т д и	2	7
5	одно и то же	4	5
6	есть не что иное	1	5
7	в то же время	4	4
8	и в то же	2	3
9	это значит что мы	1	3
10	это значило бы что	1	3
11	значит ли это что	2	3
12	дело в том что	1	2
13	то это значит что	1	2
14	никогда не есть только	1	2
15	то что не есть	1	2
16	или по крайней мере	2	1
17	и тем не менее	1	1
18	с какой стороны не	3	1
19	т д все это	1	1
20	с одной стороны и	2	1
21	это я мог бы	1	1
22	не вытекает того что	1	1
23	это значит что в	2	1
24	д все это –	1	1
25	в чем же тогда	1	1
26	т е прежде всего	4	1
27	ничто не мешает чтобы	1	1
28	никаких указаний ни на	1	1
29	что она уже не	1	1
30	есть прежде всего некая	1	1
31	было бы и не	1	1
32	и т д в	1	1
33	ни в каком случае	4	1
34	это и значит что	1	1
35	к одному и тому	1	1
36	имеет никакого отношения к	1	1
37	ни с какой стороны	4	1
38	и т д все	1	1
39	т д в результате	1	1
40	в то время как	1	1
41	есть не больше как	1	1
42	одному и тому же	1	1
43	не будучи в состоянии	1	1
44	и с другой стороны	2	1
45	само по себе и	1	1
46	и ни с какой	1	1
47	не имеет никакого отношения	1	1
48	но в то же	1	1
49	и т д если	1	1
50	одной стороны и с	1	1
51	можно было бы и	1	1
52	вода и т д	1	1
53	а в том что	1	1
54	если она не может	1	1
55	только то что я	1	1
56	ни на что не	2	1
57	это не значит что	1	1
58	его на то что	1	1
59	когда мы говорим что	1	1
