N	2gram	Propp_Isto_6	ViktorSh
1	в книге	4	3
2	и в	26	2
3	том что	10	2
4	в том	12	2
5	и только	3	1
6	тем более	1	1
7	нет есть	1	1
8	и стоит	1	1
9	под влиянием	1	1
10	в другом	1	1
11	и не	10	1
12	все время	2	1
13	и его	7	1
14	потому что	13	1
15	даже не	1	1
16	более чем	1	1
17	сводится к	2	1
18	и то	3	1
19	же с	1	1
20	другом месте	1	1
21	все это	1	1
22	совершенно ясно	4	1
23	именно в	1	1
24	главным образом	3	1
25	это далеко	2	1
26	с большой	1	1
27	в частности	3	1
28	так в	6	1
29	одно и	1	1
30	стоит на	2	1
31	же все	1	1
32	в которых	2	1
33	только в	5	1
34	то же	5	1
35	ясно что	1	1
36	так как	18	1
37	далеко не	3	1
38	чем к	1	1
39	не будем	2	1
40	но это	4	1
41	в этом	12	1
42	они на	1	1
43	имеется в	3	1
44	на одном	1	1
45	по существу	1	1
46	к этому	3	1
