N	3gram	Bakhtin_Fr_8	Komedia
1	к тому же	1	10
2	в том что	6	5
3	вместе с тем	1	4
4	о том что	2	4
5	для того чтобы	2	4
6	по отношению к	1	3
7	в том числе	3	3
8	в связи с	3	3
9	то же время	10	3
10	в то время	2	3
11	в то же	10	3
12	в этом смысле	1	2
13	в частности в	1	2
14	до сих пор	8	2
15	в той же	3	2
16	в отличие от	1	2
17	бы то ни	2	2
18	и его современников	1	2
19	то ни было	1	2
20	с одной стороны	2	2
21	и с этой	1	2
22	в самом начале	1	2
23	после того как	1	2
24	можно было бы	1	2
25	друг с другом	1	2
26	речь идет о	1	2
27	у своего отца	1	1
28	и самый характер	1	1
29	потому что в	1	1
30	протяжении всего средневековья	1	1
31	в самом деле	1	1
32	это было в	1	1
33	не похож на	1	1
34	один из первых	1	1
35	с точки зрения	2	1
36	и в то	5	1
37	с самого начала	1	1
38	большинстве случаев не	1	1
39	и в современной	1	1
40	но и в	1	1
41	он был благороден	1	1
42	том числе и	2	1
43	военные действия вокруг	1	1
44	иначе чем это	1	1
45	все это черты	1	1
46	но в их	1	1
47	той или иной	1	1
48	в чем же	1	1
49	обстоит дело с	1	1
50	по сравнению с	1	1
51	но там они	1	1
52	с другой стороны	2	1
53	таким образом и	3	1
54	своего времени а	1	1
55	вместо того чтобы	1	1
56	не может быть	2	1
57	более или менее	2	1
58	у него в	1	1
59	может быть таким	1	1
60	так и в	1	1
61	с современной ему	1	1
62	на протяжении всего	1	1
63	речь шла о	1	1
64	и в самом	1	1
65	во время этой	1	1
66	что это не	1	1
67	как мы знаем	1	1
68	в большинстве случаев	6	1
69	и не имеет	1	1
70	это черты характерные	1	1
71	была найдена в	1	1
72	как мы видели	2	1
73	так и более	1	1
