1	в то же время	4	7
2	но в то же	2	2
3	одной и той же	3	2
4	то что мы называем	1	2
5	в зависимости от того	2	2
6	той социальной группы к	1	1
7	то же время служит	1	1
8	это не совсем так	1	1
9	и нет ничего удивительного	1	1
10	в собственном смысле слова	1	1
11	не может обойтись без	1	1
12	как мы уже знаем	1	1
13	нет и не может	1	1
14	в большинстве случаев только	1	1
15	то или иное отношение	1	1
16	которые в последнем счете	1	1
17	внутренней и внешней речи	2	1
18	что же останется от	1	1
19	борьбе за существование о	1	1
20	сих пор говоря о	1	1
21	то что же останется	1	1
22	от того в какой	1	1
23	и не может быть	2	1
24	социальной группы к которой	1	1
25	одни и те же	1	1
26	в гораздо большей степени	1	1
