N	2gram	Berdyaev_M_2	formyVre
1	и в	46	50
2	в этом	20	25
3	в нем	22	24
4	человека в	14	17
5	и его	5	16
6	прежде всего	12	15
7	и не	18	14
8	в его	5	13
9	так и	4	12
10	человека и	7	11
11	то же	5	11
12	может быть	21	11
13	и как	1	10
14	но в	10	10
15	с его	4	9
16	все эти	1	9
17	роль в	1	9
18	не только	18	9
19	ничего не	2	9
20	в том	3	9
21	в конце	5	9
22	того же	1	8
23	и на	3	8
24	в самом	5	8
25	ни в	3	8
26	жизни в	3	8
27	но и	15	8
28	как и	13	8
29	жизни и	6	8
30	для себя	1	7
31	и во	3	7
32	не было	11	7
33	между двумя	1	6
34	во всех	2	6
35	как в	7	6
36	с этим	1	6
37	не оставляет	1	6
38	лишь в	2	6
39	это не	5	6
40	так как	8	6
41	в ее	1	6
42	связи с	2	6
43	в жизни	4	6
44	у него	22	6
45	то что	5	6
46	человеческой жизни	2	6
47	не может	15	6
48	так же	6	6
49	и все	5	6
50	образ человека	1	6
51	отношению к	2	5
52	и у	1	5
53	не в	9	5
54	этот процесс	2	5
55	он не	10	5
56	с самим	3	5
57	в основе	2	5
58	того чтобы	4	5
59	точки зрения	2	5
60	в разных	2	5
61	только и	4	5
62	но все	1	5
63	конце романа	1	5
64	в пределах	1	5
65	в образе	3	5
66	если бы	3	5
67	в пространстве	1	5
68	для того	5	5
69	что в	4	5
70	и то	1	4
71	и это	5	4
72	в ней	11	4
73	в своем	8	4
74	раз в	1	4
75	но на	2	4
76	и с	3	4
77	в них	3	4
78	том что	4	4
79	в котором	1	4
80	не имеет	4	4
81	потому что	12	4
82	к себе	2	4
83	как человек	1	4
84	жизни героев	1	4
85	жизнь и	4	4
86	или как	1	4
87	только в	3	4
88	до конца	4	4
89	нет ничего	3	4
90	в той	1	4
91	все это	1	4
92	и для	7	4
93	отношения к	2	3
94	жизни поэтому	1	3
95	по преимуществу	5	3
96	не имеют	2	3
97	есть не	5	3
98	мы не	1	3
99	большую роль	1	3
100	в сущности	2	3
101	значение и	1	3
102	по отношению	2	3
103	себе и	2	3
104	к концу	1	3
105	хотя и	2	3
106	со своей	1	3
107	в себе	10	3
108	и те	2	3
109	она становится	1	3
110	его в	3	3
111	входит в	1	3
112	и других	2	3
113	для них	1	3
114	и уже	1	3
115	между ними	1	3
116	в этих	2	3
117	в отношении	5	3
118	целомудрия и	1	3
119	но эта	2	3
120	что было	3	3
121	их в	1	3
122	но они	1	3
123	этими двумя	1	3
124	друг друга	12	3
125	чем не	2	3
126	жизни не	2	3
127	этом отношении	1	3
128	не могут	1	3
129	к тому	5	3
130	самим собою	2	3
131	формы и	1	3
132	нас в	2	3
133	что и	4	3
134	один из	5	3
135	мы видим	2	3
136	и ее	1	3
137	со всеми	1	3
138	был бы	1	3
139	до сих	3	3
140	мы еще	2	3
141	себя и	3	3
142	что не	2	3
143	с тем	1	3
144	а не	13	3
145	человек в	3	3
146	мира в	1	3
147	вместе с	2	3
148	и потому	7	3
149	да и	2	3
150	сих пор	3	3
151	своей собственной	1	3
152	еще более	2	3
153	ни к	1	3
154	а в	2	3
155	всеми его	1	3
156	не знает	9	3
157	сказать что	3	3
158	они не	4	3
159	к этому	1	3
160	смысле слова	3	2
161	нем нет	2	2
162	также и	4	2
163	же как	3	2
164	к другому	3	2
165	значение но	1	2
166	той же	3	2
167	их и	1	2
168	вопрос о	6	2
169	для раскрытия	1	2
170	но она	2	2
171	принадлежит к	2	2
172	на себя	1	2
173	они были	3	2
174	же что	2	2
175	жизни это	4	2
176	очень характерно	1	2
177	момент в	3	2
178	на них	1	2
179	в чем	3	2
180	друг к	5	2
181	совсем не	5	2
182	друг на	1	2
183	происходит в	1	2
184	нет и	1	2
185	определяется не	1	2
186	в центре	2	2
187	же и	2	2
188	и нет	3	2
189	и к	7	2
190	мир и	2	2
191	от этого	2	2
192	традицией и	2	2
193	в целом	1	2
194	момент его	2	2
195	в нашем	7	2
196	как бы	8	2
197	как он	3	2
198	все другие	1	2
199	природной и	1	2
200	уже не	4	2
201	этом мире	1	2
202	что все	5	2
203	об этом	1	2
204	к другу	5	2
205	самим собой	1	2
206	было бы	1	2
207	на почве	3	2
208	из нее	1	2
209	нет в	4	2
210	жизни то	1	2
211	на друга	1	2
212	чем в	2	2
213	мир в	1	2
214	человека мы	1	2
215	для него	18	2
216	в своей	5	2
217	он должен	1	2
218	с точки	1	2
219	место в	2	2
220	не к	2	2
221	в которых	1	2
222	но он	11	2
223	по себе	2	2
224	тогда когда	2	2
225	никогда не	18	2
226	в самой	1	2
227	к ней	2	2
228	во всем	5	2
229	а мы	1	2
230	в трагедии	3	2
231	и перерождение	1	2
232	той или	1	2
233	оно не	2	2
234	во всякой	1	2
235	но по	1	2
236	всего этого	1	2
237	природе своей	1	2
238	те же	5	2
239	по природе	1	2
240	по сравнению	1	2
241	с ним	3	2
242	или иной	2	2
243	а также	1	2
244	в значительной	1	2
245	во втором	1	2
246	оторванной от	1	2
247	того что	6	2
248	быть и	2	2
249	в стороне	1	2
250	есть в	3	2
251	уже в	2	2
252	друг за	2	2
253	его и	1	2
254	других так	1	2
255	никто не	1	2
256	он весь	1	2
257	не для	3	2
258	исторического процесса	1	2
259	отношение к	8	2
260	не о	2	2
261	тем что	3	2
262	лишь один	2	2
263	не были	1	2
264	и характер	1	2
265	с другой	1	2
266	и прежде	1	2
267	одних и	1	2
268	принадлежит не	1	2
269	жизнь в	6	2
270	он становится	1	2
271	его на	4	2
272	к своему	2	2
273	не осталось	1	2
274	сравнению с	1	2
275	в романах	1	2
276	но для	2	2
277	в более	2	2
278	человек и	2	2
279	лишь как	3	2
280	у них	4	2
281	мы должны	1	2
282	хотя бы	7	2
283	ее в	2	2
284	и искупление	1	2
285	личности и	2	2
286	была бы	1	2
287	в свою	4	2
288	в которой	2	2
289	и эта	2	2
290	всем и	1	1
291	пор не	1	1
292	я и	2	1
293	с природой	1	1
294	мне то	1	1
295	связана с	7	1
296	он может	1	1
297	и есть	8	1
298	из самых	1	1
299	высшей степени	3	1
300	когда это	1	1
301	разрушена он	1	1
302	и за	2	1
303	попали в	1	1
304	бы в	2	1
305	миру и	1	1
306	бы и	5	1
307	европейского человека	1	1
308	который был	2	1
309	индивидуального человека	1	1
310	это отношение	1	1
311	я не	5	1
312	не знают	1	1
313	начала в	3	1
314	и он	11	1
315	в xix	1	1
316	и много	1	1
317	он был	9	1
318	он сам	6	1
319	и раскрываются	1	1
320	свои права	1	1
321	процесс этот	1	1
322	самом деле	1	1
323	то он	2	1
324	в противоречии	1	1
325	его во	1	1
326	есть по	2	1
327	менее всего	3	1
328	в свои	1	1
329	человек может	1	1
330	нет как	1	1
331	и поэтому	2	1
332	независимо от	1	1
333	народа в	1	1
334	это был	1	1
335	могли бы	1	1
336	вопросом о	1	1
337	и сам	1	1
338	слова он	1	1
339	увидим что	2	1
340	вносит в	1	1
341	к построению	1	1
342	человеческая жизнь	2	1
343	та же	10	1
344	из жизни	1	1
345	что это	6	1
346	ни один	1	1
347	человеческой судьбы	1	1
348	бы не	2	1
349	или во	1	1
350	и принять	2	1
351	которые в	2	1
352	но без	1	1
353	в этой	7	1
354	в рабство	1	1
355	и тот	2	1
356	мира но	1	1
357	вне этой	1	1
358	в жертву	1	1
359	на то	1	1
360	человек не	7	1
361	образ его	1	1
362	не преодолевается	1	1
363	потому они	1	1
364	как часто	1	1
365	в человеческой	1	1
366	человеческую природу	2	1
367	братья карамазовы	1	1
368	в плане	1	1
369	не бывает	3	1
370	то мир	1	1
371	после них	1	1
372	значительной степени	1	1
373	в первых	1	1
374	в мире	7	1
375	мире не	1	1
376	есть одна	1	1
377	и оформления	1	1
378	и религиозной	1	1
379	на протяжении	1	1
380	люди не	1	1
381	самый характер	1	1
382	она и	1	1
383	жизни героя	1	1
384	в высшей	3	1
