N	3gram	Bakhtin_Pr_2	DiskursI
1	в отличие от	4	12
2	в том что	1	6
3	то же время	5	5
4	как и в	3	5
5	по отношению к	5	4
6	в то же	5	4
7	с одной стороны	1	4
8	так и в	1	3
9	не может быть	4	3
10	о том что	1	3
11	той или иной	3	3
12	одной стороны и	1	2
13	в этом мире	1	2
14	как и всякое	1	2
15	с точки зрения	8	2
16	и не может	4	2
17	одно и то	2	2
18	и то же	2	2
19	но при этом	2	2
20	дело в том	1	2
21	это еще не	1	2
22	но прежде всего	1	1
23	но в большинстве	1	1
24	при всей ее	1	1
25	в той или	3	1
26	к себе самому	3	1
27	прежде всего на	1	1
28	прежде всего в	1	1
29	в самом деле	4	1
30	друг от друга	2	1
31	с другой стороны	3	1
32	что он ничего	2	1
33	друг на друга	2	1
34	бы то ни	1	1
35	того и другого	2	1
36	при этом не	1	1
37	в значительной степени	1	1
38	то ни было	1	1
39	в равной степени	1	1
40	а не как	1	1
41	каждый из них	1	1
42	такой же как	1	1
43	во всяком случае	1	1
44	чужой речи и	1	1
45	лишь в одном	1	1
46	между тем как	1	1
47	и каждый из	1	1
48	в одном из	1	1
49	при этом слово	1	1
50	в пределах одной	1	1
51	к чужому слову	6	1
52	но в этом	1	1
53	не менее в	1	1
54	двух точек зрения	2	1
55	можно сказать что	1	1
56	времени и пространства	1	1
57	в большинстве случаев	8	1
58	в том числе	1	1
59	тем не менее	2	1
60	и в большинстве	2	1
61	между рассказом и	1	1
62	героя никогда не	1	1
63	по крайней мере	1	1
64	том числе и	1	1
65	в пределах одного	9	1
66	который не был	1	1
