N	3gram	Tiupa_Disk_2	Dialekti
1	с точки зрения	2	9
2	в том что	6	9
3	по крайней мере	1	7
4	не может быть	3	6
5	то же время	5	6
6	в то же	4	6
7	не в том	1	4
8	подобно тому как	2	4
9	и той же	1	3
10	не говоря уже	1	3
11	говоря уже о	1	3
12	одной и той	1	3
13	или по крайней	1	3
14	одних и тех	1	2
15	равно как и	1	2
16	же время и	1	2
17	и в то	1	2
18	и тех же	1	2
19	а стало быть	1	2
20	та или иная	1	2
21	и в частности	1	2
22	тем не менее	1	2
23	но прежде всего	1	1
24	в обоих случаях	2	1
25	в чем не	1	1
26	а потом и	2	1
27	другой стороны в	1	1
28	мы имеем дело	1	1
29	прежде всего в	1	1
30	дело в том	2	1
31	в себе не	1	1
32	но они же	1	1
33	именно в этом	1	1
34	можно говорить о	1	1
35	в отличие от	12	1
36	можно сказать что	1	1
37	и именно в	1	1
38	того и другого	1	1
39	но для этого	1	1
40	в основе своей	2	1
41	и то что	2	1
42	в это время	1	1
43	содержит в себе	2	1
44	в данном случае	6	1
45	это ведет к	1	1
46	и как бы	2	1
47	по природе своей	2	1
48	вместе с нами	1	1
49	а не как	1	1
50	необходимость не только	1	1
51	днем и ночью	1	1
52	с той или	1	1
53	в этом случае	2	1
54	как того требует	1	1
55	о том что	3	1
56	которое может быть	1	1
57	в пределах одной	1	1
58	и не может	2	1
59	и прежде всего	2	1
60	в себя и	1	1
61	речь идет о	1	1
62	он как бы	1	1
63	включает в себя	1	1
64	ни в чем	1	1
65	с другой стороны	1	1
66	не говорит об	1	1
67	и есть не	1	1
68	друг от друга	1	1
69	но это не	1	1
70	легко может быть	2	1
71	но также и	1	1
72	той или иной	3	1
