N	2gram	Vygotskiy__5	Narrotol
1	не только	16	26
2	а не	8	17
3	представляет собой	1	16
4	но и	6	15
5	при этом	8	14
6	в том	27	14
7	в качестве	2	14
8	и не	6	14
9	в этом	14	13
10	и в	30	13
11	том что	21	13
12	состоит в	3	12
13	только в	5	11
14	в частности	4	11
15	может быть	11	10
16	в данном	3	10
17	сводится к	5	9
18	так и	3	9
19	то есть	13	9
20	к тому	8	9
21	а в	4	9
22	в себе	5	8
23	то что	37	8
24	не в	8	8
25	не может	9	8
26	иначе говоря	1	7
27	к себе	1	7
28	у него	3	6
29	в своем	6	6
30	все же	7	6
31	и к	4	6
32	но в	5	6
33	в жизни	1	6
34	никогда не	9	6
35	ничего не	2	6
36	данном случае	3	6
37	и т.п	1	6
38	можно сказать	2	6
39	в его	4	6
40	вслед за	1	6
41	того что	8	6
42	со стороны	3	6
43	прежде всего	4	6
44	как бы	19	6
45	героя в	3	6
46	ответ на	5	5
47	отличие от	2	5
48	что он	17	5
49	как в	3	5
50	хотя и	1	5
51	в нем	7	5
52	он не	3	5
53	таким образом	20	5
54	на протяжении	1	5
55	и тем	6	5
56	далеко не	1	5
57	точки зрения	7	5
58	в котором	2	5
59	в то	2	5
60	на него	1	5
61	о том	10	5
62	в форме	2	5
63	с одной	12	5
64	по отношению	2	5
65	с другой	9	5
66	одной стороны	12	5
67	в той	3	5
68	в отличие	2	5
69	я в	1	5
70	отношению к	1	5
71	то же	7	4
72	в ее	3	4
73	в этой	5	4
74	перед нами	2	4
75	что это	8	4
76	тому же	1	4
77	в силу	3	4
78	уже не	1	4
79	об этом	3	4
80	в глазах	2	4
81	и уже	3	4
82	в своей	4	4
83	не к	1	4
84	в конце	4	4
85	не менее	1	4
86	в себя	2	4
87	времени и	3	4
88	если бы	11	4
89	как у	1	4
90	и т.д	1	4
91	в другом	3	4
92	в какой	1	4
93	для него	3	4
94	у нее	1	4
95	в рассказе	2	4
96	как и	6	4
97	как это	7	4
98	не является	2	4
99	и все	4	4
100	же в	2	4
101	жизни и	6	4
102	что в	24	4
103	все что	1	4
104	самом деле	8	3
105	едва ли	2	3
106	а как	2	3
107	мы имеем	8	3
108	с его	2	3
109	но не	7	3
110	большей части	1	3
111	что они	5	3
112	как к	1	3
113	в целом	5	3
114	все эти	2	3
115	в ответ	2	3
116	в известном	1	3
117	и его	6	3
118	так сказать	1	3
119	конечном счете	1	3
120	того или	1	3
121	он является	2	3
122	которой он	1	3
123	о которой	1	3
124	и того	2	3
125	о герое	1	3
126	точку зрения	1	3
127	тому что	8	3
128	одна из	3	3
129	пока еще	1	3
130	того чтобы	20	3
131	этом отношении	3	3
132	в состав	3	3
133	той или	2	3
134	как по	1	3
135	на том	2	3
136	и когда	9	3
137	действующих лиц	7	3
138	строго говоря	2	3
139	между собой	2	3
140	о котором	6	3
141	о нем	1	3
142	внимание на	4	3
143	за пределами	1	3
144	в конечном	1	3
145	это не	3	3
146	к ней	1	3
147	один из	5	3
148	с ними	1	3
149	и представляет	1	3
150	никак не	6	3
151	между тем	1	3
152	или даже	1	3
153	представить себе	2	3
154	для других	1	3
155	как раз	13	3
156	и даже	2	3
157	или иной	2	3
158	характера и	2	3
159	да и	1	3
160	с этой	2	3
161	и для	6	3
162	лицо и	2	3
163	сказать что	9	3
164	к его	1	3
165	или иного	1	3
166	в таком	3	3
167	и т	7	2
168	он может	1	2
169	к другому	2	2
170	отношения между	2	2
171	только эти	1	2
172	должна быть	2	2
173	по его	3	2
174	мы не	3	2
175	же как	2	2
176	своих героев	1	2
177	в составе	1	2
178	в каждой	3	2
179	в ней	4	2
180	еще не	5	2
181	в сердце	2	2
182	столь же	1	2
183	в чем	1	2
184	на самом	2	2
185	себе и	2	2
186	и читатель	2	2
187	в центре	2	2
188	характеры действующих	2	2
189	могли бы	4	2
190	не являются	1	2
191	за границей	1	2
192	в самом	14	2
193	себя с	1	2
194	бы с	1	2
195	в нашем	2	2
196	из этих	3	2
197	как он	2	2
198	на то	17	2
199	что она	6	2
200	именно то	4	2
201	мы его	1	2
202	она оказывается	1	2
203	той же	3	2
204	было бы	5	2
205	должен был	4	2
206	несмотря на	5	2
207	бы на	2	2
208	с точки	2	2
209	и что	23	2
210	жизни с	1	2
211	всякий раз	2	2
212	стало быть	1	2
213	но он	3	2
214	однако в	1	2
215	что с	6	2
216	не имеет	1	2
217	в процессе	1	2
218	не могло	1	2
219	только не	5	2
220	имеем дело	1	2
221	потому что	23	2
222	для нас	3	2
223	со своим	2	2
224	с таким	2	2
225	в сознании	1	2
226	в области	1	2
227	у нас	4	2
228	и здесь	6	2
229	все то	2	2
230	имеет место	3	2
231	но для	1	2
232	и он	2	2
233	здесь не	1	2
234	мысль о	4	2
235	что у	3	2
236	можно было	3	2
237	быть может	1	2
238	все те	1	2
239	эти два	3	2
240	что и	3	2
241	дело с	5	2
242	себя в	1	2
243	исключительно в	1	2
244	одном полюсе	3	2
245	в виде	1	2
246	в начале	1	2
247	не все	1	2
248	в душе	2	2
249	обратиться к	5	2
250	на одном	4	2
251	могло бы	1	2
252	т п	3	2
253	вовсе не	3	2
254	давно уже	2	2
255	может служить	1	2
256	в других	1	2
257	представляют собой	2	2
258	только на	4	2
259	не обязательно	1	2
260	именно в	6	2
261	а с	5	2
262	героя и	7	2
263	говорит о	4	2
264	превращается в	1	2
265	его характер	1	2
266	если не	1	2
267	так же	13	2
268	в него	4	2
269	по своему	1	2
270	о чем	4	2
271	в течение	2	2
272	тому как	1	2
273	его жизни	1	2
274	которое не	1	2
275	но это	1	2
276	ни для	1	2
277	в результате	4	2
278	бы в	5	2
279	тем более	1	2
280	хотя бы	3	2
281	только что	4	2
282	во время	1	2
283	вступает в	1	2
284	они все	1	2
285	в свою	3	2
286	который она	1	2
287	в своих	5	2
288	по поводу	3	2
289	можно назвать	1	2
290	как на	11	2
291	самых общих	1	1
292	как все	2	1
293	отношения к	2	1
294	одним из	1	1
295	например в	1	1
296	с с	1	1
297	все остальное	1	1
298	противоречие с	2	1
299	это и	2	1
300	каждый из	1	1
301	который можно	1	1
302	случае о	1	1
303	тем же	3	1
304	чего не	1	1
305	от самого	1	1
306	из его	1	1
307	в зависимости	6	1
308	в театре	1	1
309	его мнению	2	1
310	если я	2	1
311	после слов	1	1
312	от первой	1	1
313	случае это	1	1
314	вопрос о	3	1
315	более не	1	1
316	героя но	1	1
317	самая суть	1	1
318	оба эти	2	1
319	но она	2	1
320	вместо того	1	1
321	мы и	1	1
322	но напротив	1	1
323	зависимости от	7	1
324	так называемые	1	1
325	отступление от	1	1
326	реальным и	1	1
327	проявляется в	1	1
328	и говорить	1	1
329	на другом	1	1
330	собой в	2	1
331	иное как	2	1
332	это действительно	2	1
333	со словами	2	1
334	его словам	1	1
335	во всех	2	1
336	совершенно прав	7	1
337	могло быть	1	1
338	важный для	1	1
339	историю души	1	1
340	с совершенно	2	1
341	очевидно что	2	1
342	и воображения	1	1
343	отношение к	1	1
344	произведение не	1	1
345	не просто	1	1
346	каждый в	1	1
347	относится к	1	1
348	мыслящей и	1	1
349	не принимает	1	1
350	как говорит	4	1
351	значит если	1	1
352	в одной	2	1
353	данный момент	1	1
354	за этим	1	1
355	и нет	1	1
356	что касается	2	1
357	кто не	1	1
358	и как	7	1
359	и наконец	3	1
360	неизмеримо более	1	1
361	более или	1	1
362	себе не	2	1
363	самое важное	3	1
364	здесь и	1	1
365	это их	1	1
366	о самом	1	1
367	то в	1	1
368	за собой	1	1
369	шире и	1	1
370	отступает от	1	1
371	в которой	3	1
372	в литературном	1	1
373	отказывается от	1	1
374	все так	1	1
