N	3gram	Vygotskiy__4	KFilosof
1	по отношению к	1	21
2	не может быть	1	11
3	с точки зрения	11	10
4	может быть в	1	3
5	в этом смысле	8	3
6	между тем как	3	3
7	на самом деле	1	3
8	вопрос о том	1	2
9	бы то ни	1	2
10	и только в	2	2
11	в целом и	2	2
12	здесь мы имеем	1	2
13	один и тот	7	2
14	он может быть	1	2
15	и тот же	7	2
16	в том что	31	2
17	относит его к	1	2
18	тем не менее	1	2
19	то ни было	1	2
20	и только по	1	1
21	в том же	1	1
22	с нашей точки	2	1
23	и тем самым	4	1
24	лежит в основе	1	1
25	в том случае	1	1
26	между ним и	1	1
27	отсюда ясно что	1	1
28	только тогда когда	1	1
29	и было бы	1	1
30	не по способу	1	1
31	и во всех	1	1
32	что в области	1	1
33	со стороны его	1	1
34	смысле этого слова	7	1
35	когда мы говорим	1	1
36	слова и его	1	1
37	не содержит в	1	1
38	равно как и	1	1
39	для того чтобы	5	1
40	потому что в	1	1
41	на то что	4	1
42	решения этой задачи	1	1
43	ни на один	1	1
44	не подлежит сомнению	1	1
45	что и в	1	1
46	к тому что	1	1
47	и того же	5	1
48	во всей полноте	1	1
49	во всех остальных	1	1
50	то же самое	7	1
51	и как бы	1	1
52	мы никогда не	1	1
53	само по себе	1	1
54	и то что	4	1
55	как если бы	1	1
56	в том смысле	2	1
57	в настоящее время	2	1
58	вместо того чтобы	1	1
59	что и делает	1	1
60	во всяком случае	3	1
61	и должен быть	1	1
62	одного и того	5	1
63	нашей точки зрения	2	1
64	вступает в противоречие	1	1
65	действительность при этом	1	1
66	на задний план	1	1
67	но для того	1	1
68	но во всяком	1	1
69	и та же	1	1
70	по своей структуре	1	1
71	в зависимости от	1	1
72	все это в	1	1
73	только в том	2	1
74	одна и та	1	1
75	то что этот	1	1
76	отношения могущие быть	1	1
77	на том что	1	1
78	вместе с тем	3	1
79	не может не	2	1
80	если мы возьмем	1	1
81	и т.п но	1	1
82	в свою очередь	2	1
83	в противоречие с	2	1
84	в действительной жизни	1	1
85	как и на	2	1
86	том что мы	1	1
87	мы говорим о	1	1
