N	3gram	Tiupa_Vved_1	Komedia
1	в том что	3	9
2	к тому же	4	5
3	с другой стороны	1	5
4	в то же	4	4
5	то же время	3	4
6	о том что	4	3
7	с одной стороны	5	3
8	по отношению к	7	3
9	тому же в	1	3
10	речь идет о	1	3
11	в этом отношении	4	3
12	едва ли не	2	3
13	а то и	2	2
14	как и в	2	2
15	то же самое	1	2
16	на то что	1	2
17	но и в	2	2
18	во всяком случае	1	2
19	средствами но и	1	1
20	к этому времени	1	1
21	и тот же	1	1
22	в том же	1	1
23	подобно тому как	2	1
24	из них не	1	1
25	в далеком прошлом	1	1
26	в том числе	1	1
27	одна из них	1	1
28	жизни но и	1	1
29	но это вовсе	1	1
30	по своему происхождению	1	1
31	особое место среди	1	1
32	во времени и	1	1
33	и прежде всего	1	1
34	при этом некоторые	1	1
35	как мы видели	2	1
36	состоит в том	2	1
37	по своему усмотрению	1	1
38	тем не менее	3	1
39	большей или меньшей	1	1
40	но и не	1	1
41	том что на	1	1
42	не что иное	1	1
43	в значительной степени	1	1
44	более или менее	2	1
45	не только в	2	1
46	как будто бы	3	1
47	что иное как	1	1
48	точек зрения в	1	1
49	но при этом	2	1
50	в ответ на	1	1
51	в зависимости от	1	1
52	на этот раз	1	1
53	по аналогии с	1	1
54	другой стороны в	1	1
55	в высшей степени	2	1
56	друг от друга	1	1
57	в следующем году	1	1
58	хотя и не	1	1
59	в отличие от	2	1
60	и особенно в	1	1
61	в данном случае	6	1
62	в соответствии с	6	1
63	том же году	1	1
64	можно было бы	2	1
