1	не может быть	4	7
2	можно сказать что	2	5
3	дело в том	1	4
4	в том что	10	4
5	до сих пор	1	3
6	то ни было	1	3
7	тем не менее	5	3
8	может быть и	1	3
9	бы то ни	1	3
10	и не в	1	3
11	этой точки зрения	2	3
12	в каком отношении	1	2
13	находит свое выражение	1	2
14	с одной стороны	1	2
15	в данном случае	1	2
16	да и вообще	1	2
17	на самом деле	2	2
18	с другой стороны	7	2
19	в зависимости от	4	2
20	конечно не может	1	2
21	с точки зрения	8	2
22	в настоящее время	1	2
23	в этом отношении	3	1
24	но и вся	1	1
25	и в частности	1	1
26	ясно что не	1	1
27	в противном случае	1	1
28	связь слова с	1	1
29	мы видели в	1	1
30	к тому же	1	1
31	то что мы	1	1
32	того чтобы не	1	1
33	к слову в	1	1
34	уже не может	3	1
35	в том и	1	1
36	в лучшем случае	3	1
37	они ни были	1	1
38	в то же	3	1
39	с самого начала	1	1
40	от того кто	1	1
41	однако он не	1	1
42	в этом смысле	5	1
43	в такой степени	1	1
44	самом деле это	1	1
45	но все это	1	1
46	не должно быть	1	1
47	так же как	2	1
48	ту же социальную	1	1
49	то же время	3	1
50	совершенно ясно что	1	1
51	по себе не	2	1
52	в самом деле	7	1
53	в свою очередь	2	1
54	то что я	1	1
55	зависимости от того	1	1
56	в то время	1	1
57	но все же	2	1
58	которая находит свое	1	1
59	к вопросу о	2	1
60	на это мы	1	1
61	и здесь мы	1	1
62	и прежде всего	1	1
63	первого же взгляда	1	1
64	в конечном счете	2	1
65	более и более	1	1
66	что мы имеем	1	1
67	сами по себе	1	1
68	какой бы то	1	1
69	о том что	1	1
70	прежде всего тем	1	1
71	том что в	1	1
72	и с другой	1	1
73	но есть в	1	1
74	в значительной степени	1	1
75	убедиться в этом	1	1
76	все более и	1	1
77	как и в	1	1
78	с первого же	2	1
79	сама по себе	1	1
80	может быть только	2	1
81	можно было бы	9	1
82	характер и становится	1	1
83	свое выражение в	1	1
84	тех или иных	1	1
85	по крайней мере	6	1
86	только то что	1	1
87	сам по себе	1	1
88	то время как	1	1
89	грамматических форм которые	1	1
90	в виду не	1	1
91	речи так как	1	1
92	ничего общего с	1	1
93	во всяком случае	5	1
94	это на примере	1	1
