N	3gram	Tiupa_Anal_2	Marksizm
1	с точки зрения	2	20
2	не может быть	1	13
3	в самом деле	1	9
4	в связи с	1	7
5	в отличие от	2	5
6	одни и те	1	5
7	с другой стороны	2	5
8	и те же	1	5
9	в отношении к	1	4
10	в этом случае	4	3
11	то же самое	1	3
12	в этом отношении	3	3
13	отнюдь не является	1	3
14	на этот вопрос	1	3
15	и тот же	1	3
16	то же время	2	3
17	можно сказать что	1	3
18	в то же	2	3
19	в том что	6	3
20	в данный момент	1	2
21	с установкой на	1	2
22	в таком случае	2	2
23	сама по себе	1	2
24	далеко за пределы	1	2
25	можно было бы	2	2
26	со всех сторон	1	2
27	языка и в	1	2
28	по отношению к	4	2
29	в свою очередь	1	2
30	в этом смысле	2	2
31	тем не менее	3	2
32	место лишь в	1	1
33	тот же самый	1	1
34	ничего не доказывает	1	1
35	в действительности и	1	1
36	прежде всего в	1	1
37	одним и тем	1	1
38	между прочим и	1	1
39	подобно тому как	3	1
40	а между тем	1	1
41	и там и	1	1
42	хотя бы и	1	1
43	до известной степени	1	1
44	сами по себе	1	1
45	выходит далеко за	1	1
46	но и в	1	1
47	каждом из них	1	1
48	в системе языка	1	1
49	с этой точки	1	1
50	так или иначе	1	1
51	в значительной степени	2	1
52	а не только	2	1
53	в нашем случае	1	1
54	и тем же	1	1
55	из виду что	1	1
56	в качестве фактора	1	1
57	ничего не означает	1	1
58	с одной стороны	4	1
59	среда в которой	1	1
60	в результате чего	2	1
61	по природе своей	2	1
62	а в том	1	1
63	в целом ряде	1	1
64	и даже из	1	1
65	более или менее	1	1
66	она получает в	1	1
67	этой точки зрения	1	1
68	другой стороны и	1	1
69	и в самом	2	1
70	не только не	2	1
71	во времени и	1	1
72	не только в	2	1
73	но в результате	1	1
74	нашего времени не	1	1
75	ни к какой	1	1
76	в применении к	1	1
77	имеется в виду	1	1
78	в данном контексте	1	1
79	к тому что	1	1
80	все это делает	1	1
81	друг с другом	1	1
82	там и здесь	1	1
83	выходят за пределы	1	1
84	при этом она	1	1
85	той или иной	3	1
