N	3gram	Tiupa_Lite_1	VerxiiNi
1	с одной стороны	2	7
2	с точки зрения	2	6
3	во всяком случае	2	6
4	в том числе	1	5
5	до сих пор	1	5
6	по крайней мере	1	5
7	а с другой	1	5
8	о том что	2	4
9	но все же	1	4
10	к тому же	1	4
11	так или иначе	8	3
12	в связи с	4	3
13	тем не менее	2	3
14	в том что	11	3
15	в этом отношении	2	2
16	с этой точки	3	2
17	то ни было	1	2
18	бы то ни	1	2
19	то же время	5	2
20	ничего общего с	1	2
21	этой точки зрения	3	2
22	с самого начала	1	2
23	на то что	1	2
24	в то же	5	2
25	и в этом	1	2
26	и того же	1	1
27	состоит в том	5	1
28	иметь в виду	1	1
29	чуть ли не	2	1
30	по отношению к	2	1
31	всего со всем	1	1
32	в самом деле	1	1
33	одного и того	1	1
34	в соответствии с	1	1
35	мысль о полном	1	1
36	при этом не	1	1
37	том или ином	1	1
38	только в силу	1	1
39	которые могли бы	1	1
40	в общем контексте	1	1
41	в данном случае	4	1
42	но в то	1	1
43	на задний план	1	1
44	но при этом	2	1
45	в отличие от	5	1
46	по тому же	1	1
47	а не как	1	1
48	все более и	1	1
49	не только от	1	1
50	в одну из	1	1
51	с другой стороны	1	1
52	только то что	1	1
53	не может быть	1	1
54	может и не	1	1
55	всяком случае в	1	1
56	нет ничего кроме	1	1
57	в свою очередь	1	1
58	в этом последнем	1	1
59	в качестве таких	1	1
60	в своем уединении	1	1
61	более и более	1	1
62	в рамках определенной	1	1
63	но и от	1	1
64	тому же пути	1	1
65	со всем и	1	1
66	друг друга а	1	1
67	тем что в	1	1
