N	3gram	Losev_Vesc_1	StatiiOP
1	и т д	19	21
2	в том что	4	17
3	о том что	4	11
4	для того чтобы	2	10
5	с точки зрения	3	8
6	можно было бы	1	8
7	до сих пор	1	7
8	в этом отношении	1	7
9	в данном случае	2	6
10	с другой стороны	2	6
11	во всяком случае	2	6
12	в самом деле	4	5
13	не может быть	6	5
14	дело в том	2	4
15	не только в	4	4
16	не при чем	1	4
17	что и в	1	4
18	нужно сказать что	1	4
19	на то что	2	4
20	в то же	1	4
21	что мы любим	1	3
22	по меньшей мере	1	3
23	в применении к	1	3
24	так же как	1	3
25	это не значит	1	3
26	заключается в том	1	3
27	и в самом	1	3
28	и в и	1	3
29	не значит что	1	3
30	в свое время	2	2
31	да и в	1	2
32	и даже не	3	2
33	т д и	5	2
34	в той же	1	2
35	и то что	3	2
36	но если это	2	2
37	по крайней мере	4	2
38	как раз в	1	2
39	то что у	2	2
40	с одной стороны	3	2
41	в то время	1	2
42	во втором случае	1	2
43	так или иначе	4	2
44	не в том	1	2
45	т е в	7	2
46	в данном месте	1	2
47	совершенно не при	1	2
48	вопрос о том	1	2
49	в том смысле	1	2
50	тем не менее	3	2
51	в отношении данной	1	1
52	е не только	1	1
53	в чем он	1	1
54	не может не	1	1
55	почему же мы	1	1
56	это вовсе еще	1	1
57	т е уже	1	1
58	в той или	2	1
59	как и во	1	1
60	для него не	1	1
61	я позволю себе	1	1
62	свидетельствует о том	3	1
63	не могла бы	1	1
64	более для него	1	1
65	и можно ли	1	1
66	в зависимости от	1	1
67	сами по себе	3	1
68	все это покрывается	1	1
69	также и то	1	1
70	бы то ни	4	1
71	каждой из этих	1	1
72	только то что	2	1
73	как к чему-то	1	1
74	и говорить о	1	1
75	с полной определенностью	1	1
76	значит что мы	5	1
77	ту или иную	2	1
78	о том как	1	1
79	ясно что и	1	1
80	что я в	1	1
81	то время как	1	1
82	том что я	1	1
83	то что оно	2	1
84	содержит в себе	4	1
85	в том чтобы	1	1
86	хотя это и	1	1
87	как будто бы	1	1
88	но даже и	2	1
89	нужно было бы	1	1
90	и во всей	1	1
91	потому что она	1	1
92	т д на	1	1
93	вовсе еще не	1	1
94	что у нас	1	1
95	значит что в	1	1
96	а в том	1	1
97	д и т	5	1
98	том смысле что	1	1
99	в одно целое	1	1
100	даже и в	1	1
101	сделать хотя бы	1	1
102	словами не только	1	1
103	но то что	1	1
104	несмотря на ее	1	1
105	хотя бы в	2	1
106	как бы ни	2	1
107	но тот же	1	1
108	отличается от всех	1	1
109	т е не	2	1
110	с этой стороны	1	1
111	еще почти не	1	1
112	в настоящем смысле	1	1
113	ближе к истине	1	1
114	она не могла	1	1
115	в то или	1	1
116	которая была бы	1	1
117	к тому что	2	1
118	в результате этого	1	1
119	так что в	3	1
120	одно целое в	1	1
121	его эпохи не	1	1
122	мы имеем дело	2	1
123	может не быть	1	1
124	и не в	1	1
125	в конце концов	2	1
