N	2gram	Berdyaev_M_2	PoTuStor
1	может быть	21	17
2	и в	46	16
3	в этом	20	9
4	и только	1	9
5	прежде всего	12	9
6	и с	3	8
7	точки зрения	2	8
8	и его	5	8
9	к матери	2	8
10	не может	15	8
11	с его	4	7
12	не только	18	7
13	сказать что	3	7
14	я и	2	6
15	самом деле	1	6
16	с точки	1	6
17	и это	5	6
18	к отцу	1	6
19	для него	18	6
20	и к	7	6
21	в чем	3	5
22	отношение к	8	5
23	все эти	1	5
24	сознание и	1	5
25	что такое	1	5
26	ни в	3	5
27	ту сторону	1	5
28	как бы	8	5
29	на самом	1	4
30	и ее	1	4
31	и на	3	4
32	но в	10	4
33	в этой	7	4
34	в нем	22	4
35	его в	3	4
36	все это	1	4
37	по ту	1	4
38	так и	4	4
39	в его	5	4
40	а потому	1	4
41	только в	3	4
42	так как	8	4
43	но и	15	4
44	все позволено	1	4
45	и не	18	4
46	и все	5	4
47	хотя бы	7	4
48	все что	4	4
49	отношения к	2	3
50	во всех	2	3
51	и есть	8	3
52	и как	1	3
53	и теперь	1	3
54	и вот	5	3
55	их в	1	3
56	на этом	2	3
57	том что	4	3
58	сих пор	3	3
59	в основе	2	3
60	до сих	3	3
61	чем не	2	3
62	к себе	2	3
63	те же	5	3
64	мира и	1	3
65	по сравнению	1	3
66	и она	3	3
67	в том	3	3
68	вместе с	2	3
69	и потому	7	3
70	сравнению с	1	3
71	что в	4	3
72	в этих	2	3
73	а в	2	3
74	то что	5	3
75	между ними	1	3
76	жизни и	6	3
77	нем нет	2	2
78	же как	3	2
79	в самом	5	2
80	мы не	1	2
81	говорить о	1	2
82	того же	1	2
83	на них	1	2
84	на высоте	1	2
85	совсем не	5	2
86	друг на	1	2
87	нет и	1	2
88	за пределы	1	2
89	с этим	1	2
90	что это	6	2
91	он не	10	2
92	то же	5	2
93	по своему	1	2
94	на протяжении	1	2
95	было бы	1	2
96	в жизни	4	2
97	в них	3	2
98	всю жизнь	3	2
99	как и	13	2
100	и чувств	1	2
101	потому и	1	2
102	в своей	5	2
103	никогда не	18	2
104	только и	4	2
105	на два	1	2
106	что на	1	2
107	не могут	1	2
108	не будет	3	2
109	как не	1	2
110	и этим	2	2
111	в пределах	1	2
112	как с	1	2
113	быть может	2	2
114	для этого	4	2
115	с ним	3	2
116	находится в	1	2
117	о том	3	2
118	путь к	1	2
119	что и	4	2
120	один из	5	2
121	мы видим	2	2
122	что он	7	2
123	всех его	1	2
124	со всеми	1	2
125	есть в	3	2
126	и других	2	2
127	у него	22	2
128	момент в	3	2
129	характерно для	1	2
130	оно не	2	2
131	себя и	3	2
132	что не	2	2
133	к мировой	1	2
134	на друга	1	2
135	в развитии	1	2
136	так же	6	2
137	с этой	1	2
138	в свое	1	2
139	но это	8	2
140	и для	7	2
141	не существует	3	2
142	сознания и	2	2
143	не есть	13	2
144	все остальные	1	2
145	не знает	9	2
146	есть и	3	2
147	влечет к	3	2
148	а может	1	2
149	ее в	2	2
150	к этому	1	2
151	они не	4	2
152	человека и	7	1
153	и то	1	1
154	он может	1	1
155	совершенно уже	2	1
156	это и	3	1
157	явления и	1	1
158	когда человек	2	1
159	и чрезвычайно	1	1
160	я умру	1	1
161	не имеют	2	1
162	высшей степени	3	1
163	его не	2	1
164	самое замечательное	1	1
165	для достижения	1	1
166	что если	1	1
167	вопрос о	6	1
168	одних и	1	1
169	выходит из	1	1
170	а для	2	1
171	я не	5	1
172	же что	2	1
173	в ней	11	1
174	и самого	3	1
175	он был	9	1
176	иное как	3	1
177	не был	2	1
178	его отношение	4	1
179	этим не	1	1
180	соединиться с	1	1
181	на сторону	2	1
182	теряет свой	1	1
183	значение и	1	1
184	менее всего	3	1
185	как со	1	1
186	в свои	1	1
187	право на	1	1
188	что они	3	1
189	в центре	2	1
190	психологов и	1	1
191	хотя и	2	1
192	когда он	1	1
193	его к	1	1
194	всего как	1	1
195	увидим что	2	1
196	есть ли	2	1
197	от этого	2	1
198	к чему	4	1
199	уже не	4	1
200	лежит на	1	1
201	та же	10	1
202	привести к	5	1
203	ни один	1	1
204	в нашем	7	1
205	или во	1	1
206	не оставляет	1	1
207	то я	1	1
208	как он	3	1
209	жизнь как	1	1
210	во многих	1	1
211	человек не	7	1
212	на его	2	1
213	не преодолевается	1	1
214	что она	5	1
215	что было	3	1
216	и социальной	1	1
217	есть та	1	1
218	идеи и	3	1
219	отношений между	1	1
220	душу и	3	1
221	наших глазах	1	1
222	подобно тому	2	1
223	эта аналогия	1	1
224	как момент	1	1
225	находит себе	1	1
226	человека в	14	1
227	этом нет	1	1
228	в мире	7	1
229	состояние как	1	1
230	той же	3	1
231	на все	3	1
232	лишь в	2	1
233	в единую	2	1
234	входит в	1	1
235	за собою	1	1
236	на почве	3	1
237	свою противоположность	2	1
238	за ней	1	1
239	которая была	1	1
240	для них	1	1
241	рае и	1	1
242	с тем	1	1
243	одна и	3	1
244	мир в	1	1
245	искать в	1	1
246	но если	1	1
247	от своего	1	1
248	что есть	2	1
249	не интересует	1	1
250	любовь и	3	1
251	значение для	1	1
252	но эта	2	1
253	которые в	2	1
254	это сознание	1	1
255	есть еще	2	1
256	любовь к	8	1
257	человека но	1	1
258	так называемого	1	1
259	тянется в	1	1
260	вернемся к	1	1
261	я убежден	1	1
262	в атмосфере	2	1
263	можно ли	3	1
264	существует для	1	1
265	иной раз	1	1
266	есть прежде	5	1
267	в эпоху	1	1
268	тогда когда	2	1
269	в сущности	2	1
270	без остатка	1	1
271	в самых	1	1
272	что иное	3	1
273	того чтобы	4	1
274	для всего	1	1
275	не имеет	4	1
276	на путях	1	1
277	и всегда	3	1
278	ничего не	2	1
279	в русском	4	1
280	она хочет	1	1
281	во всем	5	1
282	к этим	1	1
283	связи с	2	1
284	в сознании	1	1
285	со всякой	1	1
286	уже и	1	1
287	и делает	1	1
288	и социального	2	1
289	от того	3	1
290	в духе	5	1
291	страсть и	2	1
292	отличается от	1	1
293	должны быть	4	1
294	к тому	5	1
295	бы он	1	1
296	той или	1	1
297	она не	8	1
298	культуры и	1	1
299	говорили что	1	1
300	приводит к	1	1
301	роль в	1	1
302	и что	2	1
303	например о	1	1
304	и сам	1	1
305	в другом	1	1
306	можно было	2	1
307	ли это?	1	1
308	мог бы	1	1
309	еще в	2	1
310	к тем	1	1
311	если бы	3	1
312	новых и	1	1
313	грех в	1	1
314	в глубине	3	1
315	в разных	2	1
316	связанная с	1	1
317	и здесь	6	1
318	но к	1	1
319	на вопрос	1	1
320	и та	2	1
321	вражда к	1	1
322	говорит об	1	1
323	как ее	2	1
324	любви к	7	1
325	нас в	2	1
326	дать им	1	1
327	и можно	3	1
328	наконец в	1	1
329	нем и	1	1
330	все время	2	1
331	на наших	1	1
332	человека как	1	1
333	и об	1	1
334	и духовно	1	1
335	и мир	2	1
336	это приводит	1	1
337	к нему	2	1
338	но так	1	1
339	быть при	1	1
340	тот же	2	1
341	мы увидим	2	1
342	человека все	1	1
343	сознание в	1	1
344	бы ни	1	1
345	об их	1	1
346	себя в	4	1
347	же и	2	1
348	этой борьбе	1	1
349	уже в	2	1
350	и они	1	1
351	смысла в	1	1
352	не дает	1	1
353	его и	1	1
354	человека на	2	1
355	не будут	2	1
356	двойственное отношение	1	1
357	в конце	5	1
358	в землю	1	1
359	не случайно	2	1
360	этом отношении	1	1
361	в любви	8	1
362	для того	5	1
363	правда по	1	1
364	во власти	6	1
365	или иной	2	1
366	в высшей	3	1
367	с другой	1	1
368	этом пути	2	1
369	даже самого	1	1
370	и прежде	1	1
371	в свою	4	1
372	у многих	1	1
373	и быть	1	1
374	а с	1	1
375	все творчество	2	1
376	на которые	1	1
377	мы еще	2	1
378	связано с	3	1
379	у нас	11	1
380	а не	13	1
381	власти и	1	1
382	с которым	3	1
383	жизнь в	6	1
384	человек есть	1	1
385	но никогда	1	1
386	из моментов	1	1
387	для человека	3	1
388	не всегда	2	1
389	разных местах	1	1
390	эти психические	1	1
391	в момент	1	1
392	связь с	1	1
393	имеет очень	1	1
394	вопрос можно	1	1
395	не сразу	1	1
396	в человеке	2	1
397	человека какое	1	1
398	тому как	2	1
399	что же	2	1
400	а потом	1	1
401	вне этой	1	1
402	из этой	2	1
403	культурного творчества	1	1
404	считает все	1	1
405	есть то	1	1
406	их во	1	1
407	в культуре	1	1
408	находится во	1	1
409	которые были	1	1
410	в более	2	1
411	и борьба	1	1
412	и часто	1	1
413	бездна между	1	1
414	формы и	1	1
415	интерес к	2	1
416	еще более	2	1
417	теряет свою	3	1
418	мы должны	1	1
419	только что	1	1
420	на такой	1	1
421	всеми его	1	1
422	по поводу	1	1
423	не осталось	1	1
424	жизни в	3	1
425	в угол	1	1
426	нет ничего	3	1
427	с ней	1	1
428	от всех	1	1
429	этап в	1	1
430	для нашего	1	1
431	по которой	1	1
432	не что	3	1
433	ко всему	1	1
434	и жизнь	1	1
435	на своем	1	1
436	в своих	3	1
437	и эта	2	1
438	это в	1	1
439	как на	1	1
