N	2gram	Vygotskiy__5	BTomashe
1	у нас	4	3
2	лучше и	1	2
3	и не	6	2
4	больше чем	1	2
5	все это	2	2
6	в ней	4	2
7	можно было	3	2
8	не то	1	2
9	крайней мере	1	1
10	только ли	1	1
11	художественного произведения	3	1
12	же не	2	1
13	тем более	1	1
14	остановиться на	1	1
15	будто бы	1	1
16	об этом	3	1
17	и в	30	1
18	и о	3	1
19	в речи	1	1
20	к ней	1	1
21	что все	6	1
22	говорить не	1	1
23	с другой	9	1
24	в своей	4	1
25	создает впечатление	1	1
26	на самом	2	1
27	на которой	1	1
28	как будто	6	1
29	сейчас в	1	1
30	точно и	1	1
31	и нет	1	1
32	было бы	5	1
33	все же	7	1
34	свести к	1	1
35	о художественной	1	1
36	никак не	6	1
37	между ними	2	1
38	не выясняется	1	1
39	еще не	5	1
40	художественном произведении	2	1
41	и на	3	1
42	достаточно точно	1	1
43	этих приемов	1	1
44	одной из	1	1
45	включать в	1	1
46	должна быть	2	1
47	в значительной	1	1
48	прежде всего	4	1
49	в данном	3	1
50	и во	1	1
51	так и	3	1
52	не было	1	1
53	то как	1	1
54	совершенно не	6	1
55	далеко не	1	1
56	не о	1	1
57	всего в	1	1
58	до конца	2	1
59	а не	8	1
60	но автор	1	1
61	в научном	1	1
62	что в	24	1
63	в области	1	1
64	другой стороны	5	1
65	и ее	1	1
66	не все	1	1
67	по крайней	1	1
68	и меньше	1	1
69	таким образом	20	1
70	вопрос о	3	1
71	и потому	5	1
72	не только	16	1
73	во всяком	1	1
