N	3gram	Propp_Russ_2	Poddanst
1	в том что	18	4
2	с одной стороны	2	3
3	но и в	1	2
4	том что в	1	1
5	же в этой	1	1
6	далеко не все	1	1
7	собою как бы	1	1
8	более или менее	1	1
9	в настоящее время	1	1
10	и в этом	1	1
11	мы не будем	2	1
12	в отличие от	3	1
13	и другие народы	1	1
14	и еще в	1	1
15	не связаны с	1	1
16	вместе с тем	4	1
17	в применении к	1	1
18	так же как	4	1
19	главным образом на	1	1
20	не только как	1	1
21	во всяком случае	1	1
22	с другой стороны	1	1
23	не может быть	3	1
24	тем и другим	1	1
25	тем более что	1	1
26	как одна из	1	1
27	во многих случаях	2	1
28	в xix в	3	1
29	для того чтобы	6	1
30	и т д	5	1
