N	3gram	Bakhtin_Fr_4	Problema
1	в том что	1	9
2	то же самое	1	7
3	и то что	1	7
4	в связи с	1	7
5	в данном случае	1	7
6	с другой стороны	3	5
7	не может быть	1	5
8	но даже и	1	4
9	имеется в виду	2	4
10	на самом же	2	4
11	в то же	8	4
12	то время как	1	4
13	и то же	1	4
14	самом же деле	2	4
15	в то время	2	4
16	и вовсе не	1	4
17	тех или иных	1	4
18	дело в том	1	3
19	может быть и	1	3
20	одно и то	1	3
21	в конце концов	4	3
22	то есть в	2	3
23	о том что	2	3
24	на этот раз	1	3
25	что и в	1	3
26	того же типа	1	2
27	здесь перед нами	1	2
28	с точки зрения	2	2
29	на первый план	1	2
30	до сих пор	1	2
31	в отличие от	1	2
32	в чем не	1	2
33	но и в	3	2
34	литературы и искусства	1	2
35	в нашем смысле	1	2
36	не только в	2	2
37	на первый взгляд	1	2
38	и как бы	1	2
39	ни в чем	1	2
40	даже и в	1	2
41	на самом деле	1	2
42	можно сказать что	1	2
43	как мы видели	2	2
44	если бы он	1	1
45	таким образом что	1	1
46	и того же	1	1
47	но это конечно	1	1
48	точки зрения на	1	1
49	само собой разумеется	1	1
50	более или менее	3	1
51	и дает нам	1	1
52	как мы сказали	1	1
53	говорить о том	1	1
54	в той же	1	1
55	и не столь	1	1
56	но это не	1	1
57	хотя может быть	1	1
58	в этом длинном	1	1
59	так как она	1	1
60	буквально так как	1	1
61	он вовсе не	1	1
62	мы можем перейти	1	1
63	мы находим и	1	1
64	тем что он	1	1
65	с одной стороны	2	1
66	и все его	1	1
67	смысле этого слова	1	1
68	это один и	1	1
69	содержащий в себе	1	1
70	превратить его в	1	1
71	все же не	1	1
72	это не значит	1	1
73	сказать что и	1	1
74	так же и	1	1
75	таким образом и	3	1
76	далеко не все	1	1
77	конечно и не	1	1
78	узком смысле слова	1	1
79	так и в	1	1
80	это и есть	3	1
81	но в его	1	1
82	одного и того	1	1
83	и в литературе	1	1
84	и в тех	1	1
85	то есть о	2	1
86	реализме и у	1	1
87	таким образом в	3	1
88	и все они	1	1
89	новую жизнь и	1	1
90	быть и не	1	1
91	для того чтобы	3	1
92	к тому же	1	1
93	но в этой	1	1
