N	3gram	Propp_Isto_6	UchenyiS
1	не может быть	3	4
2	с другой стороны	8	3
3	до сих пор	4	2
4	в том что	5	2
5	и то что	1	2
6	еще ничего не	1	2
7	том что она	1	1
8	вот почему и	1	1
9	в своей работе	1	1
10	так или иначе	1	1
11	она сводится к	1	1
12	все же не	1	1
13	это не все	1	1
14	то что все	1	1
15	более или менее	1	1
16	в этом случае	6	1
17	для тех кто	1	1
18	на первый план	2	1
19	с тем что	1	1
20	но это не	1	1
21	можно сказать что	1	1
22	мы имеем в	4	1
23	на то что	1	1
24	в изобразительном искусстве	1	1
25	друг с другом	1	1
26	в данном случае	3	1
27	не только в	4	1
28	на своем месте	1	1
29	с одной стороны	7	1
30	и с другой	1	1
31	на первый взгляд	1	1
