N	2gram	Voloshinov_1	Myslijsy
1	может быть	1	26
2	и в	3	23
3	и не	1	18
4	в языке	1	16
5	то же	1	14
6	если бы	1	13
7	а не	1	12
8	не может	4	11
9	но и	1	11
10	не только	1	10
11	не менее	1	5
12	для него	1	5
13	в его	1	5
14	не из	1	5
15	и все	1	4
16	точки зрения	1	4
17	с другими	1	4
18	в то	1	4
19	же время	1	3
20	как искусство	1	3
21	связи с	1	3
22	с точки	1	3
23	на нее	1	3
24	в каждом	1	3
25	и на	1	3
26	к тому	1	3
27	вопрос что	1	2
28	бы в	1	2
29	можно назвать	1	2
30	тому что	1	2
31	мы видим	1	2
32	один из	2	2
33	в ней	1	2
34	из этих	1	2
35	может не	1	1
36	ничего кроме	1	1
37	влияния на	1	1
38	речь и	1	1
39	произведения но	1	1
40	исходя из	1	1
41	значительное количество	1	1
42	языка как	1	1
43	нет и	1	1
44	и можно	1	1
45	теми или	1	1
46	во второй	1	1
47	с самых	1	1
48	тому подобных	1	1
49	сравнении с	1	1
50	явление если	1	1
51	нуждаются в	1	1
52	и тому	1	1
53	он в	1	1
54	о формах	1	1
55	художественного произведения	1	1
56	лежащие в	1	1
57	грамматических категорий	1	1
58	если один	1	1
59	бы на	1	1
