N	2gram	Berdyaev_V_1	Sotsiolo
1	все это	5	7
2	в этом	4	5
3	в том	3	5
4	для нас	2	3
5	более чем	2	3
6	не только	2	3
7	в его	4	3
8	и в	16	3
9	не в	3	3
10	только в	2	2
11	может быть	1	2
12	и что	3	2
13	в результате	1	2
14	то же	1	2
15	должна быть	3	2
16	и мы	3	2
17	но и	5	2
18	еще не	8	2
19	то что	9	2
20	или даже	1	2
21	конце концов	1	2
22	заключается что	1	2
23	им не	1	2
24	в конце	3	2
25	что в	3	2
26	как бы	5	2
27	том что	2	2
28	и не	20	1
29	в мире	5	1
30	по достоинству	1	1
31	и есть	4	1
32	в этой	1	1
33	в процессе	1	1
34	в своей	3	1
35	бы в	1	1
36	же теперь	1	1
37	еще и	1	1
38	все эти	3	1
39	а между	2	1
40	в целом	1	1
41	с другой	1	1
42	это как	1	1
43	единственный путь	1	1
44	крайней мере	1	1
45	в них	3	1
46	что он	4	1
47	что все	4	1
48	не было	3	1
49	а с	2	1
50	и стало	1	1
51	но не	2	1
52	но она	1	1
53	основной вопрос	1	1
54	вовсе не	1	1
55	все же	1	1
56	что личность	1	1
57	что на	1	1
58	между тем	2	1
59	но как	1	1
60	а в	2	1
61	это значит	1	1
62	это не	2	1
63	нам право	1	1
64	между собою	1	1
65	конечно не	2	1
66	в чем	3	1
67	никогда не	3	1
68	и самые	1	1
69	во всяком	2	1
70	в котором	4	1
71	тому что	3	1
72	по крайней	1	1
73	еще недостаточно	1	1
74	в этих	3	1
75	у него	1	1
76	как и	4	1
77	вот в	1	1
78	с ним	2	1
79	своего же	1	1
80	наше дело	1	1
81	один из	2	1
82	никакая наука	1	1
83	их на	1	1
84	и потому	7	1
85	хотя бы	3	1
86	и по	1	1
87	ничего не	1	1
88	что это	1	1
89	мы не	2	1
90	прежде всего	2	1
91	они не	1	1
92	он говорит	1	1
93	тем что	2	1
94	так и	4	1
95	в виде	1	1
96	и будет	3	1
