N	3gram	Vinokur_St_2	Poddanst
1	в то же	1	7
2	то же время	1	7
3	в отношении к	1	5
4	в том что	16	4
5	с точки зрения	2	3
6	сами по себе	2	3
7	в том числе	1	2
8	к л а	1	2
9	заключается в том	1	2
10	том что в	2	1
11	к о в	1	1
12	что в этом	1	1
13	более или менее	2	1
14	в настоящее время	1	1
15	в этом смысле	1	1
16	и в этом	2	1
17	в отличие от	2	1
18	и именно в	1	1
19	за то что	2	1
20	вместе с тем	5	1
21	и пр в	1	1
22	так же как	3	1
23	по сравнению с	1	1
24	с с и	1	1
25	между тем в	1	1
26	нет сомнения что	2	1
27	не в том	2	1
28	во всяком случае	3	1
29	с другой стороны	3	1
30	в каком смысле	1	1
31	но также и	1	1
32	том что русская	1	1
33	можно судить по	1	1
34	в известном смысле	1	1
35	для того чтобы	5	1
36	и т д	6	1
