N	3gram	Potebnia_M_2	Vladivir
1	о том что	1	7
2	в том что	7	7
3	то что он	1	5
4	дело в том	1	4
5	в этом смысле	2	4
6	что же касается	1	4
7	то же время	2	4
8	на то что	3	4
9	в то же	2	4
10	более или менее	8	3
11	с другой стороны	2	3
12	не может быть	2	3
13	один и тот	1	2
14	мы знаем что	1	2
15	ответ на это	1	2
16	но даже и	1	2
17	главным образом в	1	2
18	в том чтобы	1	2
19	в то время	4	2
20	и тот же	1	2
21	во всяком случае	7	2
22	что у него	1	2
23	тем не менее	5	2
24	для того чтобы	2	2
25	том что он	1	2
26	что и в	1	2
27	и т д	3	2
28	потому что его	2	1
29	дает нам возможность	1	1
30	и если это	1	1
31	потому что как	1	1
32	в том виде	1	1
33	остаются для нас	1	1
34	потому что в	1	1
35	и той же	1	1
36	жизни все что	1	1
37	нам кажется что	2	1
38	и не может	1	1
39	было для него	2	1
40	и притом не	1	1
41	в таких случаях	1	1
42	это было для	1	1
43	бы то ни	1	1
44	как это часто	1	1
45	что не только	1	1
46	имеют для него	1	1
47	виде в каком	1	1
48	не было ничего	1	1
49	бы она ни	1	1
50	вместе с тем	1	1
51	ничего не имеют	1	1
52	одно и то	2	1
53	то время как	3	1
54	не потому что	1	1
55	то ни было	1	1
56	что во время	1	1
57	с одной стороны	3	1
58	что для нас	1	1
59	тот же с	1	1
60	смысле этого слова	3	1
61	в связи с	1	1
62	и то же	2	1
63	и в этом	1	1
64	из них не	1	1
65	под влиянием такого	1	1
66	мы будем называть	1	1
67	что касается до	1	1
68	том виде в	1	1
69	а в том	1	1
70	одной и той	1	1
71	в переводе на	1	1
72	до тех пор	1	1
73	так и в	2	1
74	время его жизни	1	1
75	даже и в	1	1
76	в свою очередь	6	1
77	на что они	1	1
78	с тем что	1	1
79	и тем самым	1	1
80	что все в	1	1
81	только одному человеку	1	1
82	но это не	1	1
83	как мысль о	1	1
84	в сравнении с	2	1
85	мысль о том	1	1
