N	2gram	Berdyaev_M_1	Myshleni
1	в этом	20	29
2	точки зрения	4	28
3	и в	28	26
4	не только	29	24
5	то что	5	24
6	и речи	1	19
7	того чтобы	2	19
8	для того	2	18
9	в том	6	18
10	и не	11	18
11	том что	3	17
12	потому что	16	16
13	для других	1	15
14	как и	5	15
15	того что	7	14
16	так как	3	14
17	так же	1	14
18	и его	9	12
19	вместе с	6	12
20	что в	10	12
21	мысли и	2	11
22	в которой	6	11
23	но и	25	11
24	не может	28	11
25	что они	1	10
26	по своей	2	10
27	в самом	11	9
28	в себе	7	9
29	мысли в	1	9
30	мышления и	1	9
31	по сравнению	2	9
32	тем что	4	9
33	что мы	1	9
34	мышлении и	1	9
35	по своему	2	9
36	что она	1	8
37	что он	10	8
38	только в	6	8
39	сравнению с	1	8
40	сказать что	2	8
41	и то	1	7
42	мы не	1	7
43	и к	2	7
44	к тому	3	7
45	может быть	30	7
46	прежде всего	10	7
47	самом деле	1	6
48	вопрос о	2	6
49	во всех	1	6
50	по отношению	2	6
51	все же	2	6
52	все эти	2	6
53	было бы	10	6
54	в ее	3	6
55	и что	2	6
56	заключается в	1	6
57	а не	25	6
58	как бы	2	6
59	в смысле	1	6
60	все что	2	6
61	из всех	1	5
62	оно есть	1	5
63	как говорит	1	5
64	в силу	1	5
65	и с	3	5
66	с тем	9	5
67	у нее	1	5
68	она не	4	5
69	является в	1	5
70	если бы	2	5
71	в виду	2	5
72	в начале	2	5
73	одно из	3	5
74	себе в	1	5
75	и их	3	5
76	до конца	14	5
77	с внутренней	2	5
78	отношению к	2	5
79	с этой	4	5
80	и для	2	5
81	бы в	2	5
82	еще не	1	4
83	если в	1	4
84	это и	4	4
85	как в	2	4
86	целый ряд	1	4
87	но в	7	4
88	отношение между	1	4
89	и во	2	4
90	чем в	2	4
91	в такой	1	4
92	в котором	8	4
93	не в	16	4
94	в той	2	4
95	не менее	1	4
96	никогда не	14	4
97	в области	1	4
98	в момент	3	4
99	не могут	5	4
100	не есть	9	4
101	приводит к	2	4
102	о том	2	4
103	в его	9	4
104	и только	1	4
105	в свете	3	4
106	речи о	1	4
107	одной из	1	4
108	так что	1	4
109	то и	1	4
110	в конце	7	4
111	нужно было	1	4
112	это есть	3	4
113	о чем	2	4
114	и от	2	4
115	и наконец	1	4
116	связана с	2	3
117	на самом	1	3
118	между двумя	1	3
119	к другому	1	3
120	она все	1	3
121	мы уже	1	3
122	есть не	4	3
123	привести к	4	3
124	в ней	15	3
125	но не	8	3
126	нет и	5	3
127	в этой	6	3
128	в одной	1	3
129	как к	1	3
130	в этот	2	3
131	учение о	3	3
132	как совершенно	1	3
133	он не	24	3
134	чем у	4	3
135	отношений между	1	3
136	и по	4	3
137	так и	1	3
138	и заключается	1	3
139	об этом	1	3
140	не совпадает	1	3
141	для него	11	3
142	в своей	15	3
143	что ему	1	3
144	в основе	2	3
145	идет в	1	3
146	только и	3	3
147	в самой	7	3
148	пути и	2	3
149	я не	1	3
150	во всем	1	3
151	отличается от	2	3
152	его с	2	3
153	но также	1	3
154	с собой	3	3
155	мог бы	4	3
156	с ним	2	3
157	что и	4	3
158	это не	5	3
159	движения в	2	3
160	к нему	7	3
161	мы видим	2	3
162	менее всего	7	3
163	момент в	2	3
164	до сих	2	3
165	было сказано	1	3
166	и потому	10	3
167	и о	1	3
168	сих пор	2	3
169	но это	1	3
170	о его	1	3
171	все это	6	3
172	к пониманию	1	3
173	совершается в	1	3
174	в новой	1	3
175	находит свое	1	3
176	есть то	1	3
177	в то	2	3
178	и состоит	1	3
179	ту же	1	2
180	ко всем	3	2
181	отношения к	4	2
182	одним из	2	2
183	также и	2	2
184	выражения в	1	2
185	и есть	14	2
186	и до	1	2
187	не раз	1	2
188	и ничего	1	2
189	время как	2	2
190	и он	12	2
191	ответ на	1	2
