N	3gram	Vinokur_Ku_3	Istorich
1	и т д	8	18
2	с другой стороны	3	8
3	в этом случае	4	7
4	с одной стороны	4	7
5	вместе с тем	1	6
6	о том что	3	4
7	в связи с	4	4
8	но все же	1	4
9	тем не менее	9	4
10	т е в	1	3
11	так же как	1	3
12	не может быть	3	3
13	после того как	4	3
14	для того чтобы	11	3
15	потому что он	1	2
16	по отношению к	2	2
17	до сих пор	8	2
18	наряду с этим	1	2
19	т е на	2	2
20	в данном случае	4	2
21	в том чтобы	3	2
22	не только в	3	2
23	таких примеров можно	1	2
24	и вместе с	1	2
25	но и в	1	2
26	то же в	1	2
27	в том что	8	2
28	не потому ли	1	2
29	что и в	2	2
30	но это уже	1	1
31	что сказано выше	2	1
32	пока он не	1	1
33	здесь может быть	1	1
34	всякого ущерба для	1	1
35	из того что	1	1
36	на самом деле	3	1
37	что для того	1	1
38	в том числе	2	1
39	с точки зрения	16	1
40	только в том	2	1
41	в зависимости от	7	1
42	сам по себе	3	1
43	того что сказано	2	1
44	что он не	1	1
45	в отличие от	2	1
46	по своему содержанию	1	1
47	и тем не	3	1
48	с тем что	1	1
49	то же время	1	1
50	с этой точки	1	1
51	только для того	1	1
52	дело не в	2	1
53	постановка вопроса о	1	1
54	в процессе развития	1	1
55	не в том	2	1
56	обращает на себя	1	1
57	может быть не	1	1
58	еще ничего не	1	1
59	к другой форме	1	1
60	без всякого ущерба	1	1
61	потому что в	2	1
62	не только для	1	1
63	в одном случае	1	1
64	то что он	1	1
65	только после того	2	1
66	ступени его развития	1	1
67	во всяком случае	1	1
68	мы увидим что	1	1
69	и такой случай	1	1
70	т д такое	1	1
71	этой точки зрения	1	1
72	на той же	1	1
73	д и т	1	1
74	то обстоятельство что	3	1
75	на наших глазах	1	1
76	в то время	1	1
77	примеров можно привести	1	1
78	в тех же	1	1
79	в свою очередь	1	1
80	само по себе	1	1
81	но дело не	1	1
82	в самом деле	11	1
83	сюда же относится	1	1
84	в то же	1	1
85	в том смысле	1	1
86	ни на какие	1	1
87	только тогда когда	4	1
88	т д и	1	1
89	как мы видели	2	1
