N	2gram	Tiupa_Narr_2	Istorich
1	и в	13	28
2	и т	2	25
3	может быть	10	25
4	а не	17	15
5	не может	8	15
6	никогда не	6	14
7	мы имеем	3	13
8	мы должны	1	13
9	для нас	2	13
10	то же	4	12
11	не только	26	12
12	что в	4	12
13	только в	11	11
14	мы не	2	10
15	все же	6	10
16	и что	2	10
17	что он	5	10
18	но и	15	10
19	прежде всего	6	10
20	волшебной сказки	1	10
21	не в	8	9
22	так и	9	9
23	о том	5	9
24	то что	8	9
25	в том	14	9
26	и не	14	9
27	в этом	13	8
28	но в	6	8
29	что это	4	8
30	таким образом	5	8
31	не всегда	1	8
32	если бы	4	8
33	в ней	2	7
34	здесь мы	1	7
35	это не	3	7
36	еще не	2	7
37	и здесь	2	7
38	этот вопрос	1	7
39	что мы	1	7
40	так же	2	7
41	том что	13	7
42	было бы	2	7
43	в этих	1	7
44	а в	9	7
45	в этой	4	6
46	тем не	5	6
47	не менее	4	6
48	к тому	9	6
49	к обряду	1	6
50	что и	2	6
51	вслед за	6	6
52	представляют собой	2	6
53	с другой	5	6
54	вместе с	1	6
55	когда он	1	6
56	видно что	2	6
57	из дома	1	6
58	например в	1	5
59	должна быть	2	5
60	вопрос о	1	5
61	мы будем	1	5
62	что они	3	5
63	в своем	6	5
64	более или	1	5
65	что она	2	5
66	в силу	4	5
67	их в	1	5
68	или менее	1	5
69	дело не	1	5
70	этого обряда	1	5
71	в подземелье	1	5
72	можно было	2	5
73	восходит к	2	5
74	в его	6	5
75	но не	3	5
76	в качестве	14	5
77	в одном	1	5
78	до сих	1	5
79	к которому	2	5
80	сих пор	1	5
81	или в	1	5
82	не должен	2	5
83	не знает	1	5
84	сказать что	3	5
85	героя в	6	5
86	ее в	1	5
87	и даже	3	4
88	и для	3	4
89	между собой	3	4
90	как правило	3	4
91	не все	2	4
92	представляет собой	16	4
93	все эти	3	4
94	на то	2	4
95	об этом	4	4
96	и с	1	4
97	как и	4	4
98	на него	5	4
99	в основе	1	4
100	связи с	1	4
101	здесь не	2	4
102	означает что	1	4
103	другими словами	1	4
104	того что	6	4
105	в этнографии	1	4
106	с одной	5	4
107	потому что	2	4
108	так что	1	4
109	в большинстве	1	4
110	большинстве случаев	1	4
111	а именно	1	4
112	превращается в	2	4
113	один из	3	4
114	одной стороны	5	4
115	как будто	1	4
116	все это	1	4
117	в связи	1	4
118	это так	1	4
119	хотя бы	2	4
120	но это	2	4
121	обстоит дело	1	4
122	но оно	1	4
123	они не	2	4
124	также и	1	3
125	начинается с	1	3
126	и должен	1	3
127	время как	1	3
128	я не	5	3
129	ему в	2	3
130	и он	2	3
131	по отношению	5	3
132	не просто	1	3
133	перед нами	4	3
134	могли бы	2	3
135	точку зрения	3	3
136	очень много	1	3
137	при этом	14	3
138	и по	3	3
139	на этом	1	3
140	в другом	4	3
141	не с	1	3
142	во время	2	3
143	в котором	5	3
144	раз и	1	3
145	в то	5	3
146	на котором	1	3
147	у меня	2	3
148	детей в	1	3
149	есть только	1	3
150	же самое	1	3
151	как мы	1	3
152	с того	1	3
