N	3gram	Medvedev_F_1	Tragedij
1	то же время	8	5
2	в то же	8	5
3	так и в	4	3
4	в отличие от	1	2
5	и в частности	2	2
6	в данном случае	1	2
7	но в то	2	2
8	и как бы	1	2
9	между этими двумя	1	2
10	но все же	1	2
11	в том что	1	2
12	и до конца	3	1
13	и не может	2	1
14	в своей книге	2	1
15	хотя бы и	1	1
16	в той же	1	1
17	и т п	4	1
18	и в истории	1	1
19	в самой природе	1	1
20	в этом романе	1	1
21	в применении к	2	1
22	создается впечатление что	1	1
23	во всяком случае	4	1
24	в высшей степени	1	1
25	смысле этого слова	3	1
26	в чем же	1	1
27	и в этом	2	1
28	по сравнению с	1	1
29	тем не менее	1	1
30	по-видимому не было	1	1
31	начала и до	2	1
32	в связи с	2	1
33	вместо того чтобы	1	1
34	не может быть	5	1
35	как и все	2	1
36	отнюдь не является	1	1
37	с самого начала	1	1
38	не только не	2	1
39	так обстоит дело	1	1
40	как своего рода	1	1
41	с начала и	2	1
42	все в этом	1	1
43	к тому что	1	1
44	но и ко	1	1
