N	4gram	Bakhtin_fo_1	Problema
1	в то же время	6	3
2	ни в чем не	2	2
3	и в то же	4	2
4	дело в том что	2	1
5	и в других областях	1	1
6	с одной стороны и	2	1
7	ряды они лежат вне	1	1
8	в других областях культуры	1	1
9	в более узком смысле	1	1
10	в то время как	2	1
11	не для того чтобы	2	1
12	не может быть конечно	2	1
13	но в то же	1	1
14	а также и в	2	1
15	все снова и снова	1	1
16	равно как и в	1	1
17	как мы увидим далее	1	1
18	точка зрения на мир	1	1
19	как мы уже указывали	2	1
20	на протяжении всего романа	1	1
