N	2gram	Tiupa_Hudo_2	PoTuStor
1	может быть	8	17
2	и в	28	16
3	в этом	13	9
4	и только	2	9
5	прежде всего	3	9
6	и с	6	8
7	точки зрения	2	8
8	и его	5	8
9	не может	4	8
10	совершенно не	1	8
11	с его	5	7
12	не только	11	7
13	сказать что	2	7
14	я и	6	6
15	самом деле	3	6
16	при этом	11	6
17	с точки	2	6
18	и это	3	6
19	к отцу	1	6
20	для него	5	6
21	и к	2	6
22	еще не	3	5
23	отношение к	2	5
24	все эти	1	5
25	только для	2	5
26	нуждается в	2	5
27	как бы	5	5
28	и ее	3	4
29	и на	3	4
30	отнюдь не	2	4
31	но в	2	4
32	в этой	5	4
33	в нем	3	4
34	его в	2	4
35	в один	1	4
36	мысли и	2	4
37	все это	3	4
38	самого начала	1	4
39	как мы	2	4
40	с ее	5	4
41	с самого	1	4
42	так и	8	4
43	но мы	1	4
44	можно сказать	6	4
45	в его	11	4
46	с ними	3	4
47	только в	4	4
48	для всех	1	4
49	так как	1	4
50	и даже	1	4
51	но и	9	4
52	и не	18	4
53	и все	7	4
54	хотя бы	2	4
55	все что	3	4
56	отношения к	1	3
57	тех же	1	3
58	едва ли	3	3
59	во всех	1	3
60	в общем	1	3
61	на две	1	3
62	и теперь	1	3
63	их в	1	3
64	на этом	2	3
65	том что	19	3
66	во время	1	3
67	сих пор	2	3
68	в одном	3	3
69	и притом	1	3
70	в основе	2	3
71	до сих	2	3
72	чем не	1	3
73	к себе	3	3
74	те же	2	3
75	мира и	1	3
76	на язык	1	3
77	в конечном	4	3
78	с другими	3	3
79	и она	1	3
80	в том	15	3
81	только на	5	3
82	мы знаем	2	3
83	полагаем что	1	3
84	в области	1	3
85	вместе с	2	3
86	и потому	1	3
87	как это	7	3
88	что в	5	3
89	в этих	3	3
90	а в	6	3
91	то что	6	3
92	между ними	2	3
93	только как	1	3
94	жизни и	6	3
95	же как	2	2
96	в самом	5	2
97	мы уже	3	2
98	мы не	1	2
99	и о	4	2
100	говорить о	2	2
101	что можно	1	2
