N	2gram	Losev_Prob_1	UchenyiS
1	и в	32	14
2	а не	15	10
3	не только	17	10
4	прежде всего	10	8
5	и не	31	8
6	не может	8	7
7	в этом	19	7
8	то что	42	7
9	может быть	14	6
10	в искусстве	3	6
11	то же	10	5
12	и только	4	5
13	художественное произведение	1	5
14	в художественном	1	5
15	все это	7	5
16	хотя бы	3	5
17	с другой	3	4
18	но и	9	4
19	что такое	6	4
20	в их	4	4
21	в россии	1	4
22	в этой	10	4
23	конечно не	1	4
24	то ни	1	3
25	и то	6	3
26	это не	6	3
27	было бы	8	3
28	как и	3	3
29	для этого	3	3
30	в своей	8	3
31	или точнее	1	3
32	бы то	1	3
33	к сожалению	1	3
34	этой области	2	3
35	в то	6	3
36	все же	1	3
37	но в	14	3
38	в области	2	3
39	у нас	14	3
40	другой стороны	3	3
41	для него	2	3
42	не как	2	3
43	ни было	1	3
44	не о	2	3
45	как такового	2	3
46	что все	3	2
47	а между	1	2
48	крайней мере	2	2
49	именно как	4	2
50	одним из	1	2
51	и с	2	2
52	художественного произведения	1	2
53	художественном произведении	1	2
54	а его	1	2
55	до сих	3	2
56	это было	2	2
57	самом деле	6	2
58	в буквальном	3	2
59	должна быть	1	2
60	в некоторых	1	2
61	мы не	2	2
62	не приходится	1	2
63	о чем	6	2
64	является в	2	2
65	если бы	4	2
66	что мы	13	2
67	ничего не	10	2
68	как таковой	1	2
69	если не	4	2
70	том что	12	2
71	на первый	2	2
72	сводится к	1	2
73	но даже	1	2
74	мы и	4	2
75	этого термина	4	2
76	литературы и	4	2
77	нам представляется	1	2
78	нас в	2	2
79	но конечно	1	2
80	с его	2	2
81	но не	9	2
82	в его	6	2
83	по крайней	2	2
84	по существу	2	2
85	по себе	15	2
86	конце концов	4	2
87	сих пор	3	2
88	но это	8	2
89	этом смысле	6	2
90	в том	9	2
91	тех или	3	2
92	с проблемой	1	2
93	и для	4	2
94	что он	7	2
95	в себе	15	2
96	в самом	6	2
97	между тем	2	2
98	только в	7	2
99	мы получаем	3	2
100	не в	4	2
101	для всех	1	2
102	и является	7	2
103	вопроса о	2	2
104	как принцип	1	2
105	все они	1	2
106	в системе	1	2
107	не есть	29	2
108	этом отношении	1	2
109	еще ничего	1	2
110	или иных	2	2
111	его и	1	2
112	бы и	1	2
113	всех этих	7	2
114	представляется нам	1	2
115	сколько угодно	3	2
116	не могут	2	2
117	могут быть	2	2
118	в конце	6	2
119	же самое	9	2
120	не случайно	1	2
121	как раз	13	2
122	тем что	7	2
123	что она	5	2
124	таким образом	6	2
125	даже и	8	2
126	для себя	3	1
127	и это	9	1
128	в последние	1	1
129	гораздо больше	2	1
130	об этом	10	1
131	есть конечно	1	1
132	же как	2	1
133	связанных с	1	1
134	но по	1	1
135	даже не	1	1
136	то есть	33	1
137	в виду	6	1
138	сам по	7	1
139	входит в	4	1
140	первую очередь	1	1
141	данном случае	8	1
142	или иначе	2	1
143	в период	1	1
144	для читателя	1	1
145	с самим	1	1
146	и эстетически	1	1
147	понятие не	1	1
148	было и	1	1
149	из самых	1	1
150	только более	1	1
151	в пределах	1	1
152	или по	1	1
153	еще одно	1	1
154	сам автор	1	1
155	что для	2	1
156	никогда не	7	1
157	так и	12	1
158	по его	2	1
159	и вы	1	1
160	той же	1	1
161	относится к	1	1
162	присущи и	1	1
163	с тем	5	1
164	мы имеем	2	1
165	для начала	1	1
166	со своими	1	1
167	именно этот	1	1
168	ничего подобного	2	1
169	является наиболее	1	1
170	в точных	2	1
171	он становится	1	1
172	и всякого	1	1
173	именно к	1	1
174	об ее	1	1
175	и даже	11	1
176	должно быть	2	1
177	об анне	1	1
178	но идея	1	1
179	и слово	1	1
180	остается в	1	1
181	можно сказать	5	1
182	смысле и	2	1
183	или менее	3	1
184	то сколько	1	1
185	на значение	1	1
186	вообще во	3	1
187	о нем	3	1
188	к лицу	1	1
189	искусства и	3	1
190	как на	1	1
191	о том	11	1
192	и потому	2	1
193	в котором	5	1
194	только для	3	1
195	и что	9	1
196	и этого	2	1
197	он был	1	1
198	всего только	1	1
199	первый план	1	1
200	но такое	2	1
201	единства и	1	1
202	быть в	1	1
203	из которых	1	1
204	без труда	1	1
205	где же	1	1
206	признать что	1	1
207	как таковая	1	1
208	он будет	2	1
209	в течение	1	1
210	является только	1	1
211	искусства не	1	1
212	он может	1	1
213	в данном	9	1
214	с момента	1	1
215	что же	9	1
216	не то	2	1
217	переходит в	1	1
218	того что	7	1
219	друг другу	2	1
220	в которых	3	1
221	поскольку он	2	1
222	образом на	1	1
223	отдельности и	1	1
224	их в	4	1
225	на его	2	1
226	трудно подыскать	1	1
227	тому чтобы	1	1
228	это значит	1	1
229	ничуть не	1	1
230	что этот	2	1
231	нет и	2	1
232	если нет	1	1
233	за пределы	6	1
234	на то	8	1
235	всего если	1	1
236	и вся	1	1
237	еще один	1	1
238	его как	2	1
239	отнюдь не	10	1
240	она не	2	1
241	этом случае	2	1
242	первый взгляд	1	1
243	впрочем не	1	1
244	в своем	5	1
245	при построении	1	1
246	но для	3	1
247	что ему	1	1
248	и все	7	1
249	того как	3	1
250	произведения а	1	1
251	она должна	1	1
252	достаточно ясно	1	1
253	тот же	1	1
254	которых она	1	1
255	более или	3	1
256	насколько нам	2	1
257	уж тем	2	1
258	есть ли	1	1
259	аристотеля при	1	1
260	не существует	6	1
261	которое мы	1	1
262	представляется что	1	1
263	он уже	1	1
264	в которой	2	1
265	о котором	1	1
266	больше чем	2	1
267	это то	1	1
268	он пытается	1	1
269	не было	4	1
270	так или	2	1
271	находятся в	1	1
272	закон и	3	1
273	он в	2	1
274	это же	1	1
275	тогда когда	1	1
276	с которыми	4	1
277	в качестве	2	1
278	но именно	3	1
279	тем более	5	1
280	в известном	1	1
281	получаем от	1	1
282	построения и	1	1
283	начала и	1	1
284	что по	1	1
285	буквальном смысле	3	1
286	точно и	1	1
287	уже не	3	1
288	этот анализ	1	1
289	далеко не	5	1
290	ее как	1	1
291	то и	6	1
292	и необходимо	1	1
293	же в	4	1
294	в процессе	1	1
295	в виде	15	1
296	и искусства	4	1
297	теории и	1	1
298	что было	1	1
299	в нем	13	1
300	связанные с	1	1
301	но если	2	1
302	он не	3	1
303	методе и	1	1
304	о которой	1	1
305	сказать что	13	1
306	только как	1	1
307	одно замечание	1	1
308	очень часто	1	1
309	одно из	2	1
310	в первую	1	1
311	не значит	2	1
312	исходить из	1	1
313	и так	2	1
314	он и	8	1
315	и понятий	1	1
316	в отдельности	4	1
317	в понятии	2	1
318	что под	1	1
319	правда не	1	1
320	не для	2	1
321	количество и	1	1
322	но он	3	1
323	если у	1	1
324	у пушкина	2	1
325	но что	2	1
326	является одним	1	1
327	этого и	1	1
328	мы можем	4	1
329	ее в	2	1
330	взятого в	1	1
331	анализа в	1	1
332	и эстетики	3	1
333	и делает	3	1
334	и свое	1	1
335	и эта	1	1
336	это в	1	1
337	а это	2	1
338	есть слово	1	1
339	не имеется	1	1
340	отказаться от	1	1
341	к этому	1	1
342	что в	12	1
343	в таком	9	1
344	общего и	1	1
345	бы это	1	1
