N	2gram	Propp_Russ_2	Poddanst
1	не только	10	17
2	и в	29	14
3	и не	1	12
4	в этом	11	10
5	в качестве	3	9
6	но в	5	9
7	то же	4	9
8	в том	22	9
9	в пределах	1	8
10	и д	2	8
11	только в	1	7
12	в то	2	7
13	в ней	1	6
14	было бы	3	6
15	но и	8	6
16	в которых	4	5
17	с другой	2	5
18	может быть	13	5
19	и пр	2	5
20	не в	4	5
21	и о	3	5
22	а н	3	5
23	если бы	1	4
24	а также	4	4
25	и е	2	4
26	в своем	1	4
27	как бы	18	4
28	и если	1	4
29	том что	22	4
30	не может	5	4
31	и потому	1	4
32	в котором	3	4
33	на пути	1	4
34	в русской	1	4
35	что в	22	4
36	мы должны	1	4
37	же в	6	4
38	а в	9	4
39	то что	5	4
40	и т	5	3
41	мы не	6	3
42	д а	1	3
43	сводится к	1	3
44	между тем	3	3
45	это не	5	3
46	хотя и	1	3
47	и как	2	3
48	тот же	1	3
49	с ними	1	3
50	с одной	2	3
51	в нем	1	3
52	ей в	1	3
53	для того	6	3
54	прежде всего	2	3
55	одной стороны	2	3
56	с тем	6	3
57	но не	5	3
58	могут быть	2	3
59	т е	24	3
60	потому что	5	3
61	и это	1	2
62	например в	1	2
63	в ее	3	2
64	переход от	2	2
65	другие народы	1	2
66	и есть	1	2
67	которое в	2	2
68	в xix	3	2
69	во всех	3	2
70	говорить о	1	2
71	если в	1	2
72	во всей	1	2
73	отнюдь не	1	2
74	с этим	2	2
75	того что	3	2
76	стороны и	1	2
77	есть в	2	2
78	главным образом	3	2
79	и других	3	2
80	в его	1	2
81	из них	4	2
82	в виде	4	2
83	не к	2	2
84	как раз	1	2
85	в статье	1	2
86	и с	10	2
87	именно в	4	2
88	iii в	1	2
89	для них	2	2
90	в них	4	2
91	церкви и	2	2
92	не было	2	2
93	а не	4	2
94	должно быть	2	2
95	нужно было	1	2
96	в эту	3	2
97	в европе	2	2
98	образом на	1	2
99	не столько	2	2
100	не будем	3	2
101	не менее	2	2
102	все это	10	2
103	на этих	1	2
104	одна из	11	2
105	в полной	1	2
106	тем более	1	2
107	для нас	6	2
108	так называемые	1	2
109	как на	1	2
110	в применении	1	1
111	также что	2	1
112	равным образом	1	1
113	в русских	4	1
114	же как	4	1
115	и через	3	1
