N	3gram	Vygotskiy__2	slovoVRo
1	не может быть	6	15
2	в отличие от	3	12
3	с одной стороны	7	5
4	той или иной	1	5
5	по отношению к	5	4
6	в зависимости от	6	4
7	в том что	21	4
8	в той или	1	3
9	оно не может	1	3
10	с точки зрения	18	3
11	сама по себе	2	3
12	в этом отношении	3	3
13	в собственном смысле	3	3
14	между словом и	1	3
15	одной стороны и	2	3
16	более или менее	2	2
17	до сих пор	1	2
18	хотя бы и	2	2
19	на каждом шагу	1	2
20	тот факт что	1	2
21	включает в себя	1	2
22	не могут быть	1	2
23	никогда не может	1	2
24	во всяком случае	6	2
25	мышления и речи	9	2
26	как уже сказано	2	2
27	в связи с	6	2
28	как мы уже	3	2
29	для того чтобы	10	2
30	человеческой речи является	1	1
31	точки зрения и	1	1
32	не может ни	1	1
33	этой проблемы в	1	1
34	действительность но и	1	1
35	иметь в виду	1	1
36	ни при каких	2	1
37	том что в	2	1
38	отношению к себе	1	1
39	мы видели из	1	1
40	для правильной оценки	1	1
41	в том числе	3	1
42	том что он	1	1
43	по самому своему	1	1
44	не может не	1	1
45	на первый план	1	1
46	но все это	1	1
47	как сказал бы	1	1
48	в самих действиях	1	1
49	и речи в	1	1
50	сами по себе	1	1
51	над языком и	1	1
52	никогда не могут	1	1
53	том числе и	3	1
54	неизменной на всем	1	1
55	на то что	6	1
56	рано или поздно	1	1
57	более глубокое и	1	1
58	при каких условиях	2	1
59	в применении к	1	1
60	в процессе развития	5	1
61	а также в	1	1
62	однако и здесь	1	1
63	и не могут	1	1
64	что он не	2	1
65	точки зрения а	1	1
66	самому своему существу	1	1
67	все более и	1	1
68	с ним и	1	1
69	мы уже говорили	3	1
70	с другой стороны	1	1
71	мы видели что	3	1
72	по ту сторону	2	1
73	о том что	4	1
74	в частности в	1	1
75	здесь не только	1	1
76	друг к другу	1	1
77	вместе с ним	3	1
78	вовсе не в	2	1
79	мы не можем	3	1
80	как и в	1	1
81	на протяжении всего	2	1
82	с самого начала	1	1
83	не только не	1	1
84	более и более	1	1
85	речь идет о	2	1
86	там где она	1	1
87	мы не знаем	1	1
88	так и по	1	1
89	до некоторой степени	1	1
90	необходимо иметь в	1	1
91	во всем его	1	1
92	все это не	1	1
93	она не может	1	1
94	реального мира и	1	1
95	мы увидим что	2	1
96	как только в	1	1
97	как мы видели	1	1
