N	2gram	Losev_Dial_1	Formalny
1	т е	25	32
2	и не	30	30
3	вовсе не	7	28
4	и в	18	27
5	может быть	17	25
6	не может	12	24
7	так и	9	21
8	и его	1	19
9	в этом	12	18
10	таким образом	1	18
11	а не	14	17
12	самом деле	3	16
13	точки зрения	17	16
14	то же	10	15
15	в нем	16	15
16	и пр	5	15
17	между ними	1	15
18	на самом	3	14
19	как и	2	14
20	с точки	12	14
21	не в	6	12
22	если бы	12	12
23	и т	21	11
24	в самом	3	11
25	в жизни	1	11
26	и от	2	11
27	не могут	1	10
28	место в	1	10
29	но и	7	10
30	не только	13	9
31	так как	11	9
32	так же	4	9
33	отнюдь не	9	8
34	как бы	11	8
35	при этом	1	8
36	ни в	15	8
37	как мы	4	8
38	только в	3	8
39	как раз	4	8
40	то что	13	8
41	и все	3	8
42	что в	13	8
43	тем же	1	7
44	не менее	2	7
45	же время	4	7
46	потому что	14	7
47	его в	1	7
48	между тем	1	7
49	в его	3	7
50	в том	9	7
51	для них	1	7
52	если мы	2	7
53	там где	1	7
54	все это	11	7
55	совершенно не	8	7
56	в то	6	7
57	в искусстве	1	7
58	действительности и	3	6
59	еще не	2	6
60	но в	6	6
61	все эти	2	6
62	т д	19	6
63	в своей	2	6
64	всяком случае	2	6
65	все время	1	6
66	было бы	12	6
67	что он	11	6
68	с другой	6	6
69	вместе с	1	6
70	в данном	3	6
71	все же	5	6
72	и для	2	6
73	бы в	3	6
74	хотя бы	6	6
75	во всяком	4	6
76	совсем не	1	5
77	но не	4	5
78	что именно	2	5
79	в каждом	2	5
80	ни было	2	5
81	того чтобы	1	5
82	если же	1	5
83	в ней	3	5
84	что они	3	5
85	в дальнейшем	5	5
86	никогда не	9	5
87	связи с	1	5
88	и их	2	5
89	т п	2	5
90	и между	1	5
91	именно так	1	5
92	и потому	3	5
93	что же	3	5
94	в реальном	1	5
95	не является	3	5
96	в результате	1	5
97	другой стороны	4	5
98	можно говорить	2	4
99	не есть	40	4
100	мы не	1	4
101	смысл и	4	4
102	менее всего	1	4
103	как в	2	4
104	и как	7	4
105	бы ни	1	4
106	в корне	2	4
107	в ее	1	4
108	том что	9	4
109	по себе	25	4
110	она не	6	4
111	мы можем	4	4
112	и является	2	4
113	могут быть	3	4
114	к тому	4	4
115	о том	4	4
116	же и	2	4
117	конечно не	3	4
118	уже в	1	4
119	только на	3	4
120	для того	2	4
121	со стороны	2	4
122	прежде всего	10	4
123	смысла и	1	4
124	в связи	1	4
125	как это	4	4
126	да и	6	4
127	из этого	1	4
128	жизни и	3	4
129	они не	1	4
130	же как	2	3
131	должна быть	3	3
132	мы уже	1	3
133	той же	1	3
134	мы и	2	3
135	в виду	5	3
136	в которых	2	3
137	столь же	1	3
138	во всех	1	3
139	как таковая	2	3
140	то мы	2	3
141	то он	2	3
142	нет и	1	3
143	бы и	2	3
144	что это	11	3
145	формы в	1	3
146	в себе	11	3
147	и с	5	3
148	это не	9	3
149	и тем	1	3
150	он и	2	3
151	как таковой	4	3
152	раз и	2	3
153	в этих	5	3
154	никаких оснований	1	3
155	и более	4	3
156	тому что	3	3
157	случае в	1	3
158	в основе	3	3
159	для нас	1	3
160	ничто не	3	3
161	исторического процесса	1	3
162	этом отношении	2	3
