N	3gram	Tiupa_Narr_1	Myshleni
1	по отношению к	6	12
2	в том что	8	11
3	с точки зрения	2	9
4	так же как	2	7
5	в известном смысле	2	7
6	друг с другом	1	7
7	в этом отношении	3	5
8	можно сказать что	4	5
9	не в состоянии	1	4
10	подобно тому как	2	4
11	то же самое	1	4
12	к тому чтобы	1	4
13	с этой точки	1	4
14	этой точки зрения	2	4
15	о том что	6	4
16	друг от друга	1	4
17	и того же	1	3
18	с таким же	1	3
19	состоит в том	3	3
20	не то что	2	3
21	до сих пор	1	3
22	можно было бы	2	3
23	с одной стороны	7	3
24	и тот же	1	3
25	связаны между собой	1	3
26	в свою очередь	3	3
27	мере в какой	1	3
28	не может быть	5	3
29	один и тот	1	3
30	одного и того	1	3
31	той мере в	1	3
32	в той мере	1	3
33	том что в	1	2
34	в самом деле	1	2
35	том что он	1	2
36	на всем протяжении	1	2
37	в отличие от	5	2
38	с фактической стороны	1	2
39	и то что	1	2
40	то что они	1	2
41	а с другой	1	2
42	то что он	1	2
43	с другой стороны	4	2
44	в свое время	1	2
45	не является для	1	2
46	само по себе	1	2
47	включает в себя	1	2
48	но все же	4	2
49	и тем более	1	2
50	в меру того	1	2
51	как мы видели	1	2
52	по своей природе	1	1
53	что иное как	2	1
54	не может не	2	1
55	точки зрения и	1	1
56	да и в	1	1
57	не распадается на	1	1
58	или хотя бы	1	1
59	что в этом	1	1
60	совершенно очевидно что	1	1
61	самым существенным образом	1	1
62	более или менее	2	1
63	на самом деле	1	1
64	в этом последнем	1	1
65	в этом смысле	1	1
66	в том числе	6	1
67	в том же	1	1
68	же как и	1	1
69	эта фраза не	1	1
70	известном смысле является	1	1
71	предполагает отношение к	1	1
72	сам по себе	1	1
73	что именно в	1	1
74	как мы увидим	1	1
75	в первую очередь	1	1
76	независимо от того	1	1
77	зрения не только	1	1
78	как это часто	1	1
79	что не только	1	1
80	том числе и	4	1
81	несмотря на свою	1	1
82	в общей структуре	1	1
83	на сегодняшний день	1	1
84	нет у него	2	1
85	но само по	1	1
86	и т.д не	1	1
87	первую очередь по	1	1
88	не могло быть	1	1
89	все равно что	1	1
90	не что иное	2	1
91	а не только	1	1
92	в первом случае	2	1
93	один из них	1	1
94	в себя и	2	1
95	это не так	1	1
96	по себе без	1	1
97	на передний план	1	1
98	и тем самым	3	1
99	в связи с	2	1
100	ни на что	1	1
101	а не как	1	1
102	на протяжении этого	2	1
103	к нему в	1	1
104	как нам представляется	1	1
105	так и в	1	1
106	это часто бывает	1	1
107	тем не менее	3	1
108	есть не что	1	1
109	здесь в качестве	1	1
110	по аналогии с	1	1
111	в том чтобы	1	1
112	того или иного	2	1
113	он еще не	1	1
114	свою очередь как	1	1
115	его из общей	1	1
116	в то же	3	1
117	а во второй	1	1
118	тех или иных	1	1
119	но не может	1	1
120	нельзя сказать о	1	1
121	сказать что если	1	1
122	той или иной	4	1
